decile	n_total	n_neuronal	frac_neuronal	ci_lo	ci_hi	OR	fisher_p	signal_min	signal_max	fisher_q	log2_OR
1	2161	451	0.208699676075891	0.191738643434398	0.226454355833612	0.84477602589375	0.0022926734300179	0.220239	0.453504	0.00764224476672635	-0.243359202206826
2	2160	467	0.216203703703704	0.199006289706503	0.23417450914346	0.887607264290126	0.0302639838537217	0.453562	0.575938	0.0756599596343043	-0.172006620105417
3	2160	485	0.224537037037037	0.207091387630634	0.242733195076506	0.936508049979679	0.239242775185735	0.576024	0.692966	0.478485550371469	-0.0946366993343138
4	2161	510	0.23600185099491	0.218235148948371	0.254487279883305	1.00618575779944	0.914822200481438	0.692978	0.822921	0.978671176084313	0.00889667404679228
5	2160	508	0.235185185185185	0.217436955969847	0.253654715285055	1.00113120845011	0.978667327476638	0.822954	0.978057	0.978671176084313	0.00163106645694433
6	2160	422	0.19537037037037	0.178840483610883	0.212730966174778	0.771430368376556	3.63239251349239e-06	0.9781	1.166929	1.8161962567462e-05	-0.374392154204742
7	2161	507	0.234613604812587	0.216885281248158	0.253064459199792	0.997596284262152	0.978671176084313	1.16697	1.434734	0.978671176084313	-0.00347200330292827
8	2161	489	0.226284127718649	0.208791737268564	0.244521884474505	0.946941278561048	0.322516338895483	1.435224	1.831074	0.4987689508732	-0.0786531303926913
9	2159	525	0.24316813339509	0.225199248339502	0.261836769477474	1.05120567163379	0.34913826561124	1.831682	2.594396	0.4987689508732	0.0720449646540339
10	2161	713	0.329939842665433	0.31012604959718	0.350215873665081	1.7013443373396	3.35699054985352e-26	2.594655	44.998495	3.35699054985352e-25	0.76667515951834
