gene	mc_diff	hmc_diff	mc_q	hmc_q	combined_effect	mecp2_nearest_fold	mecp2_nearest_fdr	mecp2_mean_fold	mecp2_n_peaks
Tmem238	0.202948019567946	-0.124535661232602	8.360134993071e-79	4.85388037557163e-38	0.327483680800548	-0.0248488822116948	0.907191541309116	-0.0248488822116948	1
Syt1	0.173138279538543	-0.149653303443115	4.8151057076211e-306	7.07674626726131e-306	0.322791582981658	-0.0270238717907686	0.851132586517471	0.103015823593182	69
Gclm	0.163626383332672	-0.109341876534835	5.58441151136118e-239	1.73419324030235e-152	0.272968259867507	-0.0461673971946441	1	0.19308485749451	6
Sap30	0.211953324709116	-0.0544488852139743	4.98701397991033e-51	3.04160641644549e-08	0.26640220992309	-0.0385530301695026	0.867777930043468	-0.0385530301695026	1
Prxl2b	0.215503293571978	-0.0451903607472336	6.4970716844693e-38	0.00564411161581069	0.260693654319211	0.10834765933342	0.573371819934953	0.0444179096981995	2
Gpr68	0.162567747047773	-0.0871033833156893	8.53215754469153e-209	3.657386557407e-79	0.249671130363462	-0.0097508371970097	0.954603271397137	0.63982706816836	7
Bhlhe40	0.216559777294325	-0.0248506543949298	1.13691228733212e-131	0.00238135868909623	0.241410431689255	-0.0535725783829829	0.781425507376947	-0.0535725783829829	1
A330070K13Rik	0.185823966874757	-0.0553867696751865	2.29400625775347e-39	8.02872860000775e-05	0.241210736549944	3.69512811105518	4.27997166975257e-07	2.1111518023123	2
Ripply2	0.186290557972284	-0.0540996569016488	4.59796574206377e-40	0.000114484830257289	0.240390214873933	-0.00184245307061421	0.994301831679197	0.717694215279438	15
Galnt7	0.162788287901922	-0.0745554585017827	4.8151057076211e-306	7.07674626726131e-306	0.237343746403705	-0.0633037360234452	0.764294099960385	0.559356144307431	18
Mcu	0.142137210855473	-0.0944174928500678	4.8151057076211e-306	7.07674626726131e-306	0.236554703705541	0.11586127679529	0.591025154541872	0.0982585092657566	31
Tmem64	0.153634974562263	-0.0662312353228351	2.53657492773651e-137	1.06492788327611e-31	0.219866209885098	0.00250432798591296	0.9919428583616	0.309118517397075	25
Tssk5	0.137817160825713	-0.0797306589340282	5.39547149794311e-21	1.70447615315971e-09	0.217547819759741	0.00820485888718655	0.972868218446495	-0.0440373665323414	2
Amigo1	0.135919939262634	-0.0793056006820435	1.33090813494225e-33	4.32544837653083e-15	0.215225539944678	0.00855389874176621	0.973745153366705	0.010336552908574	3
Mcam	0.132332402499776	-0.0813840331948875	2.62417277406041e-32	5.08390993497725e-17	0.213716435694663	-0.335989527540981	0.278017583292322	-0.0380405961934001	4
Lrrn1	0.137802817859855	-0.0693689510246577	1.02897126104476e-225	5.10374477275407e-66	0.207171768884512	0.00189832742975281	0.993864598796709	0.160712428494809	44
Flrt3	0.162552480848417	-0.0441726773540707	1.01468361490009e-225	1.70474001380354e-28	0.206725158202488	0.16958372471763	0.459378588647598	0.239794129259855	24
Xk	0.118002013647643	-0.0884200245197536	6.66109836514748e-96	2.0286798599194e-87	0.206422038167397	-0.02004922523963	0.942842310389632	1.51301884978285	4
Lgi1	0.137128718547332	-0.0689376887599581	1.12825966421176e-291	3.27671709876778e-116	0.20606640730729	1.14790895710739	0.00283355629629667	0.195290193966369	7
Rps6ka5	0.115988850712457	-0.0863977539950389	4.8151057076211e-306	7.07674626726131e-306	0.202386604707496	0.0031725663394504	0.985734414099003	-0.0336224816601621	15
Hmgcl	0.140669505661283	-0.06006875025784	3.64329027026375e-107	7.46092110291708e-29	0.200738255919123	-0.345120983683081	0.231867422424782	-0.0627899030237649	6
Ccndbp1	0.131145159902574	-0.0690731518043568	3.98881710215196e-54	1.28723518627371e-21	0.20021831170693	-0.104065771121191	0.628756022955123	-0.0166568319509409	2
Abtb1	0.148505571397798	-0.0504551682099579	1.00040096546322e-26	0.000108930869625486	0.198960739607756	-0.00442242137593667	0.98165303224225	0.171954000338213	2
Lpcat3	0.128894897260965	-0.0691361399113782	4.15452902960232e-282	4.84667838146089e-102	0.198031037172343	-0.027209122912536	0.894824430979511	0.0219551454983078	10
Plekhf1	0.168498151688174	-0.0290324692162142	2.92112587857542e-96	8.1295550617246e-05	0.197530620904389	0.0308736293324926	0.888540279474362	0.161855069504655	6
Syn2	0.130328694883986	-0.0667062381396212	4.8151057076211e-306	1.03239735411462e-185	0.197034933023607	0.020850345661221	0.927139764353953	0.402040842224421	14
Wipf3	0.131948765301587	-0.0626102281093484	4.8151057076211e-306	4.11244740800523e-141	0.194558993410935	-0.00459656529131425	0.985530350884871	0.272433022707423	18
Des	0.131865346967163	-0.0624185252834346	2.85637233337076e-58	2.42556904907024e-21	0.194283872250598	-0.0414814333484858	0.856371863650981	0.0206628163860726	7
Inka2	0.168496128492795	-0.0208849301519937	5.89513281895834e-83	0.0197475848842888	0.189381058644788	-0.0076153604313654	0.978248172145411	0.0253489964749118	5
Sptssb	0.107583073441373	-0.0817941052448886	3.31723799892221e-135	3.39467049278611e-114	0.189377178686261	-0.047490758699367	0.786656762047835	0.248524972693667	14
Patj	0.120445731459954	-0.0688380719604627	4.8151057076211e-306	7.07674626726131e-306	0.189283803420417	1.76229716203468	3.92581287600702e-06	0.932320093794432	25
Scg2	0.164124260301168	-0.0246744388656844	2.31527753309897e-55	0.00658119768779231	0.188798699166852	1.89482830755742	0.00085175488258441	0.258193216227918	8
Zfp608	0.12394714759679	-0.0642693260924636	4.8151057076211e-306	2.04575188212906e-219	0.188216473689254	0.0097960695784496	0.961918693779327	0.447774782522568	132
Itgb5	0.112936191470343	-0.0750441802058035	4.8151057076211e-306	7.07674626726131e-306	0.187980371676147	0.0486077261274516	0.841643596753691	0.546653378927155	28
E2f3	0.101446419095902	-0.0863062281005483	4.8151057076211e-306	7.07674626726131e-306	0.18775264719645	-0.00464873502400625	0.979520460566746	0.246070738545105	25
Pram1	0.102149801285227	-0.0846559621056269	3.35541124120684e-17	2.17446615561997e-15	0.186805763390854	-0.16734176187785	0.477871424864573	-0.0806658989130328	2
Tmem86b	0.140266684517456	-0.046483847843001	2.04251401609252e-11	0.0124463882716307	0.186750532360457	-0.0113050889058706	1	-0.0328736188839783	3
Rnf227	0.118816001819883	-0.0678424361163397	1.40774651364864e-07	0.000884094161447451	0.186658437936223	0.226833121315669	0.347105743679988	0.0993940486694643	2
Chka	0.12670803290434	-0.0580004907171924	3.80519879353415e-187	1.69122165617148e-47	0.184708523621533	0.0321607349582232	0.829193638438352	-0.105297637994353	7
Ccsap	0.119898763476033	-0.0629970439610273	1.47532686918908e-122	5.87961323272286e-42	0.18289580743706	0.0214070002016333	0.934311206570848	-0.0180373454456435	6
Trp53bp2	0.112060092025534	-0.0695960897847486	9.97199472643886e-250	1.46485062621645e-132	0.181656181810282	0.0192323063765047	0.933442278823462	0.507534440156029	15
Max	0.133463477635117	-0.0476584189566179	1.64577888391723e-142	2.35255159330207e-22	0.181121896591735	0.0224771775167122	0.889329040465114	0.527488099302425	24
Pkib	0.111491249913283	-0.0681481706005901	3.43545469353379e-244	4.23505095834281e-112	0.179639420513873	0.0254340395473807	0.90886425190884	0.0905229970644146	10
Ntn4	0.119170223074622	-0.0598824678670815	4.8151057076211e-306	4.66198712061624e-188	0.179052690941703	2.28268211350279	2.79116222854677e-08	0.659869936504872	10
Unc5c	0.106550556235555	-0.0721813597423415	4.8151057076211e-306	7.07674626726131e-306	0.178731915977897	-0.00627093781138793	0.977585439986772	0.222387069228765	28
