symbol	K119ub	K27me3	K27ac	ATAC	mecp2_nearest_fold	mecp2_nearest_fdr	mecp2_annotation	mc_ctrl	mc_mut	mc_difference
Serpinb8	1.303707	0.909496425698259	-0.371189074914861	0.0194251750803955	0.2748	0.267	Promoter	0.6896	0.7036	0.014
Tmprss11g	1.081512	1.37027468764936	-0.583366907743747	0.159665571990611	1.0083	0.0168	Exon (ENSMUST00000134179.7/320454, exon 5 of 10)	0.7903	0.7963	0.006
Mettl21e	1.018224	1.40506074869361	-1.01198374918774	-0.110481509028767	0.7872	0.0713	Promoter	0.834	0.8339	-1e-04
Rad51ap2	1.0141	2.00514696969606	-0.0983106910377743	-0.302199962995213	-0.0198	0.912	Promoter	0.7713	0.783	0.0118
Lum	1.010455	3.31599327772753	-1.12542678292595	-0.184962471432646	0.4758	0.171	Intron (ENSMUST00000038160.5/17022, intron 1 of 2)	0.7629	0.7758	0.0129
Icos	0.977484	1.24637608907445	0.247850724853801	0.544575870632789	0.5674	0.128	Exon (ENSMUST00000027162.11/54167, exon 2 of 4)	0.7447	0.7558	0.0111
Pnma5	0.965863	-2.19844985296538	-0.364885159890263	-0.0450127553153342	1.0353	0.0178	3' UTR	0.6696	0.6707	0.0011
Gzmg	0.922583	0.625953923086867	-1.74811505902065	-0.0350656341942655	1.6255	0.00013	Promoter	0.8654	0.8621	-0.0033
Pabpc5	0.898506	-3.22716379204854	0.883511283916036	0.457097256990946	0.0018	0.996	Promoter	0.5711	0.5989	0.0278
Enkur	0.885248	1.7448729333163	0.427726165774143	0.0556650796644805	-0.0063	0.982	Exon (ENSMUST00000027992.2/71233, exon 3 of 5)	0.6865	0.6916	0.0052
Fgf20	0.870896	0.886960904478018	-1.25862891696559	-0.19158074895473	0.028	0.89	Promoter	0.6444	0.6357	-0.0087
Serpinb2	0.868236	1.25325559485777	-1.99845990845148	0.0245335650175471	1.4944	0.00426	Promoter	0.7824	0.7884	0.006
Sucnr1	0.853908	1.52004052171627	-1.71701089056909	0.424086285303842	5e-04	0.999	Promoter	0.8652	0.8626	-0.0026
Gzmd	0.847876	0.831142740480431	-0.940378422173342	0.86605265241884	2.2839	4.08e-09	Promoter	0.7753	0.786	0.0107
Aadac	0.831058	0.635547597748579	-0.915031318834905	0.815318102631616	0.1558	1	Promoter	0.8348	0.8431	0.0083
Gm4792	0.827586	1.36085189723386	0.667316929242406	0.366287593429097	-0.0256	0.903	Promoter	0.6579	0.6796	0.0217
4930583I09Rik	0.818497	0.145359835118984	-0.917363022005714	-0.742948353143269	2.6285	8.95e-14	Distal Intergenic	0.5852	0.5754	-0.0098
1110002E22Rik	0.775863	1.15078072324036	-1.49647309192062	-0.608281145914707	-0.1794	0.438	Promoter	0.6368	0.6252	-0.0116
Cstl1	0.755119	0.962070061803834	-0.316217936523391	0.172405885725422	-0.0647	0.747	Promoter	0.5201	0.5193	-8e-04
Plaat1	0.737409	1.27919859461132	-0.0042803707355091	0.56390846492419	0.3427	0.211	Promoter	0.7898	0.7902	4e-04
Chac1	0.731846	-1.31302888029768	-0.278774886303679	0.363386693885719	0.0393	0.822	Promoter	0.6314	0.6277	-0.0037
4930523C07Rik	0.723202	0.70903433976275	0.205863326490219	0.386685843727957	0.0392	0.792	Promoter	0.748	0.7515	0.0035
Tigd2	0.698286	2.28557159507166	0.192536379876967	-0.0086489877062295	0.7882	0.0513	Distal Intergenic	0.3686	0.371	0.0024
4930505A04Rik	0.69414	1.84661372831133	-1.10194242905989	-0.0896851779959522	0.1297	1	Intron (ENSMUST00000041763.13/75087, intron 1 of 4)	0.8169	0.8255	0.0086
Tph2	0.69047	1.16942805561981	-0.565144660995099	0.0363377750211532	-0.0421	0.783	Promoter	0.7575	0.7591	0.0016
Cfap161	0.685095	1.08867410474373	-0.483153198994839	0.521713036365164	0.0109	0.968	Promoter	0.7231	0.7192	-0.0039
Mis18a	0.679138	0.737840204967392	0.0900971762112898	0.138666285648708	-0.0204	0.918	Promoter	0.8278	0.8284	6e-04
Eya1	0.677867	0.398693263516586	-0.111021096852339	0.42320823490753	0.0097	0.97	Promoter	0.7584	0.7582	-2e-04
Tram1l1	0.676673	1.39617011331132	0.488932479598257	0.275206852088977	0.0079	0.974	Promoter	0.4743	0.4979	0.0236
Plb1	0.666946	0.488506492083834	-0.692861204227536	0.00173620510284239	-0.0068	0.98	Promoter	0.7393	0.7418	0.0025
Tmem156	0.660092	1.5471862932559	0.39875742359106	0.52116025202538	0.0628	0.779	Promoter	0.8164	0.8214	0.005
Tmem47	0.652755	-0.438847403933445	0.622725276188082	0.666935999364804	-0.0471	0.817	Promoter	0.5836	0.5875	0.0039
E130114P18Rik	0.647063	0.903349246265909	-0.41114793422376	-0.0183182623323041	-0.0352	0.872	Promoter	0.6281	0.6278	-3e-04
Dmac1	0.618565	1.95082845234977	0.0700708446163685	0.0476478640226538	-0.0168	0.941	Promoter	0.0607	0.0643	0.0035
Rplp1	0.616069	2.33431534502979	0.920117356141452	-0.0270912343357266	-0.0845	0.673	Promoter	0.0758	0.0904	0.0146
Ldoc1	0.613536	3.68618928338609	-2.13799357395269	-0.892598571281025	-0.0631	0.806	Promoter	0.4807	0.4931	0.0124
Mtus1	0.59381	0.918608547311043	-0.140210594003243	-0.255623869127472	0.0184	0.938	Promoter	0.5321	0.5328	7e-04
Crygs	0.583509	0.386624380087829	-0.431484122825866	0.109904628643756	-0.0162	0.943	Intron (ENSMUST00000040592.5/12970, intron 1 of 2)	0.7148	0.7179	0.003
Dsg2	0.580875	1.72130088285466	-0.536183933611081	-0.598121693626449	0.0183	0.92	Distal Intergenic	0.7209	0.7252	0.0043
Ncam2	0.580797	-0.363447573281503	0.149512705650291	0.195382948792382	0.1042	0.596	Promoter	0.7655	0.7655	0
Mbnl3	0.579461	-0.573846251706032	-0.518196655548359	0.255494947275706	-0.0606	0.849	Promoter	0.7805	0.7782	-0.0022
