gene	method	signal	detected	signal_display
Cdh8	WGBS	0.000911910026017209	TRUE	0.000911910026017209
Epha3	WGBS	0.00167738993907865	TRUE	0.00167738993907865
Grin2b	WGBS	0.0022364515144167	TRUE	0.0022364515144167
Nrxn1	WGBS	0.000665287951659212	TRUE	0.000665287951659212
Nrxn3	WGBS	0.000633402809092661	TRUE	0.000633402809092661
Syt1	WGBS	0	FALSE	0
Lpp	WGBS	0.00128858329176646	TRUE	0.00128858329176646
Mcu	WGBS	0	FALSE	0
Dlgap1	WGBS	0.000909045402016132	TRUE	0.000909045402016132
Trpm3	WGBS	0.00114563688048277	TRUE	0.00114563688048277
Dlg2	WGBS	0.000935128793724071	TRUE	0.000935128793724071
Zbtb20	WGBS	0.00138852477887428	TRUE	0.00138852477887428
Cntnap2	WGBS	0.000977504726350897	TRUE	0.000977504726350897
Arhgap26	WGBS	0.0014900050130038	TRUE	0.0014900050130038
Cdh8	EM-seq	0.00183261647256938	TRUE	0.00183261647256938
Epha3	EM-seq	0.00305890214886193	TRUE	0.00305890214886193
Grin2b	EM-seq	0.00388711696704772	TRUE	0.00388711696704772
Nrxn1	EM-seq	0.00136957443403357	TRUE	0.00136957443403357
Nrxn3	EM-seq	0.00184815028322107	TRUE	0.00184815028322107
Syt1	EM-seq	0.00227942515763873	TRUE	0.00227942515763873
Lpp	EM-seq	0.00286776185064391	TRUE	0.00286776185064391
Mcu	EM-seq	0.00231671072093878	TRUE	0.00231671072093878
Dlgap1	EM-seq	0.00193903217507419	TRUE	0.00193903217507419
Trpm3	EM-seq	0.00261965788351911	TRUE	0.00261965788351911
Dlg2	EM-seq	0.00187260680495182	TRUE	0.00187260680495182
Zbtb20	EM-seq	0.00292299554836252	TRUE	0.00292299554836252
Cntnap2	EM-seq	0.00189698235025696	TRUE	0.00189698235025696
Arhgap26	EM-seq	0.00348355363545348	TRUE	0.00348355363545348
Cdh8	evoC	1.64859279849301e-07	TRUE	1.64859279849301e-07
Epha3	evoC	-1.57301599897733e-07	FALSE	-1.57301599897733e-07
Grin2b	evoC	1.79239106373704e-08	TRUE	1.79239106373704e-08
Nrxn1	evoC	6.78423921494737e-09	TRUE	6.78423921494737e-09
Nrxn3	evoC	2.83682057131436e-07	TRUE	2.83682057131436e-07
Syt1	evoC	-3.41639836979777e-07	FALSE	-3.41639836979777e-07
Lpp	evoC	1.01302512991133e-07	TRUE	1.01302512991133e-07
Mcu	evoC	-1.20058458272696e-07	FALSE	-1.20058458272696e-07
Dlgap1	evoC	6.68746402668692e-08	TRUE	6.68746402668692e-08
Trpm3	evoC	-3.48858288246464e-08	FALSE	-3.48858288246464e-08
Dlg2	evoC	1.05006700927834e-06	TRUE	1.05006700927834e-06
Zbtb20	evoC	2.12756375270182e-08	TRUE	2.12756375270182e-08
Cntnap2	evoC	-2.2910702276412e-07	FALSE	-2.2910702276412e-07
Arhgap26	evoC	9.19229323935727e-07	TRUE	9.19229323935727e-07
