gene	mecp2_mean_fold	mecp2_nearest_fdr	gb_log2fc	mc_diff	hmc_diff	chromatin_state	atac_fold	k27ac_fold	k27me3_fold	k119ub_fold	total_ctrl	total_mut	delta_ratio	dmr_status	is_neuronal	gene_class
A330070K13Rik	2.1111518023123	4.27997166975257e-07	0.700541	0.185823966874757	-0.0553867696751865	Other	0.665421288691696	-0.330476497341351	NA	-0.469522200295962	0.67609216923556	0.806529366435131	-0.153259312024724	Both mC+hmC DMR	FALSE	Non-neuronal
Ap3b1	0.0761260549235327	0.00172316973681653	0.315618	0.00870916519042186	-0.0251754473240131	Active_Promoter	0.450813023779321	NA	1.61725370075357	0.727753783180986	0.908612477527645	0.892146195394054	-0.0255241873678702	Both mC+hmC DMR	TRUE	Neuronal
Aqp6	0.469271574508424	0.00114587719949221	0.802676	0.129894479714834	0.0360545520724186	Active_Promoter	0.119899077540626	-0.643963927337024	NA	0.662468451874112	0.67981784472355	0.845766876510804	-0.0432732172565632	Both mC+hmC DMR	FALSE	Non-neuronal
Asap1	0.11873211733645	0.02003975456976	0.352888	-0.0167834446712587	0.0152239438142839	Bivalent_Promoter	0.541686341448809	0.235679282549425	-0.297139258487009	-0.126798032369296	0.880651868352994	0.879092367496019	0.0175708913746642	Both mC+hmC DMR	FALSE	Non-neuronal
Astn2	1.04548469558304	0.000325014000745512	0.048056	0.0175480138813267	-0.0183937401663775	Active_Promoter	0.558442526763228	-0.312415507972862	NA	0.318881137654907	0.854347765770512	0.853502039485461	-0.0212266043541678	Both mC+hmC DMR	TRUE	Neuronal
Bcl2l15	0.856001627275543	0.000163032297516809	0.951993	0.0512895167266098	-0.00638940743334415	Other	-0.143232732144723	-1.07838252554251	NA	NA	0.757131653698044	0.80203176299131	-0.0227834073859181	mC DMR only	FALSE	Non-neuronal
Bhmt	0.381930697675372	0.0258245817594812	0.902883	0.0270946170868697	0.00409278268486507	Other	1.1516131597495	NA	NA	0.926677354634346	0.877826468574931	0.909013868346666	-0.00171225844559947	mC DMR only	FALSE	Non-neuronal
Ccdc192	0.716645403080805	2.06372487287673e-05	0.983183	0.0263342314213754	-0.00765872146590091	Other	NA	NA	NA	NA	0.895747722764021	0.914423232719495	-0.0118756556767868	Both mC+hmC DMR	FALSE	Non-neuronal
Cd83	0.606560523832217	7.50065282464853e-05	0.444323	0.113425263722721	-0.064321981242862	Active_Promoter	-0.0113124340767844	-0.987546890866172	NA	0.13123151461612	0.852864141267199	0.901967423747058	-0.088659745990947	Both mC+hmC DMR	FALSE	Non-neuronal
Cep128	0.449952090492523	2.36507057339572e-06	0.434385	0.0137870797489106	-0.0108947086165959	Other	0.0584685661317865	NA	NA	0.174102073525914	0.9175228753348	0.920415246467115	-0.0121875378659847	Both mC+hmC DMR	FALSE	Non-neuronal
Cep170	0.247623579477885	0.000757414980109394	0.209935	0.0232475474933513	-0.0141068873677093	Active_Promoter	0.0998912154202376	NA	NA	NA	0.828129619458017	0.837270279583659	-0.020080630561685	Both mC+hmC DMR	FALSE	Non-neuronal
Cerkl	1.115286949067	0.000283321465302971	0.983307	0.0541282022520972	-0.00337166250677112	Active_Promoter	-0.165506990260828	-0.276181830990624	NA	1.31852613298777	0.741690817705114	0.79244735745044	-0.0219472700212053	mC DMR only	FALSE	Non-neuronal
