gene	mc_diff	mc_sig	hmc_diff	hmc_sig	delta_ratio	dmr_status	chromatin_state	me3_fold	me3_fdr	me3_n_peaks	me2_fold	me2_fdr	me2_n_peaks	k119ub_fold	k27me3_fold	k27ac_fold	atac_fold
Fndc10	0.030608755129959	FALSE	0.0174418604651163	FALSE	-0.542862919530934	Not DMR	Active_Promoter	0.268327941	0.457767476	1	NA	NA	NA	0.553295238636203	NA	-1.35255550502648	0.0843330413617435
H2ac4	0.00217391304347826	FALSE	-0.0183740321620012	FALSE	-0.5	Not DMR	Other	0.894370588	0.006074236	1	NA	NA	NA	1.3122210278361	NA	NA	0.000877281233360944
Fam89b	0.00951402851580577	FALSE	-0.00357795170805952	FALSE	-0.399912377909517	Not DMR	Active_Promoter	-0.110226124	0.809213677	1	NA	NA	NA	NA	NA	-0.0745157126447347	0.194561439852059
H1f0	0.00802950642197629	TRUE	-0.00027426287861098	FALSE	-0.362682007139007	mC DMR only	Active_Promoter	NA	NA	NA	NA	NA	NA	NA	NA	-0.367668519151871	-0.0169787512958319
Naa38	0.00508794750766789	FALSE	-0.00925798392456816	TRUE	-0.353399218140763	hmC DMR only	Active_Promoter	0.562306555	0.082252941	1	NA	NA	NA	NA	NA	NA	0.0215821394717701
Ier3	0.0015518671044234	FALSE	-0.0186089280527911	TRUE	-0.327997911193969	hmC DMR only	Active_Promoter	0.051106799	0.915507496	1	NA	NA	NA	0.227471548104636	NA	NA	-0.0440460211592452
Rraga	0.00135315078267768	FALSE	-0.00621323008760372	TRUE	-0.306576676821148	hmC DMR only	Active_Promoter	0.443136003	0.200595878	2	NA	NA	NA	0.469831747921983	NA	0.0557322635298302	0.038455969257987
Cox6b2	-0.0112269856735569	FALSE	-0.0276168548976562	FALSE	-0.301799951552515	Not DMR	Repressed_Promoter	NA	NA	NA	NA	NA	NA	-0.290731118033164	0.829615304509704	NA	0.134585524025501
Spry2	0.169619652521318	TRUE	0.0392053725932666	TRUE	-0.257440449167534	Both mC+hmC DMR	Active_Promoter	-0.277471352	0.457652148	2	-0.593978991224266	0.0262209750808409	5	0.47815220605272	1.98744417092436	-0.693347122354466	0.0412890436526127
Tlx2	-0.108391201838782	TRUE	-0.0545506912442396	FALSE	-0.246025639744602	mC DMR only	Repressed_Promoter	0.19967912	0.624368643	2	NA	NA	NA	-0.498590412256365	-0.0362588837790466	NA	NA
1700056E22Rik	0.0216226180505799	FALSE	-0.0203827901599309	FALSE	-0.241843469819068	Not DMR	Active_Promoter	NA	NA	NA	-0.492485249494112	0.0394990073308329	1	0.502689837050593	-0.312888635212952	-0.0399114913154849	0.0709907170233782
Cited4	0.323698669751301	TRUE	0.170127241179873	FALSE	-0.224510485243807	mC DMR only	Other	NA	NA	NA	NA	NA	NA	-0.0404070605275357	NA	-0.667638905020373	-0.294326893041009
Alyref2	-0.00267827207368808	FALSE	-0.0156373340991135	TRUE	-0.219958616224715	hmC DMR only	Active_Promoter	NA	NA	NA	NA	NA	NA	NA	NA	-0.0847789258249379	0.0717477985714842
Fam181b	0.06306989315693	TRUE	-0.0565588152771245	TRUE	-0.213207256754123	Both mC+hmC DMR	Active_Enhancer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm12184	0.0619438894438895	FALSE	-0.189058025308025	TRUE	-0.205839133904837	hmC DMR only	Other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cldn3	0.018744077449011	FALSE	-0.0771818687497056	FALSE	-0.205033109875214	Not DMR	Repressed_Promoter	0.163306825	0.68270434	1	NA	NA	NA	-0.43268663931923	-0.146867494456257	NA	0.958172118406388
Frat1	0.103326641066874	TRUE	-0.0195419652773269	FALSE	-0.185400888003847	mC DMR only	Active_Promoter	NA	NA	NA	NA	NA	NA	0.119150799564201	NA	-0.0323376313109085	-0.486475706997197
Gpr22	0.164985186171975	TRUE	-0.0121353797916432	FALSE	-0.182520273780377	mC DMR only	Active_Promoter	0.082613157	0.844660994	1	0.569398144695743	0.0245687358436268	2	1.00573169599638	NA	-0.251275440726879	-0.107991529607986
AL731706.2	0.148966165413534	FALSE	-0.093295739348371	FALSE	-0.18072249010617	Not DMR	Other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
