ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0007389	pattern specification process	496	0.700982918082301	2.23929315123765	4.83481180468318e-67	2.50830036426963e-63	1.83824634089638e-63	2940	tags=46%, list=14%, signal=41%	107587/12022/73191/12020/15205/23967/18741/20471/13392/54713/18423/15404/21815/21375/18530/15438/17701/13390/16870/15432/14313/21385/15402/15375/15111/15396/17300/15427/15229/15376/15431/12159/15433/15395/21418/16814/15405/13172/15430/13798/18088/16373/18424/15424/15434/15399/109663/320145/15400/15426/209448/13797/15425/13654/15436/15403/11694/14367/15437/18121/14843/21869/226049/22408/16371/13614/16372/242620/20472/16147/14836/18091/15227/21380/14234/15423/14179/240590/15110/15414/20465/15285/232174/18187/66042/15401/20473/15394/13796/11819/19434/15415/15413/15228/16871/55927/16658/14463/59058/14472/20671/14451/15206/66993/22420/11838/20423/15422/11695/16392/15416/18095/15417/21386/241324/103889/24063/15213/12591/54485/22418/12622/17292/14573/12156/15410/67122/50916/13590/20893/16848/22411/15223/20664/15208/16917/13388/18014/22431/17172/15207/78405/53883/216285/107586/12705/24113/14632/15407/14766/18508/79362/20613/18119/15412/234219/21393/24087/21407/18503/17684/546726/20855/13380/22422/84653/22773/16869/13865/64290/12151/71870/433809/13082/12259/14633/18505/15242/17965/106042/13641/24136/214766/71458/622473/110796/20997/20350/12227/76365/14609/12667/23892/22255/12592/17878/14174/14296/56184/72475/14561/170765/68431/17702/17125/14464/75691/68922/16776/65256/22415/13813/20890/23796/15214/18128/12006/20807/116810/12590/18509/14042/17130/15258/18504/11482/20319/18845
GO:0003002	regionalization	449	0.70966317572935	2.26119191056058	7.64526257793381e-63	1.98318111271603e-59	1.45340465428931e-59	1415	tags=38%, list=7%, signal=36%	12022/73191/12020/15205/23967/18741/20471/13392/54713/18423/15404/21815/21375/18530/15438/17701/13390/16870/21385/15402/15375/15111/15396/17300/15427/15229/15376/15431/12159/15433/15395/16814/15405/13172/15430/13798/18088/16373/18424/15424/15434/15399/109663/320145/15400/15426/209448/13797/15425/13654/15436/15403/14367/15437/18121/14843/21869/226049/22408/16371/13614/16372/242620/20472/16147/14836/18091/15227/21380/14234/15423/14179/240590/15110/15414/15285/232174/18187/66042/15401/20473/15394/13796/11819/15415/15413/15228/16871/55927/16658/14463/59058/14472/20671/14451/15206/66993/11838/20423/15422/11695/16392/15416/18095/15417/21386/241324/103889/24063/15213/12591/54485/22418/12622/17292/14573/12156/15410/67122/13590/20893/16848/22411/15223/20664/15208/16917/13388/18014/22431/17172/15207/78405/53883/216285/107586/24113/14632/15407/14766/18508/79362/20613/18119/15412/234219/21393/24087/21407/18503/17684/546726/13380/22422/84653/22773/16869/13865/64290/12151/71870/433809/13082/12259/14633/18505/15242/17965/106042
GO:0009952	anterior/posterior pattern specification	238	0.746419203968436	2.33795106923883	1.2679755280989e-42	2.19275234659236e-39	1.60699214298008e-39	1774	tags=47%, list=8%, signal=44%	12022/73191/15205/23967/54713/18423/15404/18530/15438/17701/15402/15396/17300/15427/15376/15431/12159/15433/15395/15405/15430/13798/18424/15424/15434/15399/109663/15400/15426/209448/13797/15425/15436/15403/14367/15437/18121/226049/22408/20472/15227/21380/14234/15423/14179/15414/15401/20473/15394/11819/15415/15413/55927/14463/14472/20671/15206/11838/20423/15422/11695/15416/18095/15417/21386/241324/103889/15213/12591/22418/12622/17292/12156/15410/67122/13590/20893/16848/15208/13388/18014/22431/15207/53883/216285/15407/18508/79362/18119/15412/234219/21393/21407/18503/546726/13380/84653/22773/16869/64290/12151/13082/14633/18505/15242/106042/24136/622473/110796/20997/12227/76365
GO:0048562	embryonic organ morphogenesis	345	0.684493612438144	2.16713333450721	2.0301464769596e-42	2.63309998061661e-39	1.92970765125739e-39	1380	tags=34%, list=6%, signal=32%	107587/11921/13395/18109/20429/12020/15205/23967/18741/15284/20471/13392/18423/15404/13396/15438/17869/17701/111970/21412/21385/15402/15111/15396/15427/15431/12159/21418/16814/20674/15405/14462/110805/15430/26927/14461/18424/22160/15434/15399/109663/14581/15400/15436/18998/11694/14367/18121/15372/15902/22408/54352/13614/20472/15373/16147/14836/18091/15227/21380/14234/15423/14179/15110/15414/15401/20473/15394/15415/15413/15228/20682/16658/14463/24064/14472/20671/14451/20666/20423/11695/15416/15417/14238/21386/241324/103889/667663/22418/17150/17292/15410/18595/22411/13388/18507/18014/20897/57265/216285/107586/24113/14632/12954/12824/15407/18508/18119/15412/21393/17684/22773/16869/12151/18994/433809/14633
GO:0045165	cell fate commitment	302	0.69605490370732	2.19639400051383	2.9272627435552e-39	3.03732782271288e-36	2.22595221678345e-36	2932	tags=49%, list=14%, signal=43%	11921/15205/20471/13392/54713/11924/21375/104360/13390/238057/15398/21385/15375/18089/260298/15396/18996/15376/18740/12159/50913/14842/16814/20674/14462/13172/15430/18088/14461/18424/15399/14581/209448/14843/21869/11878/15902/22408/21907/13614/242620/20472/16147/14836/18992/18091/21380/14234/14179/240590/15110/21908/232077/27140/15285/232174/13363/22409/66042/11819/15228/16871/20682/16874/20672/14463/24064/21349/94222/20671/14451/50914/22420/20423/17927/16392/103551/22410/21386/14369/16911/22417/14912/20681/54485/383491/22418/93735/14465/17292/12156/69743/22411/20664/15208/13388/18014/21387/19213/22431/14184/17172/78405/74561/18508/58208/16450/104382/18119/21420/15379/13380/22422/14633/18505/13592/225631/231044/12142/20997/23966/76365/19401/12667/13819/21384/12677/12394/30051/18205/69952/74748/22423/17125/16542/14464/22415/13813/20890/15214/18128/53404/116810/18509/14042/18504/83430/20319/230587
GO:0030900	forebrain development	464	0.618813869192591	1.97265343421661	5.02970222655754e-35	4.34901585856342e-32	3.18724288461857e-32	3190	tags=37%, list=15%, signal=32%	11921/13395/73191/15205/18420/18741/13392/54713/11924/18423/18092/21375/17701/13390/12918/238057/16870/230025/18996/18740/12159/50913/14842/21418/20674/16491/14461/18424/11516/75409/22348/13797/12767/18993/18121/14843/21869/11878/15902/11925/22408/21907/16490/242620/16324/14836/73710/18992/16873/14179/18187/20473/13796/11819/15904/19434/15228/16871/20689/16874/59058/14472/77630/20607/20675/20423/16392/21386/14281/16875/22417/244152/22418/12032/12156/58198/20315/18039/20664/15208/18507/18014/18072/18227/214593/20287/14184/17172/15364/24113/14632/14766/18508/58208/269295/18991/13845/668303/13488/21420/18844/20605/13380/22422/22773/16869/13865/11826/64290/243743/16565/18994/22151/13555/11922/14633/15242/668158/12569/109648/14602/17242/16485/18049/24136/16323/16975/22174/170758/12227/20602/12570/19401/12667/18124/20562/20361/20606/233552/13167/22255/12140/22062/18430/100182/21960/65079/328365/11682/232440/18506/65100/69601/64704/13813/18128/98660/20807/14042/68169/14360/20356/19280/18795/217124/269610/69080/54140/76574/18032/18028/67263/74762
GO:0048706	embryonic skeletal system development	152	0.778166006820787	2.39856118667764	9.77373983548131e-33	7.24373746663958e-30	5.30868395274564e-30	1255	tags=46%, list=6%, signal=44%	107587/13395/18109/20429/12020/23967/20471/13392/15404/13396/15438/111970/13390/15402/15111/15396/15427/15431/12159/21418/15405/15430/15424/22160/15434/15399/109663/15400/15425/15436/15403/11694/18121/226049/13394/54352/20472/16147/14836/21380/14234/15429/15423/14179/15414/15401/15394/15415/15413/14451/20666/13393/20423/11695/15416/15417/103889/22418/15410/18595/22411/18507/216285/12824/15407/13386/18119/15412/16869/12151
GO:0021953	central nervous system neuron differentiation	251	0.666062705871446	2.09035702328167	2.38492214197238e-27	1.54662200906909e-24	1.13346562852688e-24	1759	tags=35%, list=8%, signal=33%	13395/15205/18420/13392/54713/18935/11924/21815/21375/104360/13390/238057/18996/50913/14842/21418/16814/20674/13172/15430/18088/14461/18997/209448/18096/14843/21869/11878/11859/22408/21907/16873/14179/240590/15285/16872/18187/15394/13796/15904/15228/16871/20689/16874/21349/59058/14472/77630/94222/20423/16392/16911/16875/244152/54485/22418/58198/69743/20664/15208/16917/18072/18227/19213/16846/17172/18508/58208/13845/104382/13488/21420/240843/18844/13380/16869/243743/18994/14633/18505/109648/12404/231044/24136/235402/16323/68190/170758/12227
GO:0048663	neuron fate commitment	87	0.828211888787651	2.47442442622749	1.76796935413435e-26	1.01913611213878e-23	7.46889509606231e-24	1513	tags=66%, list=7%, signal=61%	11921/20471/13392/54713/21375/104360/13390/15375/260298/18996/15376/12159/50913/14842/16814/20674/13172/15430/18088/14461/18424/209448/14843/21869/15902/22408/242620/16147/18992/21380/240590/27140/15285/15228/16871/20682/16874/94222/50914/20423/16392/103551/16911/14912/54485/69743/20664/13388/19213/17172/18508/58208/16450/21420/14633/18505/231044
GO:0045664	regulation of neuron differentiation	240	0.67202358578204	2.1058665643605	3.11496170613505e-26	1.61604213314286e-23	1.18434122974314e-23	2714	tags=41%, list=13%, signal=36%	11921/73191/18109/15205/20471/13392/54713/18935/11924/21815/104360/13390/238057/15375/223227/15376/12159/50913/21418/16814/20674/18088/16373/14461/15434/15399/18997/242316/18096/216233/15902/11925/21907/18091/13638/27140/11552/20473/11553/15904/12484/15228/20682/114712/20666/243547/20675/20423/16392/15213/20681/12156/58198/20315/69743/100043902/723950/15208/13388/16918/18014/14184/17172/15207/18508/58208/213696/16449/240843/13380/14633/17965/17005/18049/723951/19205/22671/18053/170758/12064/19401/64297/114606/80857/233552/22062/216858/14561/228839/69952/11682/15353/69807/94226/14025/15214/18128/227292/19712
