feature	display_name	tau	beta	se	ci_lo	ci_hi	ols_beta
atac_count	ATAC peaks	0.25	0.000595367635854527	0.000258233639600853	8.92297022368544e-05	0.0011015055694722	0.00133908289454573
atac_count	ATAC peaks	0.5	0.00115179353504928	0.000262187930717186	0.000637905190843591	0.00166568187925496	0.00133908289454573
atac_count	ATAC peaks	0.75	0.0016832864237371	0.000329434922908531	0.00103759397483638	0.00232897887263782	0.00133908289454573
baseline_hmc	Baseline 5hmC	0.25	-0.00952285566679767	0.000440273430645839	-0.0103857915908635	-0.00865991974273182	-0.00839635616422939
baseline_hmc	Baseline 5hmC	0.5	-0.00954743777361853	0.000402865596842785	-0.0103370543434304	-0.00875782120380668	-0.00839635616422939
baseline_hmc	Baseline 5hmC	0.75	-0.00927105990460623	0.000344904721999763	-0.00994707315972576	-0.00859504664948669	-0.00839635616422939
baseline_mc	Baseline 5mC	0.25	0.00853426073605168	0.000491484789827864	0.00757095054798907	0.00949757092411429	0.00677081229207365
baseline_mc	Baseline 5mC	0.5	0.0037904138096383	0.000476137138427992	0.00285718501831943	0.00472364260095716	0.00677081229207365
baseline_mc	Baseline 5mC	0.75	0.000716895451865406	0.000438277945677313	-0.000142129321662128	0.00157592022539294	0.00677081229207365
cpg_density	CpG density	0.25	0.00100953987362542	0.000200058721465623	0.000617424779552799	0.00140165496769804	-0.000104168665821559
cpg_density	CpG density	0.5	0.000615430649079991	0.000195461582707751	0.000232325946972799	0.000998535351187183	-0.000104168665821559
cpg_density	CpG density	0.75	0.000111557001694756	0.00020246103446356	-0.000285266625853822	0.000508380629243333	-0.000104168665821559
k119ub	H2AK119ub	0.25	0.00621591500919381	0.000497879283267163	0.00524007161399017	0.00719175840439745	0.00685371981349398
k119ub	H2AK119ub	0.5	0.00855893518377277	0.000349712376865789	0.00787349892511582	0.00924437144242972	0.00685371981349398
k119ub	H2AK119ub	0.75	0.0110489514927342	0.0003913268542466	0.0102819508584108	0.0118159521270575	0.00685371981349398
log_expression	Expression (log10)	0.25	-0.00514362009730856	0.000250998980898057	-0.00563557809986875	-0.00465166209474837	-0.00518318127958201
log_expression	Expression (log10)	0.5	-0.00504213598438232	0.000228569632086161	-0.0054901324632712	-0.00459413950549345	-0.00518318127958201
log_expression	Expression (log10)	0.75	-0.00492587365444545	0.00028096760824404	-0.00547657016660376	-0.00437517714228713	-0.00518318127958201
log_gene_length	Gene length (log10)	0.25	0.00611398219503555	0.000269630656083033	0.0055855061091128	0.00664245828095829	0.00505901048024013
log_gene_length	Gene length (log10)	0.5	0.00622681955810598	0.000240741585318533	0.00575496605088165	0.0066986730653303	0.00505901048024013
log_gene_length	Gene length (log10)	0.75	0.00577483182280767	0.000266362984855223	0.00525276037249143	0.0062969032731239	0.00505901048024013
