category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Development and regeneration	mmu04360	Axon guidance	35/891	180/8808	0.194444444444444	1.9221848110737	4.19345200624812	0.000104228282184046	0.0354376159425757	0.0342307621488657	108058/117606/13640/13642/13837/13839/13840/13841/13842/13848/140570/14677/16412/16885/18708/18710/18845/192198/19878/20346/20349/20356/20358/20564/210801/214968/218397/22067/22253/241568/268902/50780/57764/80883/93742	35
Metabolism	Glycan biosynthesis and metabolism	mmu00512	Mucin type O-glycan biosynthesis	10/891	32/8808	0.3125	3.08922558922559	3.97177416101798	0.000863216781151523	0.146746852795759	0.141749281957513	108150/14537/20447/212996/233733/241391/270049/271786/59048/78754	10
Human Diseases	Cardiovascular disease	mmu05412	Arrhythmogenic right ventricular cardiomyopathy	18/891	86/8808	0.209302325581395	2.06906272022551	3.3420804311878	0.00206260845352565	0.233762291399573	0.225801346491229	12293/12294/12386/12558/13346/13506/13527/16403/16404/16412/16416/16419/16651/20391/20392/20541/216033/24052	18
Human Diseases	Cardiovascular disease	mmu05414	Dilated cardiomyopathy	20/891	103/8808	0.194174757281553	1.9195188127227	3.14896164866076	0.0030704098438017	0.260984836723145	0.252096808227929	11514/11606/12293/12294/13346/13527/14683/16403/16404/16412/16416/16419/16651/17868/18749/20391/20392/20541/24052/59069	20
NA	NA	mmu04517	IgSF CAM signaling	44/891	293/8808	0.150170648464164	1.4845152319555	2.82957654260735	0.00464861343114292	0.278508983038345	0.269024156990599	100043314/11735/12558/12805/14924/16180/16412/16416/17096/17196/17756/18708/18710/18845/192167/19266/20564/210801/216963/218397/22034/22253/239857/241568/243499/245450/252966/268902/29857/327814/331461/50791/53321/54698/56458/66797/71566/73710/74192/76089/83964/93742/94332/99167	44
Human Diseases	Cardiovascular disease	mmu05410	Hypertrophic cardiomyopathy	19/891	100/8808	0.19	1.87824915824916	2.9629959629156	0.00493813327382195	0.278508983038345	0.269024156990599	108079/108099/11606/12293/12294/13346/13527/16403/16404/16412/16416/16419/16651/17868/20391/20392/20541/24052/59069	19
Human Diseases	Substance dependence	mmu05030	Cocaine addiction	11/891	47/8808	0.234042553191489	2.31363278171789	3.02913475734814	0.00613928892890669	0.278508983038345	0.269024156990599	12064/12913/13385/13488/14677/14683/14811/17161/18749/208647/231991	11
Organismal Systems	Aging	mmu04211	Longevity regulating pathway	17/891	90/8808	0.188888888888889	1.86726524504302	2.7741969685974	0.00806611680855637	0.278508983038345	0.269024156990599	108079/108099/11514/12028/12359/12913/140742/16367/18708/18710/18749/208647/231991/384783/56458/72993/93759	17
Human Diseases	Cancer: specific types	mmu05222	Small cell lung cancer	17/891	90/8808	0.188888888888889	1.86726524504302	2.7741969685974	0.00806611680855637	0.278508983038345	0.269024156990599	12028/12043/12571/12576/12828/13557/16403/16412/16780/16782/17187/18708/18710/218772/22031/22034/27015	17
Human Diseases	Cancer: overview	mmu05202	Transcriptional misregulation in cancer	30/891	189/8808	0.158730158730159	1.56913045801935	2.65330281458098	0.0082604741943796	0.278508983038345	0.269024156990599	104156/12028/12053/12151/12393/12395/12444/12576/12981/14009/15078/16009/17132/17187/17260/17342/17355/18124/18516/18647/18854/19126/268996/27015/27140/319149/53618/56458/67603/70122	30
Metabolism	Lipid metabolism	mmu00600	Sphingolipid metabolism	12/891	56/8808	0.214285714285714	2.11832611832612	2.81631581931475	0.00901058474535821	0.278508983038345	0.269024156990599	19012/20397/20597/22234/230101/230379/54447/56386/56632/67630/76893/81535	12
Metabolism	Glycan biosynthesis and metabolism	mmu00514	Other types of O-glycan biosynthesis	10/891	45/8808	0.222222222222222	2.19678264122709	2.70002422102555	0.0127644439419633	0.361659245022293	0.349342676306363	108150/212996/224143/232313/233733/241391/270049/271786/59048/78754	10
Human Diseases	Substance dependence	mmu05032	Morphine addiction	16/891	88/8808	0.181818181818182	1.79736761554943	2.52182075366573	0.0142776330324678	0.368463735862557	0.355915435260427	11514/13488/14395/14399/14400/14401/14406/14409/14677/14683/18390/18575/18583/18749/238871/54611	16
Cellular Processes	Cell growth and death	mmu04115	p53 signaling pathway	14/891	74/8808	0.189189189189189	1.87023387023387	2.5218414354748	0.0151720361825759	0.368463735862557	0.355915435260427	12028/12043/12444/12445/12450/12452/12571/140742/16009/382985/53892/64058/67874/98376	14
NA	NA	mmu04519	Cadherin signaling	54/891	402/8808	0.134328358208955	1.32790592492085	2.25756428270312	0.0175567142843959	0.374471130382684	0.361718243589466	110310/116731/12386/12558/12564/12941/13346/13506/14107/14369/14395/14399/14400/14401/14406/14409/17921/18526/192163/19878/211712/216033/21676/21679/218454/22601/22631/241201/270120/29857/320865/320873/329628/353234/406219/406220/54216/65970/66922/74192/74424/75706/76441/93700/93703/93704/93706/93709/93712/93714/93715/93716/93717/93840	54
Organismal Systems	Aging	mmu04213	Longevity regulating pathway - multiple species	12/891	61/8808	0.19672131147541	1.94469282993873	2.48369636159747	0.0176221708415381	0.374471130382684	0.361718243589466	108079/108099/11514/12359/15376/16367/18708/18710/18749/384783/56458/93759	12
Organismal Systems	Endocrine system	mmu04911	Insulin secretion	15/891	86/8808	0.174418604651163	1.72421893352126	2.26403734769325	0.0246318526773815	0.482822285253596	0.466379421049913	108058/11514/11517/116838/12671/12913/140492/14683/16531/18749/18795/20614/208647/231991/26875	15
Organismal Systems	Endocrine system	mmu04923	Regulation of lipolysis in adipocytes	11/891	57/8808	0.192982456140351	1.90773229369721	2.30642267958343	0.0257227121862759	0.482822285253596	0.466379421049913	11514/11555/14677/14683/16367/18708/18710/18749/225845/23945/384783	11
Metabolism	Glycan biosynthesis and metabolism	mmu00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	6/891	24/8808	0.25	2.47138047138047	2.42134666889666	0.0288960384937685	0.482822285253596	0.466379421049913	15476/233781/50785/50786/50787/93683	6
Environmental Information Processing	Signal transduction	mmu04071	Sphingolipid signaling pathway	20/891	127/8808	0.15748031496063	1.55677510008219	2.1201633104411	0.0297567825675283	0.482822285253596	0.466379421049913	12028/12043/13033/14674/14677/18708/18710/18795/19878/20397/20597/230379/26408/29857/54447/56632/66183/73699/76893/81535	20
Organismal Systems	Nervous system	mmu04723	Retrograde endocannabinoid signaling	21/891	135/8808	0.155555555555556	1.53774784885896	2.11219213205823	0.0298213764421339	0.482822285253596	0.466379421049913	11514/12801/14395/14399/14400/14401/14406/14409/14677/14799/14816/16438/17991/17992/17995/18749/18795/23945/29857/68197/78330	21
Human Diseases	Infectious disease: bacterial	mmu05100	Bacterial invasion of epithelial cells	13/891	74/8808	0.175675675675676	1.73664573664574	2.13471781032819	0.0331261045966238	0.494439622163326	0.47760112109894	12386/140579/140580/14388/16412/18708/18710/216033/234683/330662/52398/56526/74192	13
Human Diseases	Substance dependence	mmu05033	Nicotine addiction	8/891	38/8808	0.210526315789474	2.08116250221513	2.24055445751802	0.0334473862051662	0.494439622163326	0.47760112109894	14395/14399/14400/14401/14406/14409/14799/14811	8
Organismal Systems	Endocrine system	mmu04928	Parathyroid hormone synthesis, secretion and action	18/891	115/8808	0.156521739130435	1.54729907773386	1.9818068463346	0.0398927300674662	0.565147009289104	0.545900516712695	11514/12043/12393/12913/14674/14677/14683/16438/17260/17387/18227/18749/18795/20393/208647/231991/238871/53416	18
Environmental Information Processing	Signal transduction	mmu04152	AMPK signaling pathway	19/891	125/8808	0.152	1.50259932659933	1.89851720006222	0.0459216973581629	0.581392940428869	0.5615931808477	108079/108099/12913/16367/16846/18640/18642/18708/18710/20250/208647/227154/231991/384783/56458/59021/72149/73699/93759	19
Organismal Systems	Endocrine system	mmu04922	Glucagon signaling pathway	16/891	101/8808	0.158415841584158	1.56602326899357	1.9192574169654	0.0461286996008882	0.581392940428869	0.5615931808477	102093/108058/108079/108099/12913/14683/16438/16828/18597/18642/18749/18795/208647/231991/56458/93759	16
Organismal Systems	Endocrine system	mmu04935	Growth hormone synthesis, secretion and action	18/891	117/8808	0.153846153846154	1.52084952084952	1.9025796735878	0.0461694393869984	0.581392940428869	0.5615931808477	11514/12913/14677/14683/16009/16367/16438/18708/18710/18749/18795/20606/20607/208647/231991/26401/29857/384783	18
Environmental Information Processing	Signal transduction	mmu04392	Hippo signaling pathway - multiple species	6/891	27/8808	0.222222222222222	2.19678264122709	2.08928507835441	0.0490723854884387	0.592230397243744	0.572061560185908	213391/21676/21679/22601/319710/329628	6
Environmental Information Processing	Signaling molecules and interaction	mmu04512	ECM-receptor interaction	14/891	87/8808	0.160919540229885	1.59077363675065	1.85767662946862	0.053260461009023	0.592230397243744	0.572061560185908	12828/12839/16403/16404/16412/16416/16419/16423/16780/16782/20969/21826/329278/64176	14
Metabolism	Glycan biosynthesis and metabolism	mmu00531	Glycosaminoglycan degradation	5/891	21/8808	0.238095238095238	2.35369568702902	2.08344915890583	0.0541465784461054	0.592230397243744	0.572061560185908	11881/15442/15586/15587/20690	5
Metabolism	Nucleotide metabolism	mmu00240	Pyrimidine metabolism	10/891	57/8808	0.175438596491228	1.73430208517928	1.86576041712121	0.05777568145607	0.592230397243744	0.572061560185908	110074/18102/22247/320685/382985/54369/64705/76654/76952/99586	10
Metabolism	Glycan biosynthesis and metabolism	mmu00513	Various types of N-glycan biosynthesis	8/891	43/8808	0.186046511627907	1.83916686242268	1.85045752613525	0.0636220219575848	0.592230397243744	0.572061560185908	17158/17308/53618/56737/66059/66357/66789/71367	8
Organismal Systems	Excretory system	mmu04962	Vasopressin-regulated water reabsorption	8/891	43/8808	0.186046511627907	1.83916686242268	1.85045752613525	0.0636220219575848	0.592230397243744	0.572061560185908	11827/12913/13426/13427/14683/18749/208647/231991	8
Organismal Systems	Nervous system	mmu04730	Long-term depression	10/891	58/8808	0.172413793103448	1.70440032508998	1.80551892818042	0.0637811110296731	0.592230397243744	0.572061560185908	14674/14677/14683/14799/14804/14816/16438/17096/18795/73699	10
Cellular Processes	Cell motility	mmu04820	Cytoskeleton in muscle cells	31/891	232/8808	0.133620689655172	1.32091025194473	1.66171953523224	0.0644608801031745	0.592230397243744	0.572061560185908	11735/12340/12343/12828/12839/13346/13367/13506/13527/14200/15529/16403/16404/16412/16416/16419/16651/17868/17996/20391/20392/20969/21826/22437/24052/50875/54004/59069/64009/68753/76441	31
Human Diseases	Substance dependence	mmu05031	Amphetamine addiction	11/891	66/8808	0.166666666666667	1.64758698092031	1.77148387511492	0.0656628605961767	0.592230397243744	0.572061560185908	108058/12913/13488/14683/14799/14811/17161/18749/208647/231991/93759	11
Environmental Information Processing	Signal transduction	mmu04390	Hippo signaling pathway	22/891	156/8808	0.141025641025641	1.39411206077873	1.66608171096172	0.0675387904640874	0.592230397243744	0.572061560185908	12160/12386/12444/12445/12695/13383/13385/14164/14369/15901/17131/209456/216033/21676/21679/22601/22631/23859/241324/319710/73699/93742	22
NA	NA	mmu04082	Neuroactive ligand signaling	26/891	190/8808	0.136842105263158	1.35275562643984	1.6489976350226	0.0677006804972276	0.592230397243744	0.572061560185908	108015/108073/11514/11555/12671/13488/14395/14399/14400/14401/14406/14409/14677/14683/14799/14811/14816/18389/18390/18436/18749/18795/20512/243616/70155/70839	26
Environmental Information Processing	Signal transduction	mmu04068	FoxO signaling pathway	19/891	131/8808	0.145038167938931	1.4337779833963	1.67799584937794	0.0679323102720765	0.592230397243744	0.572061560185908	108079/108099/12053/12359/12444/12452/12576/14816/16367/18708/18710/19373/20393/26556/29857/384783/56458/73251/93759	19
Metabolism	Lipid metabolism	mmu00062	Fatty acid elongation	6/891	30/8808	0.2	1.97710437710438	1.79835872213943	0.0761825417478226	0.647551604856492	0.625498763824228	171210/171282/52538/56348/74559/75778	6
Genetic Information Processing	Folding, sorting and degradation	mmu04120	Ubiquitin mediated proteolysis	19/891	134/8808	0.141791044776119	1.40167847630534	1.571787312973	0.0812640136080424	0.673896698213034	0.65094665585903	107568/140630/18854/208650/216080/22034/22193/229615/26401/381534/50754/50873/52206/66440/67030/67923/71991/73998/83814	19
Genetic Information Processing	Chromosome	mmu03083	Polycomb repressive complex	12/891	77/8808	0.155844155844156	1.54060081332809	1.59831579373051	0.0849973067887884	0.68506434042462	0.661733975890035	11569/12151/13626/14056/16468/17187/19821/211961/216080/50496/54383/71041	12
Environmental Information Processing	Signal transduction	mmu04310	Wnt signaling pathway	24/891	178/8808	0.134831460674157	1.33287935535127	1.50509527639294	0.0875673930649267	0.68506434042462	0.661733975890035	107515/108058/12444/12445/14160/14369/18749/18795/19878/20379/21372/21885/21886/21888/26563/319478/328949/407821/494504/56505/76441/81004/93759/93840	24
Human Diseases	Cardiovascular disease	mmu05418	Fluid shear stress and atherosclerosis	20/891	144/8808	0.138888888888889	1.37298915076693	1.51387755991006	0.0886553852314214	0.68506434042462	0.661733975890035	108079/11477/11480/12043/13039/15368/15529/16416/17260/18024/18104/18613/18708/18710/19252/20969/22218/26408/29857/68312	20
Genetic Information Processing	Transcription	mmu03022	Basal transcription factors	7/891	39/8808	0.17948717948718	1.77432444099111	1.62574626101681	0.093309242126202	0.700796365518388	0.676930235423335	13872/209361/21374/226182/237336/66671/74197	7
Human Diseases	Cancer: overview	mmu05206	MicroRNAs in cancer	23/891	171/8808	0.134502923976608	1.32963159863745	1.46021888143411	0.0948136259230761	0.700796365518388	0.676930235423335	12043/12151/12444/12450/12571/12576/13078/13557/13640/14056/14660/15368/16367/16416/17118/18708/18710/20677/22762/24064/329278/384783/93759	23
Cellular Processes	Transport and catabolism	mmu04142	Lysosome biogenesis	31/891	244/8808	0.127049180327869	1.25594745266876	1.36012844448099	0.107514427051494	0.760222640635345	0.734332705505349	11593/11774/11777/11881/12751/12752/13033/13039/15586/15587/16004/17342/17775/20597/20661/20690/211286/229445/231855/232946/240283/56629/63959/64291/67774/71665/71720/72392/73689/74008/74915	31
Metabolism	Amino acid metabolism	mmu00280	Valine, leucine and isoleucine degradation	9/891	56/8808	0.160714285714286	1.58874458874459	1.48265400552312	0.1079520883768	0.760222640635345	0.734332705505349	11364/11761/12040/13382/17850/208715/208982/52538/72039	9
Metabolism	Carbohydrate metabolism	mmu00630	Glyoxylate and dicarboxylate metabolism	6/891	33/8808	0.181818181818182	1.79736761554943	1.5394462436347	0.110238731069167	0.760222640635345	0.734332705505349	11428/12359/13382/15112/17850/68133	6
Organismal Systems	Environmental adaptation	mmu04714	Thermogenesis	27/891	210/8808	0.128571428571429	1.27099567099567	1.33335504353077	0.113854536805786	0.760222640635345	0.734332705505349	108079/108099/110651/11514/12801/12913/14683/17991/17992/17995/18749/208647/226139/231991/23945/239985/26408/29857/29861/66594/68185/68197/69893/70127/74205/78174/78330	27
Organismal Systems	Endocrine system	mmu04924	Renin secretion	11/891	73/8808	0.150684931506849	1.48959918822933	1.40910446869984	0.115472874585221	0.760222640635345	0.734332705505349	11517/11555/11606/14677/14683/16438/16531/18575/18749/18795/54611	11
Human Diseases	Cancer: overview	mmu05203	Viral carcinogenesis	26/891	202/8808	0.128712871287129	1.27239390605727	1.3138474090896	0.117860728285281	0.760222640635345	0.734332705505349	114713/12028/12444/12445/12571/12576/12913/13383/17096/18708/18710/18749/19664/20807/208647/21374/22031/22631/231991/232232/234729/237336/56233/56463/68024/74197	26
