gene_class	is_se	k27ac_class	n_pairs	mean_delta_abc	median_delta_abc	mean_log2fc_contact
DEG_down	FALSE	gained_k27ac	43	0.014995162790697675	0.013361	0.4477667095458011
DEG_down	FALSE	lost_k27ac	1284	-0.017106272585669782	-0.0136855	-0.18189041782717583
DEG_down	FALSE	no_diffbind_peak	1508	-0.0037149237400530507	-0.0031655	-0.024168077813107397
DEG_down	FALSE	stable_k27ac	751	0.0028431011984021305	0.003173	-0.02427035064091297
DEG_down	TRUE	lost_k27ac	495	-0.012812169696969697	-0.011867	-0.09491460333559686
DEG_down	TRUE	no_diffbind_peak	533	-0.003609439024390244	-0.0029	-0.16125659028079203
DEG_down	TRUE	stable_k27ac	484	0.0023174710743801654	0.0017495000000000002	-0.10912018872516362
DEG_up	FALSE	gained_k27ac	167	0.020901047904191616	0.015044	0.18138020838505814
DEG_up	FALSE	lost_k27ac	142	-0.016434098591549297	-0.014231	-0.3586764599826107
DEG_up	FALSE	no_diffbind_peak	907	0.005245438809261301	0.002588	6.741357866960934e-4
DEG_up	FALSE	stable_k27ac	592	-3.23932432432433e-4	1.275e-4	0.08091210025639126
DEG_up	TRUE	gained_k27ac	41	0.010560536585365854	0.008851	0.4571690392006057
DEG_up	TRUE	lost_k27ac	68	-0.009134823529411765	-0.008660000000000001	-0.10629688336797956
DEG_up	TRUE	no_diffbind_peak	221	-9.925791855203623e-4	2e-6	0.10462084932195473
DEG_up	TRUE	stable_k27ac	427	-8.12416861826698e-4	-7.5e-4	0.048074243675053245
invariant	FALSE	gained_k27ac	282	0.011788815602836879	0.0109115	0.15749588586104615
invariant	FALSE	lost_k27ac	1789	-0.014816588596981555	-0.01371	-0.26116508526196874
invariant	FALSE	no_diffbind_peak	4972	3.0829605792437743e-4	7.865e-4	-0.0068309648839729705
invariant	FALSE	stable_k27ac	4425	3.285830508474576e-4	1.87e-4	-0.04495636325525319
invariant	TRUE	gained_k27ac	24	0.007666541666666667	0.006096000000000001	-0.001977019665232597
invariant	TRUE	lost_k27ac	776	-0.010497774484536083	-0.0099085	-0.10947753320359162
invariant	TRUE	no_diffbind_peak	1618	-0.0013984740420271943	-5.809999999999999e-4	-0.07100125413814762
invariant	TRUE	stable_k27ac	2678	-2.1486333084391306e-4	-7.65e-5	1.651152293413706e-4
