gene_symbol	gene_class	log2FoldChange	padj	baseMean	max_delta_abc	sum_delta_abc	max_delta_unnorm	n_enhancers	n_gained	n_lost	sum_abc_wt	sum_abc_ko	sum_delta_unnorm
Xkr4	DEG_up	0.573696911286475	0.00522588950563854	4384.58765974474	-0.042087	-0.062626	-0.055997	3	1	2	0.113218	0.050592	-0.055879
Mybl1	DEG_down	-0.736646042044593	1.06218450693804e-5	91.6147942262593	-0.042484	-0.031804	-0.184873	9	4	3	0.595796	0.563992	-0.282515
A830018L16Rik	DEG_up	0.605434637028018	0.0056538905047774	162.487095258555	-0.028374	-0.036153	-0.030813	3	0	2	0.077527	0.041374	0.005052
Slco5a1	DEG_up	0.73145890622885	5.97158000196029e-4	53.3814879838182	-0.022466	-0.04592	0.069534	8	1	4	0.339641	0.293721	0.216775
Jph1	DEG_down	-0.681759294935051	2.16608193998593e-6	143.223837229167	-0.024567	-0.028106	-0.433555	9	3	4	0.554822	0.526716	-1.816725
B3gat2	DEG_down	-0.582353175939614	2.78639616379013e-13	387.684198361824	-0.035573	-0.027788	-0.259111	12	2	4	0.662699	0.634911	-1.093874
Fam135a	DEG_down	-0.537613164951705	3.07378230508989e-9	1203.38851688447	-0.023001	-0.041986	-0.144178	13	4	5	0.47785	0.435864	-0.692813
Col9a1	DEG_down	-1.25119886398594	0.00479341300504873	13.7656191112083	-0.039861	-0.046525	-0.351146	11	2	3	0.632315	0.58579	-1.014317
Col19a1	DEG_down	-2.74003846657199	4.44026237458597e-55	606.308766009282	0.025225	-0.005256	-0.063636	8	3	3	0.398869	0.393613	-0.982675
Ptpn18	DEG_down	-2.2753222861211	2.28254965103297e-5	6.9070758366895	0.012774	-0.0026	0.058994	8	1	2	0.418337	0.415737	-0.279044
Amer3	DEG_down	-0.380452660824883	0.00150910411236948	546.781337342106	-0.025934	-3.53e-4	-0.391611	4	1	1	0.545138	0.544785	-0.591668
Lman2l	DEG_down	-0.544124610055464	1.14886480588336e-8	393.333046156892	-0.042515	-0.012082	-0.594218	8	2	1	0.453973	0.441891	-0.916429
Cnnm4	DEG_down	-0.451031251933228	1.06261203550347e-9	449.250832330778	-0.028195	-0.052422	-0.628619	8	0	4	0.422935	0.370513	-1.394598
Sema4c	DEG_down	-0.593305219169466	6.85449816092053e-4	160.558835645822	-0.032225	-0.05358	-0.749696	8	0	2	0.525329	0.471749	-1.699946
Il1r1	DEG_down	-1.09971602478637	3.95595830895255e-11	69.0844398033386	0.021713	-0.012121	0.012916	15	3	5	0.371621	0.3595	-0.084269
Slc9a2	DEG_up	0.694474551153017	0.0041319076576548	34.1791342240232	-0.02137	-0.018437	-0.017223	3	0	1	0.161938	0.143501	0.077289
Gpr45	DEG_up	0.631599065639341	4.43934169509875e-5	120.407391779743	0.020524	-0.013389	0.085744	7	1	2	0.488263	0.474874	0.181355
Nck2	DEG_down	-0.45875307439496	4.41418826450284e-11	966.662124566025	-0.034809	-0.010945999999999999	-0.191961	9	2	2	0.697614	0.686668	-0.392682
Nabp1	DEG_down	-0.748615424886668	1.22054514142839e-4	66.9585850916689	0.029666	0.032772	0.061603	7	2	1	0.218296	0.251068	-0.117864
Gls	DEG_down	-0.330480653694314	1.44934458423593e-4	4590.356891517	-0.030468	-0.019212	-0.33085	5	1	2	0.235466	0.216254	-0.580267
Nab1	DEG_down	-0.616591377924383	1.50682689034569e-6	1137.20644650156	-0.065198999999999993	-0.039547	-1.046592	9	4	3	0.530452	0.490905	-1.995741
1700019A02Rik	DEG_down	-0.960592053448583	1.22658579636816e-5	66.90459491365	-0.034587	-0.032178	-0.156442	11	4	4	0.583422	0.551244	-0.315254
Pms1	DEG_down	-0.87532945009755	1.66395784618125e-19	426.334863650394	-0.013659	0.019263	-0.136839	5	1	1	0.178489	0.197752	-0.078647
Aox1	DEG_down	-0.949735328162503	3.0242985040231e-15	183.657581281372	-0.062806	0.001764	-0.36599	5	3	1	0.28283	0.284594	-0.314316
Cflar	DEG_down	-0.953994190570577	4.38651951541126e-21	169.706439689886	-0.028112	-0.044425	-0.239228	11	2	5	0.459061	0.414636	-0.871051
Mpp4	DEG_up	0.666037492436162	7.08607682297848e-5	269.685818062432	0.015172	0.039092	0.096421	10	3	1	0.567057	0.606149	0.088261
Als2	DEG_up	0.338893708680379	1.49168185273106e-5	3729.76800152823	0.022556	0.027629	0.178722	8	2	1	0.518648	0.546277	-0.054882
Cdk15	DEG_down	-1.83903330817566	0.00171338616869974	5.78989255022079	0.038477	-0.006397	0.140247	16	4	5	0.63499	0.628593	-0.862209
Fzd7	DEG_down	-1.44574478475887	7.70518302045153e-22	387.156777240723	-0.017773	-0.045082	-0.622977	9	1	2	0.526423	0.481341	-3.070387
Bmpr2	DEG_up	0.38120334990771	1.31547232557151e-9	2026.34934366577	0.038433	0.071135	0.265184	8	3	2	0.287777	0.358912	0.535001
Fam117b	DEG_up	0.46232574418709	5.58971484906353e-13	854.75556154985	0.030149	0.027044	0.227328	5	2	1	0.23792	0.264964	0.221465
Ino80dos	DEG_up	0.323511661560277	0.0115817661117887	282.944281967859	0.02344	0.023797	0.236404	2	1	0	0.500473	0.52427	0.248477
Zdbf2	DEG_down	-0.59799219191768	0.0234545046351463	68.3581031849994	-0.040625	-0.014279	-0.073249	13	2	3	0.436687	0.422408	-0.114644
Erbb4	DEG_down	-0.951184012003012	0.0154202438780756	4417.8548064915	0.04651	0.048607	0.052099	5	2	1	0.566843	0.61545	-0.022618
Ikzf2	DEG_down	-0.658496684712548	4.592054319545e-6	395.266791184557	0.03077	0.043485	-0.018176	6	3	1	0.255595	0.29908	-0.041037
Mreg	DEG_down	-0.846953353572053	3.06970891747237e-13	357.778046397037	-0.051913	-0.074918	-0.765984	10	1	3	0.626488	0.55157	-1.942846
Tmem169	DEG_down	-0.687446129799232	3.67855485110996e-6	122.996993947355	0.023584	-0.010579	0.033403	8	2	1	0.334812	0.324233	-0.422441
Xrcc5	DEG_down	-0.453563344644088	1.18157818566283e-5	215.041606102171	0.057103	0.033204	0.206895	11	2	3	0.365866	0.39907	-0.110658
Igfbp5	DEG_down	-0.544886241751024	5.51545862922745e-9	1680.17936560182	0.014347	0.007313	-0.161378	13	3	1	0.725008	0.732321	-1.759272
Pnkd	DEG_down	-0.358884694559133	4.3850240102064e-4	434.322120059858	-0.022289	-0.009959	-0.28227	8	1	1	0.348255	0.338296	-0.302215
Resp18	DEG_down	-1.05011304556156	0.00732338251683454	18.9942307045204	0.032221	0.017392	0.169124	17	2	1	0.61138	0.628772	-0.408288
Des	DEG_down	-1.39316483334319	1.58015544322525e-18	101.186349462798	0.044226	-0.012642	0.195188	13	2	4	0.65868	0.646038	-1.136866
Scg2	DEG_down	-0.805695948330544	1.09616889468236e-11	342.293979142967	0.039139	0.095378	0.087745	6	5	1	0.210888	0.306266	0.093871
