## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /dev/null --MINIMUM_PCT 0.0 --INCLUDE_DUPLICATES true --INPUT 260516_EMseq_LV_index_B1_Bap1_Math1_adult_mut_3391_S64_L001.good_mapq --OUTPUT 260516_EMseq_LV_index_B1_Bap1_Math1_adult_mut_3391_S64_L001.good_mapq.insert_size_metrics.txt --VALIDATION_STRINGENCY SILENT --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 26 13:15:00 PDT 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
227	166	65	2	176853093	249.761169	104.199848	9241697	FR	27	53	79	105	131	159	191	235	341	451	671			
16058	16019	254	75	156502255	14686.825	4177.324711	141	RF	45	137	233	341	509	323209	29101833	68481135	115149863	129071531	281780157			
0	0	0	0	0	0	0	0	TANDEM	0	0	0	0	0	0	0	0	0	0	0			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count
2	106	0
3	101	0
4	113	0
5	117	0
6	94	0
7	116	0
8	99	0
9	100	0
10	98	0
11	113	0
12	105	0
13	114	0
14	120	0
15	113	0
16	126	0
17	135	0
18	120	0
19	103	0
20	152	0
21	135	0
22	166	0
23	140	0
24	155	0
25	177	0
26	171	0
27	172	0
28	180	0
29	167	0
30	195	0
31	103	0
32	102	0
33	99	0
34	106	0
35	112	0
36	117	0
37	130	0
38	120	0
39	148	0
40	131	0
41	144	0
42	142	0
43	152	0
44	148	0
45	169	0
46	199	0
47	165	0
48	165	0
49	197	0
50	216	0
51	210	0
52	184	0
53	186	0
54	173	0
55	194	0
56	177	0
57	154	0
58	190	0
59	187	0
60	184	0
61	227	0
62	254	0
63	266	0
64	342	0
65	343	0
66	410	0
67	377	0
68	418	0
69	425	0
70	524	0
71	521	0
72	594	0
73	625	0
74	674	0
75	749	1
76	846	0
77	887	0
78	962	0
79	1140	0
80	1198	0
81	1300	0
82	1354	0
83	1546	0
84	1750	0
85	1842	0
86	2173	0
87	2424	0
88	2713	0
89	2839	0
90	3241	0
91	3544	0
92	3765	0
93	4247	0
94	4692	0
95	5004	0
96	5471	0
97	5992	0
98	6565	0
99	7249	0
100	7766	0
101	8533	0
102	9151	0
103	9736	0
104	10267	0
105	10880	0
106	11580	0
107	12560	0
108	13294	0
109	13762	0
110	14608	0
111	15332	0
112	16061	0
113	17025	0
114	18134	0
115	18829	0
116	19837	0
117	20284	0
118	21285	0
119	22172	0
120	22804	0
121	23907	0
122	24709	0
123	25246	0
124	26426	0
125	26843	0
126	27851	0
127	28602	0
128	29356	0
129	30149	0
130	30768	0
131	31407	0
132	32662	0
133	33077	0
134	33848	0
135	34667	0
136	35413	0
137	35960	0
138	36474	0
139	37030	0
140	37730	0
141	38280	0
142	38732	0
143	39504	0
144	39977	0
145	40491	0
146	40524	0
147	41219	0
148	41636	0
149	42152	0
150	42536	0
151	42459	0
152	43199	0
153	43399	0
154	43690	0
155	43913	0
156	44504	0
157	44906	0
158	45055	0
