comparison	comp_label	tf_name	family	pvalue	qvalue	target_pct	bg_pct	fold_enrichment
B1	K119ub Gained vs Lost	Ascl1	bHLH	1e-16	0	34.5	29.68	1.162398921832884
B2	K119ub Lost vs Gained	Ascl1	bHLH	1	1	42.4	42.06	1.008083689966714
B3	DiffBind K119ub Gained vs Lost	Ascl1	bHLH	9.999999999999998e-74	0	32.56	26.21	1.2422739412438002
B4	DiffBind K119ub Lost vs Gained	Ascl1	bHLH	1	1	36.51	41.12	0.8878891050583657
C1	K27ac Gained vs Lost	Ascl1	bHLH	1	1	39.15	41.83	0.9359311498924218
C2	K27ac Lost vs Gained	Ascl1	bHLH	1e-4	2e-4	41.65	38.88	1.0712448559670782
C3	K27ac Gained vs Genome	Ascl1	bHLH	9.999999999999999e-38	0	39.16	28.88	1.35595567867036
C4	K27ac Lost vs Genome	Ascl1	bHLH	1e-96	0	41.65	28.38	1.4675828047921071
B1	K119ub Gained vs Lost	Atoh1	bHLH	1e-43	0	31.51	23.73	1.3278550358196377
B2	K119ub Lost vs Gained	Atoh1	bHLH	1	1	29.68	34.65	0.8565656565656566
B3	DiffBind K119ub Gained vs Lost	Atoh1	bHLH	9.999999999999998e-127	0	28.33	20.55	1.3785888077858879
B4	DiffBind K119ub Lost vs Gained	Atoh1	bHLH	1	1	26.72	33.36	0.8009592326139089
C1	K27ac Gained vs Lost	Atoh1	bHLH	1	1	33.45	37.38	0.8948635634028893
C2	K27ac Lost vs Gained	Atoh1	bHLH	1e-9	0	37.9	33.81	1.1209701271813073
C3	K27ac Gained vs Genome	Atoh1	bHLH	9.999999999999999e-64	0	33.43	21	1.591904761904762
C4	K27ac Lost vs Genome	Atoh1	bHLH	9.999999999999997e-178	0	37.9	21.02	1.8030447193149381
B1	K119ub Gained vs Lost	Mef2a	MADS	1	0.6787	10.12	10	1.012
B2	K119ub Lost vs Gained	Mef2a	MADS	1	1	5.52	6.31	0.8748019017432647
B3	DiffBind K119ub Gained vs Lost	Mef2a	MADS	1e-10	0	9.7	8.27	1.1729141475211609
B4	DiffBind K119ub Lost vs Gained	Mef2a	MADS	1	1	5.43	6.56	0.8277439024390244
C1	K27ac Gained vs Lost	Mef2a	MADS	1	1	7.27	10.3	0.7058252427184465
C2	K27ac Lost vs Gained	Mef2a	MADS	1e-19	0	11.25	7.73	1.4553686934023284
C3	K27ac Gained vs Genome	Mef2a	MADS	1e-7	0	7.27	5.14	1.4143968871595332
C4	K27ac Lost vs Genome	Mef2a	MADS	1e-61	0	11.25	5.44	2.068014705882353
B1	K119ub Gained vs Lost	Mef2c	MADS	1e-4	0	10.6	9.08	1.1674008810572687
B2	K119ub Lost vs Gained	Mef2c	MADS	1	1	4.32	6.55	0.6595419847328244
B3	DiffBind K119ub Gained vs Lost	Mef2c	MADS	1.0000000000000001e-29	0	10.37	7.9	1.3126582278481012
B4	DiffBind K119ub Lost vs Gained	Mef2c	MADS	1	1	4.48	6.35	0.7055118110236221
C1	K27ac Gained vs Lost	Mef2c	MADS	1	1	8.03	10.68	0.75187265917603
C2	K27ac Lost vs Gained	Mef2c	MADS	1e-13	0	11.69	8.66	1.3498845265588915
C3	K27ac Gained vs Genome	Mef2c	MADS	1e-13	0	8.02	4.95	1.62020202020202
C4	K27ac Lost vs Genome	Mef2c	MADS	9.999999999999998e-74	0	11.69	5.34	2.189138576779026
B1	K119ub Gained vs Lost	Mesp1	bHLH	9.999999999999997e-107	0	19.21	9.96	1.928714859437751
B2	K119ub Lost vs Gained	Mesp1	bHLH	1	1	11.84	16.79	0.7051816557474687
B3	DiffBind K119ub Gained vs Lost	Mesp1	bHLH	9.999999999999997e-92	0	16.96	11.63	1.4582975064488393
B4	DiffBind K119ub Lost vs Gained	Mesp1	bHLH	1	1	10.4	16.03	0.6487835308796007
C1	K27ac Gained vs Lost	Mesp1	bHLH	1	1	14.72	20.86	0.7056567593480345
C2	K27ac Lost vs Gained	Mesp1	bHLH	1e-36	0	21.99	15.48	1.4205426356589146
C3	K27ac Gained vs Genome	Mesp1	bHLH	1e-34	0	14.71	8.36	1.759569377990431
C4	K27ac Lost vs Genome	Mesp1	bHLH	9.999999999999996e-195	0	21.99	8.69	2.530494821634062
B1	K119ub Gained vs Lost	NeuroD1	bHLH	9.999999999999998e-65	0	26.63	17.89	1.4885410844046953
B2	K119ub Lost vs Gained	NeuroD1	bHLH	1	1	23.76	28.69	0.8281631230393866
B3	DiffBind K119ub Gained vs Lost	NeuroD1	bHLH	9.999999999999997e-146	0	23.08	15.48	1.490956072351421
B4	DiffBind K119ub Lost vs Gained	NeuroD1	bHLH	1	1	20.74	27.55	0.7528130671506351
C1	K27ac Gained vs Lost	NeuroD1	bHLH	1	1	27.37	32.75	0.8357251908396947
C2	K27ac Lost vs Gained	NeuroD1	bHLH	1e-18	0	33.3	27.85	1.1956912028725313
C3	K27ac Gained vs Genome	NeuroD1	bHLH	9.999999999999998e-73	0	27.38	15.29	1.7907128842380642
C4	K27ac Lost vs Genome	NeuroD1	bHLH	9.999999999999996e-238	0	33.3	15.3	2.176470588235294
B1	K119ub Gained vs Lost	NeuroG2	bHLH	9.999999999999998e-75	0	40.89	29.89	1.3680160588825694
B2	K119ub Lost vs Gained	NeuroG2	bHLH	1	1	36.56	41.78	0.8750598372426999
B3	DiffBind K119ub Gained vs Lost	NeuroG2	bHLH	9.999999999999998e-119	0	37.77	29.41	1.2842570554233255
B4	DiffBind K119ub Lost vs Gained	NeuroG2	bHLH	1	1	34.29	41.07	0.8349159970781592
C1	K27ac Gained vs Lost	NeuroG2	bHLH	1	1	42.35	46.14	0.9178586909406156
C2	K27ac Lost vs Gained	NeuroG2	bHLH	1e-8	0	46.93	43.14	1.0878535002318035
C3	K27ac Gained vs Genome	NeuroG2	bHLH	1e-69	0	42.33	28.25	1.4984070796460176
C4	K27ac Lost vs Genome	NeuroG2	bHLH	9.999999999999998e-184	0	46.93	28.39	1.6530468474815074
B1	K119ub Gained vs Lost	Olig2	bHLH	9.999999999999998e-58	0	48.61	38.57	1.2603059372569354
B2	K119ub Lost vs Gained	Olig2	bHLH	1	1	41.76	47.26	0.8836225137537029
B3	DiffBind K119ub Gained vs Lost	Olig2	bHLH	9.999999999999997e-144	0	45.68	36.05	1.267128987517337
B4	DiffBind K119ub Lost vs Gained	Olig2	bHLH	1	1	39.8	47.2	0.8432203389830507
C1	K27ac Gained vs Lost	Olig2	bHLH	1	1	48.78	53.49	0.9119461581604038
C2	K27ac Lost vs Gained	Olig2	bHLH	1e-13	0	54.92	49.93	1.0999399158822352
C3	K27ac Gained vs Genome	Olig2	bHLH	9.999999999999998e-74	0	48.75	33.71	1.4461584099673688
