	clust1	clust2	clust3	clust4	clust5	clust6
CTCF_Boundary	0.0	0.0	0.0	0.0	0.0	0.0
Poised_Enhancer	15.36643026004728	12.450331125827814	11.872909698996656	6.772908366533865	2.898550724637681	7.2727272727272725
Active_Enhancer	29.78723404255319	27.68211920529801	29.431438127090303	5.577689243027889	0.0	25.454545454545453
Active_Promoter_Flank	1.6548463356973995	3.1788079470198674	1.3377926421404682	0.398406374501992	1.4492753623188406	1.8181818181818181
Poised_Promoter	0.3546099290780142	0.0	0.0	0.0	0.0	0.0
Weak_Promoter	1.6548463356973995	2.384105960264901	1.839464882943144	1.593625498007968	0.0	1.8181818181818181
Active_Promoter	37.35224586288416	33.37748344370861	43.1438127090301	17.92828685258964	1.4492753623188406	35.45454545454545
Strong_Enhancer	4.491725768321513	2.384105960264901	4.682274247491639	1.593625498007968	0.0	1.8181818181818181
Insulator	0.0	0.0	0.0	0.0	0.0	0.0
Polycomb	8.747044917257684	17.483443708609272	6.688963210702341	60.55776892430279	86.95652173913044	25.454545454545453
Bivalent_Enhancer	0.5910165484633569	1.0596026490066226	1.0033444816053512	5.577689243027889	7.246376811594203	0.9090909090909091
