stripe_id	direction	logFC_stripe	hub_size	n_with_rna	n_degs	pct_degs	mean_gene_lfc	median_gene_lfc	concordant_n	concordant_pct
stripe_1006	lost	-0.0857	2	2	1	0.5	0.1725597303413485	0.1725597303413485	1	0.5
stripe_1007	lost	-0.0846	24	20	0	0	0.05186705339675032	-8.604600473667793e-4	10	0.5
stripe_1034	gained	-0.0794	1	1	1	1	-0.303866303228656	-0.303866303228656	1	1
stripe_1035	lost	-0.0887	3	2	2	1	-0.32354941206155896	-0.32354941206155896	2	1
stripe_1040	lost	-0.1616	1	1	1	1	-0.695548471791694	-0.695548471791694	1	1
stripe_1052	lost	-0.1092	3	3	0	0	-0.15626792165550854	-0.2024987582546	3	1
stripe_1053	gained	-0.1069	3	3	0	0	-0.15626792165550854	-0.2024987582546	3	1
stripe_1069	gained	-0.0893	7	5	1	0.2	-0.24216815033109354	-0.156307432522115	4	0.8
stripe_1092	lost	-0.0832	14	13	1	0.07692307692307693	-0.13557344579435968	-0.149628659555269	10	0.7692307692307693
stripe_1093	gained	-0.0838	14	13	1	0.07692307692307693	-0.13557344579435968	-0.149628659555269	10	0.7692307692307693
stripe_1105	lost	-0.1164	7	6	2	0.3333333333333333	-0.3025947659264292	-0.2546436352390895	5	0.8333333333333334
stripe_1106	gained	-0.1265	7	6	2	0.3333333333333333	-0.3025947659264292	-0.2546436352390895	5	0.8333333333333334
stripe_1116	gained	-0.0719	2	2	0	0	-0.013786504431194252	-0.013786504431194252	1	0.5
stripe_1127	gained	-0.0982	5	5	1	0.2	-0.20194261110463424	0.0161425233191429	2	0.4
stripe_1137	lost	-0.2565	5	4	2	0.5	-0.15523525253935366	-0.1397856288962002	2	0.5
stripe_117	lost	-0.0639	8	7	2	0.2857142857142857	-0.2838645600242522	-0.0308925953214744	4	0.5714285714285714
stripe_1224	lost	-0.0683	17	13	0	0	0.026406875966318872	0.0252911483778208	6	0.46153846153846156
stripe_1240	gained	0.0796	43	29	2	0.06896551724137931	-0.09227453486633479	0.0351078156976199	16	0.5517241379310345
stripe_1255	lost	-0.1161	13	6	1	0.16666666666666666	0.33087056935524334	0.11900829440248689	2	0.3333333333333333
stripe_1271	gained	-0.0643	1	1	0	0	0.29952873322497	0.29952873322497	0	0
stripe_1368	gained	-0.1257	2	2	2	1	-0.848384230482045	-0.848384230482045	2	1
stripe_1393	lost	-0.0924	4	4	2	0.5	-0.29835204816133143	-0.1497050045784773	2	0.5
stripe_144	lost	-0.0537	6	6	0	0	0.03205430558130405	0.07098162416184065	2	0.3333333333333333
stripe_179	gained	-0.0643	15	14	1	0.07142857142857142	0.13833992573963963	0.10280987155020874	3	0.21428571428571427
stripe_181	lost	-0.1286	10	4	1	0.25	-0.26933456170047226	-0.1791646030020715	4	1
stripe_186	gained	-0.0714	6	6	0	0	-0.03808385823233525	0.00369937211930926	3	0.5
stripe_203	gained	0.1106	6	6	2	0.3333333333333333	0.0058259273041528226	-0.18430941623741198	1	0.16666666666666666
stripe_205	gained	-0.0875	21	14	4	0.2857142857142857	-0.4400158145115728	-0.3305958950787755	11	0.7857142857142857
stripe_219	gained	-0.0861	5	5	2	0.4	-0.2726494324852558	-0.299476512292812	4	0.8
stripe_228	gained	0.1026	1	1	1	1	-1.25766971445945	-1.25766971445945	0	0
stripe_229	gained	-0.0794	5	3	3	1	-0.505299550688305	-0.494919583871865	3	1
stripe_238	lost	-0.0723	1	1	0	0	-0.288924257935542	-0.288924257935542	1	1
stripe_244	lost	-0.0864	3	3	1	0.3333333333333333	-0.7958167886985906	-0.711123276450481	2	0.6666666666666666
stripe_254	gained	0.0964	5	4	2	0.5	0.3651243629205007	0.3526930392052885	4	1
stripe_255	lost	0.091	11	9	1	0.1111111111111111	-0.05396861963914449	0.0205992667336751	5	0.5555555555555556
stripe_256	gained	0.1316	11	9	1	0.1111111111111111	-0.05396861963914449	0.0205992667336751	5	0.5555555555555556
stripe_258	gained	-0.0962	2	2	1	0.5	-0.7691711248426845	-0.7691711248426845	2	1
stripe_289	lost	-0.197	1	1	0	0	-0.241305291312847	-0.241305291312847	1	1
stripe_324	gained	-0.0949	12	8	3	0.375	0.06018104261813262	-0.05568009158816481	5	0.625
stripe_325	lost	-0.089	12	9	1	0.1111111111111111	0.056113370793966263	-0.041203808363249	5	0.5555555555555556
stripe_349	gained	-0.1166	3	3	1	0.3333333333333333	-0.40629953861881696	-0.0705399432272476	3	1
stripe_356	gained	0.3027	2	1	1	1	-0.818839901476966	-0.818839901476966	0	0
stripe_381	lost	-0.0642	1	1	1	1	-0.541103149733233	-0.541103149733233	1	1
stripe_435	lost	-0.0884	1	1	1	1	-0.850094719452672	-0.850094719452672	1	1
stripe_444	lost	-0.141	4	4	1	0.25	-0.43831879534825846	-0.2837235170497795	4	1
stripe_504	lost	-0.0997	5	4	1	0.25	-0.2818261235434939	-0.022718025708036847	3	0.75
stripe_514	gained	-0.1491	9	6	2	0.3333333333333333	-0.4244631565425722	-0.015469368464682151	4	0.6666666666666666
stripe_515	lost	-0.0617	19	13	3	0.23076923076923078	-0.2634509129446993	-0.0452829059759561	9	0.6923076923076923
stripe_543	lost	-0.0649	34	28	2	0.07142857142857142	-0.1451825147216057	-0.01533606414980248	15	0.5357142857142857
stripe_546	gained	-0.0859	18	15	1	0.06666666666666667	-0.021216742939825606	0.0389716978164244	7	0.4666666666666667
stripe_548	gained	-0.0661	16	15	0	0	-0.08805467559818472	-0.111903171386261	9	0.6
stripe_549	lost	-0.0655	16	15	0	0	-0.08805467559818472	-0.111903171386261	9	0.6
stripe_564	gained	-0.0626	23	20	2	0.1	0.007962133098620655	-0.005904280470466765	10	0.5
