gene	go_group
Ank3	Axon Guidance
Arhgef25	Axon Guidance
Bdnf	Axon Guidance
Boc	Axon Guidance
Cdh4	Axon Guidance
Chl1	Axon Guidance
Cntn5	Axon Guidance
Cntn6	Axon Guidance
Cxcr4	Axon Guidance
Dcc	Axon Guidance
Diaph2	Axon Guidance
Dscam	Axon Guidance
Dscaml1	Axon Guidance
Efna1	Axon Guidance
Efna5	Axon Guidance
Efnb2	Axon Guidance
Emb	Axon Guidance
Epha3	Axon Guidance
Epha4	Axon Guidance
Epha5	Axon Guidance
Epha8	Axon Guidance
Ephb6	Axon Guidance
Ext1	Axon Guidance
Foxp1	Axon Guidance
Gap43	Axon Guidance
Gdnf	Axon Guidance
Kalrn	Axon Guidance
Klf7	Axon Guidance
Lgi1	Axon Guidance
Lgr4	Axon Guidance
Ndp	Axon Guidance
Nectin1	Axon Guidance
Nr4a3	Axon Guidance
Nrcam	Axon Guidance
Ntn1	Axon Guidance
Palld	Axon Guidance
Ptprj	Axon Guidance
Ptprm	Axon Guidance
Reln	Axon Guidance
Robo1	Axon Guidance
Sema3a	Axon Guidance
Sema4c	Axon Guidance
Sema5a	Axon Guidance
Sema6d	Axon Guidance
Unc5b	Axon Guidance
Unc5c	Axon Guidance
Unc5d	Axon Guidance
Atoh7	Cell Fate Commitment
Barhl2	Cell Fate Commitment
Chrd	Cell Fate Commitment
Ctnnb1	Cell Fate Commitment
Dll1	Cell Fate Commitment
Eomes	Cell Fate Commitment
Epas1	Cell Fate Commitment
Eya1	Cell Fate Commitment
Fgfr1	Cell Fate Commitment
Fzd7	Cell Fate Commitment
Gli2	Cell Fate Commitment
Kdr	Cell Fate Commitment
Lmo4	Cell Fate Commitment
Mef2c	Cell Fate Commitment
Mitf	Cell Fate Commitment
Myt1l	Cell Fate Commitment
Nfia	Cell Fate Commitment
Nfib	Cell Fate Commitment
Nfix	Cell Fate Commitment
Ntf3	Cell Fate Commitment
Onecut2	Cell Fate Commitment
Otx2	Cell Fate Commitment
Pax6	Cell Fate Commitment
Pml	Cell Fate Commitment
Prdm1	Cell Fate Commitment
Ptch1	Cell Fate Commitment
Rara	Cell Fate Commitment
Rbpj	Cell Fate Commitment
Runx2	Cell Fate Commitment
Sfrp2	Cell Fate Commitment
Shh	Cell Fate Commitment
Smad1	Cell Fate Commitment
Smad5	Cell Fate Commitment
Sox18	Cell Fate Commitment
Sox5	Cell Fate Commitment
Spdef	Cell Fate Commitment
Spry2	Cell Fate Commitment
Tenm4	Cell Fate Commitment
Tgfbr1	Cell Fate Commitment
Tlx3	Cell Fate Commitment
Wnt16	Cell Fate Commitment
Wnt5b	Cell Fate Commitment
Wnt7a	Cell Fate Commitment
Wnt7b	Cell Fate Commitment
Zfp521	Cell Fate Commitment
Add2	Synapse Assembly
Adgrb1	Synapse Assembly
Adgrb3	Synapse Assembly
Adgrl2	Synapse Assembly
Adgrl3	Synapse Assembly
Adgrl4	Synapse Assembly
App	Synapse Assembly
Cadm1	Synapse Assembly
Chrnb2	Synapse Assembly
Clstn1	Synapse Assembly
Clstn2	Synapse Assembly
Cntnap2	Synapse Assembly
Crtac1	Synapse Assembly
Csmd2	Synapse Assembly
Dclk1	Synapse Assembly
Dock10	Synapse Assembly
Dock4	Synapse Assembly
Elavl2	Synapse Assembly
Elmo1	Synapse Assembly
Epha7	Synapse Assembly
Ephb1	Synapse Assembly
Ephb2	Synapse Assembly
Erbb4	Synapse Assembly
Fzd1	Synapse Assembly
Gabra2	Synapse Assembly
Gabrg2	Synapse Assembly
Grin1	Synapse Assembly
Hapln4	Synapse Assembly
Il1rap	Synapse Assembly
Il1rapl1	Synapse Assembly
Iqsec2	Synapse Assembly
Kirrel3	Synapse Assembly
L1cam	Synapse Assembly
Lrp4	Synapse Assembly
Lrrn1	Synapse Assembly
Lrrtm4	Synapse Assembly
Magi2	Synapse Assembly
Map1b	Synapse Assembly
Mapt	Synapse Assembly
Mdga2	Synapse Assembly
Nae1	Synapse Assembly
Nectin3	Synapse Assembly
Nlgn1	Synapse Assembly
Nptxr	Synapse Assembly
Nrxn1	Synapse Assembly
Numb	Synapse Assembly
Pik3r1	Synapse Assembly
Plxna1	Synapse Assembly
Plxna2	Synapse Assembly
Plxnc1	Synapse Assembly
Plxnd1	Synapse Assembly
Prickle1	Synapse Assembly
Prickle2	Synapse Assembly
Ptprd	Synapse Assembly
Ptprs	Synapse Assembly
Sdcbp	Synapse Assembly
Sdk2	Synapse Assembly
Shank3	Synapse Assembly
Sipa1l1	Synapse Assembly
Slitrk1	Synapse Assembly
Slitrk2	Synapse Assembly
Slitrk5	Synapse Assembly
Snap25	Synapse Assembly
Snca	Synapse Assembly
Srcin1	Synapse Assembly
Srgap3	Synapse Assembly
St8sia2	Synapse Assembly
Syndig1	Synapse Assembly
Tpbg	Synapse Assembly
