mark	subcompartment	n_bins	p_value	tp	padj
H3K27ac	A.1	7286	0.826696335927501	250402	0.826696335927501
H3K27ac	A.2	3359	2.39239313944161e-38	250402	3.58858970916241e-38
H3K27ac	B.1	3284	6.02008463556382e-179	250402	1.44482031253532e-178
H3K27ac	B.2	9924	0	250402	0
H3K4me3	A.1	7286	5.68515720313739e-22	250402	7.871756127421e-22
H3K4me3	A.2	3359	0.724128242910343	250402	0.74481762127921
H3K4me3	B.1	3284	0.0699767348008275	250402	0.0763382561463573
H3K4me3	B.2	9924	0	250402	0
ATAC	A.1	7286	9.57587632943631e-20	250402	1.27678351059151e-19
ATAC	A.2	3359	6.23193176717829e-98	250402	1.12174771809209e-97
ATAC	B.1	3284	5.53757318208896e-137	250402	1.0492243923958e-136
ATAC	B.2	9924	5.02454109319474e-163	250402	1.06402046679418e-162
H3K36me3	A.1	7286	0	250402	0
H3K36me3	A.2	3359	0	250402	0
H3K36me3	B.1	3284	0	250402	0
H3K36me3	B.2	9924	0	250402	0
RNA	A.1	7286	1.68086051837148e-07	250402	2.01703262204578e-07
RNA	A.2	3359	6.46812017878026e-14	250402	8.02939056676171e-14
RNA	B.1	3284	0.116324831207125	250402	0.123167468336956
RNA	B.2	9924	2.46643812171826e-18	250402	3.17113472792348e-18
DNAmethylation	A.1	7286	0	250402	0
DNAmethylation	A.2	3359	2.78411087988107e-211	250402	7.15914226255133e-211
DNAmethylation	B.1	3284	3.62182782666704e-254	250402	1.00296770584626e-253
DNAmethylation	B.2	9924	0	250402	0
H3K27me1	A.1	7286	1.9105805761029e-166	250402	4.29880629623152e-166
H3K27me1	A.2	3359	2.14828112445549e-256	250402	6.44484337336648e-256
H3K27me1	B.1	3284	0	250402	0
H3K27me1	B.2	9924	0	250402	0
H2AK119ub	A.1	7286	1.14635094050801e-147	250402	2.29270188101601e-147
H2AK119ub	A.2	3359	9.11325502061267e-31	250402	1.31230872296822e-30
H2AK119ub	B.1	3284	9.29879861832056e-50	250402	1.45546413156322e-49
H2AK119ub	B.2	9924	0	250402	0
H3K27me3	A.1	7286	3.44785282879804e-92	250402	5.64194099257862e-92
H3K27me3	A.2	3359	0.00181368697514271	250402	0.00204039784703555
H3K27me3	B.1	3284	1.30494406678626e-05	250402	1.51541891626792e-05
H3K27me3	B.2	9924	1.52109998050245e-92	250402	2.60759996657562e-92
H3K27ac	A.1	7630	0.0818061559964033	250831	0.0866182828197212
H3K27ac	A.2	4489	1.0270180677283e-100	250831	1.94592897043257e-100
H3K27ac	B.1	3686	1.44434332020665e-217	250831	3.24977247046497e-217
H3K27ac	B.2	8018	0	250831	0
H3K4me3	A.1	7630	0.626122410430836	250831	0.626122410430836
H3K4me3	A.2	4489	0.00096736843362206	250831	0.00108828948782482
H3K4me3	B.1	3686	1.27894795444683e-57	250831	2.09282392545844e-57
H3K4me3	B.2	8018	0	250831	0
ATAC	A.1	7630	6.66892634117584e-56	250831	1.04383194905361e-55
ATAC	A.2	4489	1.58033466818626e-107	250831	3.34659106204149e-107
ATAC	B.1	3686	9.49583773586886e-97	250831	1.7092507924564e-96
ATAC	B.2	8018	4.1527051813569e-84	250831	7.11892316804041e-84
H3K36me3	A.1	7630	0	250831	0
H3K36me3	A.2	4489	0	250831	0
H3K36me3	B.1	3686	0	250831	0
H3K36me3	B.2	8018	0	250831	0
RNA	A.1	7630	5.80886381417745e-05	250831	6.97063657701294e-05
RNA	A.2	4489	1.46905462424908e-06	250831	1.82365401630921e-06
RNA	B.1	3686	0.0740961370371698	250831	0.0808321494950943
RNA	B.2	8018	0.00066176785532421	250831	0.000768504606182953
DNAmethylation	A.1	7630	0	250831	0
DNAmethylation	A.2	4489	4.91765721117781e-269	250831	1.36181276617232e-268
DNAmethylation	B.1	3686	3.2975516346759e-268	250831	8.47941848916661e-268
DNAmethylation	B.2	8018	0	250831	0
H3K27me1	A.1	7630	1.95575827956433e-39	250831	2.9336374193465e-39
H3K27me1	A.2	4489	2.10667044920409e-230	250831	5.05600907808982e-230
H3K27me1	B.1	3686	0	250831	0
H3K27me1	B.2	8018	0	250831	0
H2AK119ub	A.1	7630	0	250831	0
H2AK119ub	A.2	4489	4.0448665727885e-38	250831	5.82460786481544e-38
H2AK119ub	B.1	3686	1.27026627084549e-17	250831	1.69368836112732e-17
H2AK119ub	B.2	8018	2.3522987788405e-301	250831	7.05689633652151e-301
H3K27me3	A.1	7630	1.817446625397e-21	250831	2.516464558242e-21
H3K27me3	A.2	4489	0.21653523514459	250831	0.222721956148721
H3K27me3	B.1	3686	8.10716756538839e-07	250831	1.04235011554994e-06
H3K27me3	B.2	8018	2.96166249038008e-107	250831	5.92332498076015e-107
