stripe_id	direction	logFC	FDR	se_hub_P60	se_hub_ENCODE	body_genes	body_gene_count	gene_symbol	log2FoldChange	padj	baseMean
stripe_76	lost	-0.0521	0.2206	TRUE	FALSE	Dsn1,Mtcl2,Ndrg3,Rab5if,Sla2,Tgif2,Tldc2	7	Dsn1	0.26881620347183	0.426375566412157	59.3861093504019
stripe_76	lost	-0.0521	0.2206	TRUE	FALSE	Dsn1,Mtcl2,Ndrg3,Rab5if,Sla2,Tgif2,Tldc2	7	Mtcl2	0.351372220188046	0.00710160575765489	8278.55137722223
stripe_76	lost	-0.0521	0.2206	TRUE	FALSE	Dsn1,Mtcl2,Ndrg3,Rab5if,Sla2,Tgif2,Tldc2	7	Ndrg3	-0.0722289255973123	0.818179213601271	6216.31410753497
stripe_76	lost	-0.0521	0.2206	TRUE	FALSE	Dsn1,Mtcl2,Ndrg3,Rab5if,Sla2,Tgif2,Tldc2	7	Rab5if	-0.0259607923932511	0.953686131789967	214.696748981251
stripe_76	lost	-0.0521	0.2206	TRUE	FALSE	Dsn1,Mtcl2,Ndrg3,Rab5if,Sla2,Tgif2,Tldc2	7	Sla2	-0.0981951490839439	0.914120287607627	22.109290514256
stripe_76	lost	-0.0521	0.2206	TRUE	FALSE	Dsn1,Mtcl2,Ndrg3,Rab5if,Sla2,Tgif2,Tldc2	7	Tgif2	0.438899673753425	0.448475159534335	31.7756814678499
stripe_76	lost	-0.0521	0.2206	TRUE	FALSE	Dsn1,Mtcl2,Ndrg3,Rab5if,Sla2,Tgif2,Tldc2	7	Tldc2	0.344100722816353	0.513859222845266	34.1266443700365
stripe_92	lost	0.0076	0.8784	TRUE	FALSE	Dmrtb1,Glis1,Lrp8,Ndc1	4	Dmrtb1	0.289745964003988	0.778598543556217	9.84692845417198
stripe_92	lost	0.0076	0.8784	TRUE	FALSE	Dmrtb1,Glis1,Lrp8,Ndc1	4	Glis1	0.0138574771241791	0.986450474294346	73.5621606826908
stripe_92	lost	0.0076	0.8784	TRUE	FALSE	Dmrtb1,Glis1,Lrp8,Ndc1	4	Lrp8	-0.00229091956315901	0.993499379419487	5336.18706703032
stripe_92	lost	0.0076	0.8784	TRUE	FALSE	Dmrtb1,Glis1,Lrp8,Ndc1	4	Ndc1	0.0650367872613921	0.824004013440508	539.594540160256
stripe_96	lost	-0.0376	0.4306	TRUE	FALSE	Cpeb2	1	Cpeb2	-0.264206819688843	0.022085434928322	2841.39489835325
stripe_99	lost	-0.0541	0.2296	TRUE	FALSE	Oas1a,Oas1b,Oas1c,Oas1d,Oas1e,Oas1f,Oas1g,Oas1h,Rph3a	9	Oas1a	NA	NA	NA
stripe_99	lost	-0.0541	0.2296	TRUE	FALSE	Oas1a,Oas1b,Oas1c,Oas1d,Oas1e,Oas1f,Oas1g,Oas1h,Rph3a	9	Oas1b	NA	NA	NA
stripe_99	lost	-0.0541	0.2296	TRUE	FALSE	Oas1a,Oas1b,Oas1c,Oas1d,Oas1e,Oas1f,Oas1g,Oas1h,Rph3a	9	Oas1c	NA	NA	NA
stripe_99	lost	-0.0541	0.2296	TRUE	FALSE	Oas1a,Oas1b,Oas1c,Oas1d,Oas1e,Oas1f,Oas1g,Oas1h,Rph3a	9	Oas1d	NA	NA	NA
stripe_99	lost	-0.0541	0.2296	TRUE	FALSE	Oas1a,Oas1b,Oas1c,Oas1d,Oas1e,Oas1f,Oas1g,Oas1h,Rph3a	9	Oas1e	NA	NA	NA
stripe_99	lost	-0.0541	0.2296	TRUE	FALSE	Oas1a,Oas1b,Oas1c,Oas1d,Oas1e,Oas1f,Oas1g,Oas1h,Rph3a	9	Oas1f	NA	NA	NA
stripe_99	lost	-0.0541	0.2296	TRUE	FALSE	Oas1a,Oas1b,Oas1c,Oas1d,Oas1e,Oas1f,Oas1g,Oas1h,Rph3a	9	Oas1g	NA	NA	NA
stripe_99	lost	-0.0541	0.2296	TRUE	FALSE	Oas1a,Oas1b,Oas1c,Oas1d,Oas1e,Oas1f,Oas1g,Oas1h,Rph3a	9	Oas1h	NA	NA	NA
stripe_99	lost	-0.0541	0.2296	TRUE	FALSE	Oas1a,Oas1b,Oas1c,Oas1d,Oas1e,Oas1f,Oas1g,Oas1h,Rph3a	9	Rph3a	-0.0021565883995095002	0.995977972646643	4531.01144487865
stripe_110	lost	-0.0135	0.8266	TRUE	FALSE	Abcc8,Kcnc1,Kcnj11,Myod1,Otog,Ush1c	6	Abcc8	0.19630223848762	0.344583152047991	1097.57279548156
stripe_110	lost	-0.0135	0.8266	TRUE	FALSE	Abcc8,Kcnc1,Kcnj11,Myod1,Otog,Ush1c	6	Kcnc1	-0.307914386450377	0.0608339909315468	7352.01582168323
stripe_110	lost	-0.0135	0.8266	TRUE	FALSE	Abcc8,Kcnc1,Kcnj11,Myod1,Otog,Ush1c	6	Kcnj11	0.164990967141204	0.50635494074896	447.991347621118
stripe_110	lost	-0.0135	0.8266	TRUE	FALSE	Abcc8,Kcnc1,Kcnj11,Myod1,Otog,Ush1c	6	Myod1	0.96719236378022	0.00829702131293971	64.9300502525104
stripe_110	lost	-0.0135	0.8266	TRUE	FALSE	Abcc8,Kcnc1,Kcnj11,Myod1,Otog,Ush1c	6	Otog	NA	NA	NA
stripe_110	lost	-0.0135	0.8266	TRUE	FALSE	Abcc8,Kcnc1,Kcnj11,Myod1,Otog,Ush1c	6	Ush1c	NA	NA	NA
