Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Concordant	Environmental Information Processing	Signaling molecules and interaction	mmu04512	ECM-receptor interaction	11/248	89/10692	0.123595505617978	5.32856107285248	6.31867103724253	6.19707085890227e-06	0.00165461791932691	0.00141554144882294	Col9a1/Comp/Gp5/Itga7/Itgb3/Itgb5/Lama5/Sdc1/Sv2c/Tnc/Tnn	11
Concordant	NA	NA	mmu04517	IgSF CAM signaling	19/248	300/10692	0.0633333333333333	2.73048387096774	4.68468277414435	7.0411330270099e-05	0.00925631533434929	0.00791886626277862	Cadm2/Clmp/Cntnap2/Esam/Grip1/Il1rapl1/Il1rapl2/Itgb3/Jaml/L1cam/Lrrc4c/Lyn/Mapk11/Mapk12/Mpp3/Pak3/Pak6/Prkcb/Unc5c	19
Concordant	Cellular Processes	Cell motility	mmu04820	Cytoskeleton in muscle cells	16/248	233/10692	0.0686695278969957	2.96054271078499	4.66241320971181	0.000104003543082576	0.00925631533434929	0.00791886626277862	Actn2/Col9a1/Comp/Daam2/Diaph2/Dsc2/Dsg2/Inf2/Itga7/Itgb3/Itgb5/Mybpc3/Myh7b/Pdlim7/Sdc1/Sdc2	16
Concordant	Environmental Information Processing	Signal transduction	mmu04010	MAPK signaling pathway	18/248	299/10692	0.0602006688963211	2.59542561225591	4.31164765998365	0.000206525706159564	0.0137855908861509	0.011793704799112	Angpt1/Cacng8/Efna1/Fgf20/Gdnf/Map3k5/Mapk11/Mapk12/Mapkapk3/Mef2c/Ntf3/Pla2g4e/Prkcb/Ptpn5/Rasgrp2/Tgfa/Tgfb3/Tgfbr1	18
Concordant	Organismal Systems	Development and regeneration	mmu04360	Axon guidance	13/248	181/10692	0.0718232044198895	3.09650686152201	4.38344065361534	0.00029980560677831	0.0160096194019618	0.0136963824570302	Boc/Efna1/Epha5/Epha8/Gnai1/L1cam/Lrrc4c/Pak3/Pak6/Plxnc1/Sema3a/Sema4c/Unc5c	13
Concordant	Human Diseases	Cardiovascular disease	mmu05412	Arrhythmogenic right ventricular cardiomyopathy	8/248	86/10692	0.0930232558139535	4.01050262565641	4.31930625416344	0.000834597779621352	0.0324958952360791	0.0278005490488041	Actn2/Cacng8/Dsc2/Dsg2/Itga7/Itgb3/Itgb5/Slc8a3	8
Concordant	Cellular Processes	Cellular community - eukaryotes	mmu04510	Focal adhesion	13/248	202/10692	0.0643564356435644	2.77459278185883	3.92363161223099	0.000851952309560125	0.0324958952360791	0.0278005490488041	Ccnd1/Col9a1/Comp/Itga7/Itgb3/Itgb5/Lama5/Pak3/Pak6/Parva/Prkcb/Tnc/Tnn	13
Concordant	Organismal Systems	Nervous system	mmu04725	Cholinergic synapse	9/248	114/10692	0.0789473684210526	3.40365025466893	3.9757905164881	0.00131123265507894	0.0437623898632595	0.0374391429147538	Chrm2/Chrm3/Chrna4/Chrna7/Chrnb4/Gnai1/Gng4/Itpr2/Prkcb	9
Discordant	NA	NA	mmu04517	IgSF CAM signaling	14/131	300/10692	0.0466666666666667	3.80885496183206	5.49582207468761	1.77180906864605e-05	0.00373851713484317	0.00365552186794343	Dcc/Foxo1/Grip2/Kcna4/Lrrtm4/Mpdz/Nectin4/Ptprf/Robo1/Slitrk2/Sptbn5/Tigit/Tjp1/Unc5d	14
Discordant	Organismal Systems	Development and regeneration	mmu04360	Axon guidance	10/131	181/10692	0.0552486187845304	4.50929948125343	5.30310215197972	7.41477151290977e-05	0.0078225839461198	0.00764892219226481	Dcc/Efnb1/Epha3/Epha7/Ngef/Ntn4/Robo1/Sema5a/Sema6a/Unc5d	10
