threshold	category	bp	n_regions	pct_genome
Standard (FDR<0.05, |Diff|>0.30)	Flipped A->B	16400000	656	0.600540829347632
Standard (FDR<0.05, |Diff|>0.30)	Flipped B->A	37925000	1517	1.3887506678664
Standard (FDR<0.05, |Diff|>0.30)	Strengthened A	53775000	2151	1.96915140842493
Standard (FDR<0.05, |Diff|>0.30)	Strengthened B	27325000	1093	1.00059622938561
Standard (FDR<0.05, |Diff|>0.30)	Weakened A	23875000	955	0.874262945163093
Standard (FDR<0.05, |Diff|>0.30)	Weakened B	45425000	1817	1.66338824226318
Standard (FDR<0.05, |Diff|>0.30)	No Change	2526146774	95882	92.5033096775491
Relaxed (FDR<0.15, |Diff|>0.15)	Flipped A->B	33200000	1328	1.21572899599643
Relaxed (FDR<0.15, |Diff|>0.15)	Flipped B->A	51225000	2049	1.87577463313003
Relaxed (FDR<0.15, |Diff|>0.15)	Strengthened A	141225000	5649	5.17142552589142
Relaxed (FDR<0.15, |Diff|>0.15)	Strengthened B	118725000	4749	4.34751280270108
Relaxed (FDR<0.15, |Diff|>0.15)	Weakened A	129650000	5186	4.74756820273906
Relaxed (FDR<0.15, |Diff|>0.15)	Weakened B	130700000	5228	4.78601746315461
Relaxed (FDR<0.15, |Diff|>0.15)	No Change	2126146774	79882	77.8559723763874
