gene_symbol	gene_class	feature_idx	feature_label	distance_to_tss	k27ac_class
Kcnq5	DEG_down	32	P60	1047965	lost_k27ac
Kcnq5	DEG_down	33	P60	668149	lost_k27ac
Kcnq5	DEG_down	34	P60	834778.5	lost_k27ac
Col9a1	DEG_down	33	P60	1547519	lost_k27ac
Col9a1	DEG_down	34	P60	1380889.5	lost_k27ac
Col19a1	DEG_down	33	P60	1957381	lost_k27ac
Col19a1	DEG_down	34	P60	1790751.5	lost_k27ac
Kctd18	DEG_down	38	P60	1198497	gained_k27ac
Kctd18	DEG_down	39	P60	1374494	lost_k27ac
Kctd18	DEG_down	40	P60	1460690.5	lost_k27ac
Aox1	DEG_down	38	P60	1187522	gained_k27ac
Aox1	DEG_down	39	P60	1363519	lost_k27ac
Aox1	DEG_down	40	P60	1449715.5	lost_k27ac
Cflar	DEG_down	38	P60	505945	gained_k27ac
Cflar	DEG_down	39	P60	681942	lost_k27ac
Cflar	DEG_down	40	P60	768138.5	lost_k27ac
Cdk15	DEG_down	38	P60	39453	gained_k27ac
Cdk15	DEG_down	39	P60	136544	lost_k27ac
Cdk15	DEG_down	40	P60	222740.5	lost_k27ac
Fzd7	DEG_down	38	P60	264971	gained_k27ac
Fzd7	DEG_down	39	P60	88974	lost_k27ac
Fzd7	DEG_down	40	P60	2777.5	lost_k27ac
Nrp2	DEG_down	41	P60	1373447	stable_k27ac
Nrp2	DEG_down	42	P60	1416033.5	stable_k27ac
Zdbf2	DEG_down	41	P60	876419	stable_k27ac
Zdbf2	DEG_down	42	P60	919005.5	stable_k27ac
Plekhm3	DEG_down	41	P60	880092	stable_k27ac
Plekhm3	DEG_down	42	P60	837505.5	stable_k27ac
Pth2r	DEG_up	41	P60	1205324	stable_k27ac
Pth2r	DEG_up	42	P60	1162737.5	stable_k27ac
Mreg	DEG_down	44	P60	1509066	lost_k27ac
Xrcc5	DEG_down	44	P60	1413946	lost_k27ac
Xrcc5	DEG_down	45	P60	1987363.5	lost_k27ac
Nhej1	DEG_down	44	P60	1325266	lost_k27ac
Nhej1	DEG_down	45	P60	751848.5	lost_k27ac
Nhej1	DEG_down	46	P60	335685	lost_k27ac
Nhej1	DEG_down	47	P60	397025	lost_k27ac
Des	DEG_down	44	P60	1638956	lost_k27ac
Des	DEG_down	45	P60	1065538.5	lost_k27ac
Des	DEG_down	46	P60	21995	lost_k27ac
Des	DEG_down	47	P60	83335	lost_k27ac
Gm15179	DEG_down	44	P60	1653639	lost_k27ac
Gm15179	DEG_down	45	P60	1080221.5	lost_k27ac
Gm15179	DEG_down	46	P60	7312	lost_k27ac
Gm15179	DEG_down	47	P60	68652	lost_k27ac
Gmppa	DEG_down	44	P60	1714557	lost_k27ac
Gmppa	DEG_down	45	P60	1141139.5	lost_k27ac
Gmppa	DEG_down	46	P60	53606	lost_k27ac
Gmppa	DEG_down	47	P60	7734	lost_k27ac
Pid1	DEG_down	48	P60	1535701	lost_k27ac
Itm2c	DEG_down	48	P60	5600	lost_k27ac
Itm2c	DEG_down	49	P60	544639.5	stable_k27ac
Itm2c	DEG_down	50	P60	615252.5	lost_k27ac
