State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9126681051127523	0.018756952127224148	2.2754352017254105E-4	0.002249499112360279	3.229089077158447E-4	1.463269212286794E-4	2.841617755676541E-6	4.0736444116222596E-5	2.7118578450191518E-5	2.990321034999928E-4	0.06480005167625273	6.8089555838893E-5	1.2153241471096933E-5	2.46129506552546E-4	1.3251157460879946E-4
2	0.039914193414353136	0.8749243302786202	0.0050968203304551755	0.04923848153247319	8.196599379820222E-5	1.0779983829777965E-5	9.005120021164018E-5	1.3869080614232514E-4	3.1957373527314453E-4	2.2183386822485052E-4	0.029710018248735356	2.737772996257904E-5	2.5136127181779754E-5	1.2682567612174716E-4	7.392107461671263E-5
3	4.4032051409787735E-4	0.0057627966044652736	0.7979857281968199	0.07984500478715013	9.604661601736111E-4	0.0	7.02599483774742E-4	0.0037439215039072383	0.002092427962614131	0.0013444863435370768	0.10565345334446712	3.4915910532636496E-4	9.531679238572329E-5	8.506903113562962E-4	1.7362888992450025E-4
4	0.004430400433192698	0.04780561250126593	0.06165807567663609	0.8488199792100423	0.01136425269467821	0.002174799199211012	0.0018032116331168349	9.861953717351804E-4	1.536125037154436E-4	0.005213059594838299	0.014254028086509425	9.410586096409588E-5	9.165102790990336E-4	3.014642851238458E-4	2.4692669872091682E-5
5	1.5860360226173977E-4	1.0080225447903864E-5	1.678385602961825E-4	0.002531643565064251	0.7608981531352711	0.0039073720431390705	0.0014764253498525716	0.0032012438275707965	1.717584393145666E-4	4.6137293262850127E-4	0.19057734481612834	4.52309670063224E-4	0.03462286855864936	0.0012368954820160772	1.260897922963946E-4
6	6.144719317804806E-4	1.8029275810673735E-5	5.669427796136749E-5	0.005210794060661964	0.04216626074329686	0.8002804588509582	0.01803870474273188	2.6390484781717993E-4	0.0029491824651548247	0.10055522371746259	0.028861951633478572	0.0	3.036909139954441E-4	4.187637926985487E-4	2.618687461913006E-4
7	6.05493663597521E-6	1.336070043959011E-4	6.98024989843147E-4	0.0023432434372867906	0.009522672638778514	0.009966843587671208	0.8523643205165585	0.026527258585870475	0.08563161982677008	0.0031875601955839027	0.009363806222466412	0.0	1.6025964794763367E-4	9.472841019160021E-5	0.0
8	5.741523348632023E-5	4.1343702287620304E-5	0.0023528423890331472	8.730527421537255E-4	0.012431545360848674	1.0189772023258908E-4	0.017330721199310214	0.8853119991560575	0.013015237385066492	2.676759528209009E-4	0.06668394977633604	2.4506513480424127E-4	4.6693131041489124E-4	7.434825268794269E-4	7.684041026811213E-5
9	1.1525571163697594E-4	5.062553289328334E-4	0.002476482806751054	1.395029355468788E-4	8.203395529237896E-4	0.0016632644131496766	0.09641026130723117	0.021360171948153477	0.8200847523378892	0.01677222572760199	0.03846313169837968	5.32225961756988E-4	6.559632762124402E-5	5.245909719724733E-4	6.594297045265633E-5
10	0.0010877061014365871	6.722232274035157E-4	0.002804304744249746	0.010671650235724783	0.006332645920717275	0.10097590126988026	0.005032368570594701	5.646133978331684E-4	0.02783922880916127	0.7228887839649158	0.11694605226333946	0.002894722336740602	1.4867732952634255E-4	0.001012276805745911	1.2884502273062605E-4
11	9.061630855784463E-4	1.9576056501235505E-4	5.422275189193491E-4	1.035582174333922E-4	0.006040156659225037	8.3976129910684E-5	5.1439789334099574E-5	5.302379083847361E-4	2.0321197049891654E-4	3.4859087601552506E-4	0.9882834850032773	8.346419379688064E-4	3.24088851341208E-4	0.0011964180067176083	3.56043480382611E-4
12	3.4218106822747466E-4	1.2313763621090286E-4	0.0014952297934705317	1.0379096400577014E-4	0.0065327014041872515	1.2829835171387785E-4	4.185362555225929E-5	0.0012189494649568315	0.0019453720428741102	0.004069053632183008	0.4375165583589689	0.49697641672470877	0.04518953044293321	0.0042123183540967914	1.0460813591026853E-4
13	2.1038893888151856E-4	0.0	1.6433045555199318E-4	0.0023718124828625065	0.3559615486852269	3.392291629364762E-4	1.9477027598612158E-4	0.001036431844015363	0.0	2.684294793360862E-4	0.10470172270653172	0.02638003173549525	0.5035552870389653	0.004813670054944042	2.347139266590875E-6
14	0.001724320342266855	2.8695985578319896E-4	0.0016114684292390614	4.574943637426681E-4	0.013952459220958245	3.499727480739626E-4	2.851471282983743E-4	0.0021519595224627134	0.0013122556079737853	0.0015518112004252712	0.45182889238780094	0.00296868288043009	0.005766184133848292	0.5155117752181168	2.4061696057984597E-4
15	5.149856400648367E-4	2.2557827088718547E-4	3.593755882578764E-4	1.051423856735125E-4	0.0014375436765819369	1.1085311012535263E-4	3.0672692319509454E-5	3.342211819841819E-4	3.0510142530278728E-5	1.394963628891957E-4	0.13425516358232523	1.6586443069276349E-4	5.0850769351610254E-5	1.1850468044751993E-4	0.8621212374858689
