State (Emission order)	CTCF	ATAC	H3K4me1	H3K9ac	H3K4me3	H3K27ac	H2AK119ub	H3K27me3	H3K9me3
1	0.007356666628329305	0.010454503407653113	0.04863498861540233	2.2338734304454358E-4	2.3526689959298366E-52	3.6074124948421326E-56	9.199649899377443E-102	0.9941153924629057	9.19213532284642E-38
2	0.014446334256772435	0.014701815227736174	5.787331408436608E-15	0.04013437562000606	0.005537199575046188	0.0012747642376721871	0.9980164837525527	0.9997751215187491	0.0035683232949761043
3	0.018389890786944668	0.02004493593701941	1.581601157459399E-27	0.0655993227144775	0.001437998639827509	6.694493856606173E-38	0.9947319437961832	5.662510740831594E-29	8.754195899733154E-4
4	0.040952587741260114	0.20844976074375685	0.9999998737737743	0.27248360430353774	0.04217453331811118	9.597473606803099E-38	0.9982814997924823	0.3750028187942209	0.001547881102644227
5	0.005003225843731642	4.52006325733227E-28	1.0	3.0339200690575147E-123	2.3161243302436668E-11	6.957457424663773E-128	2.2784799822369752E-100	1.2458185250723694E-85	7.023589771857743E-131
6	0.03543702072576429	0.15247575687289244	1.0	0.9189464292469594	0.2568560027771481	1.7279363475661298E-94	0.00274024719168683	0.019352065865457478	0.0032668785529701176
7	0.03698139783082135	0.245633055512545	0.9999999999999982	0.9918186105145131	0.3783327097826398	0.9999825362458303	0.38430528280629145	0.019733982576983135	0.0015579152989015326
8	0.022331905018196894	0.18270915590739847	0.6589366866549192	5.218370491590519E-59	0.01817120054384849	0.9962939897790011	0.15488416635242008	0.004220552463856542	0.005038128271210064
9	0.04178850682811557	0.3416817638927908	1.4583258522231459E-37	0.9323024857712906	0.761329315296866	0.9999999999999648	0.26350191598167055	0.018676957195400117	0.0021916331767423136
10	0.032561713367902326	0.24289483583360003	2.0932522596344586E-28	0.87621130239265	0.3823972866811735	4.670106250089042E-80	0.06614320547152239	0.026510170499264348	0.001357038257174418
11	1.0009996886588613E-78	6.600168889472926E-36	1.148159953996911E-101	1.6586747358672728E-174	1.7730612909329699E-124	1.0540350674314457E-168	5.6039989139670295E-158	2.4087505150525578E-164	9.099404800950396E-213
12	0.31839208635558996	0.978791752846562	1.555924990673709E-35	1.3536753593258446E-106	3.4615128960127005E-90	1.7117834318876795E-108	2.694097828137595E-63	2.885232870515802E-99	1.833417490067994E-72
13	0.15192944419875365	0.9856651647711085	1.0	5.678836599636005E-194	2.6332675441682643E-188	6.2276029372183086E-149	1.2554090784688344E-5	2.939464818255637E-69	9.229206415351773E-119
14	0.9940920630294228	0.037048619422396706	0.02399429076161008	7.566834080838685E-63	7.790389238945699E-88	8.632089100802936E-51	2.2282387496523993E-78	5.264427448768912E-62	2.453684548897041E-96
15	0.0020467596310476087	0.028798606394043674	0.02389024963831732	0.0015008552344136883	6.349236720286447E-26	1.9855823939128616E-38	0.00822631433662005	0.01745398927959529	0.9700500809925762
