State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.05210	2.15428	2.25645	2.52326	2.61976	2.81276	2.98590	3.17891	3.30379	3.36056	3.30947	3.22148	3.20729	3.19026	3.13917	3.06821	3.04267	2.95184	2.92062	2.89791	2.80425
2	4.62212	4.94712	5.38044	5.65127	6.03645	6.19894	6.13274	5.75358	5.21193	4.39343	3.97214	4.02029	4.26102	4.54389	5.25406	6.35542	7.08365	7.62530	7.60123	7.48688	7.26420
3	2.84331	3.01724	2.91893	3.00211	2.83575	2.63157	2.74500	2.49546	2.16273	1.86025	1.91319	2.04930	2.26860	2.48790	2.62401	2.87356	2.94918	3.00967	3.00967	3.05505	3.05505
4	1.82229	2.12311	2.46443	2.90410	3.62723	4.56441	5.94125	7.67098	9.57426	11.23457	11.94614	12.05605	11.81886	11.62217	10.70813	9.19823	7.88503	6.51397	5.50159	4.62226	3.91648
5	1.49318	1.46578	1.44087	1.35370	1.24411	1.14697	1.03115	0.99005	1.02492	0.85556	0.83189	0.97013	1.09217	1.21173	1.64386	2.13080	2.78087	3.38985	3.77590	4.08600	4.24167
6	3.66245	4.45688	5.46675	6.44969	7.06907	7.09600	7.37877	8.79258	12.21267	16.53490	16.53490	13.27639	12.61661	14.50170	18.81047	22.05551	22.74222	21.24762	19.03937	17.11389	14.58249
7	3.47726	4.00213	4.94252	6.01413	7.23154	8.28128	9.57158	10.74525	12.18135	12.76454	10.94936	7.78556	7.95323	9.40391	12.70622	14.91504	15.18477	14.41933	13.12174	11.40133	9.94336
8	2.48396	2.89470	3.31521	3.92642	4.36649	4.50830	4.22469	3.74061	3.07562	2.70889	2.25415	2.15635	2.12702	2.25415	2.39106	2.65999	2.77734	2.89470	2.91915	2.77246	2.63065
9	4.28993	5.17197	6.51908	8.43552	11.49861	16.38191	22.39582	27.84042	32.01007	34.61610	38.41689	42.53041	42.19363	39.12253	32.75579	26.13247	20.35109	16.06116	12.62922	10.35195	8.70013
10	3.58955	4.57465	5.61373	7.36801	10.41778	15.62667	21.21341	28.04164	34.39756	35.92245	36.98851	40.99639	40.55107	35.46363	26.38181	18.43353	12.81981	8.94688	7.07114	5.96458	4.97948
11	0.86959	0.84823	0.82105	0.78615	0.74529	0.69137	0.62922	0.55963	0.47683	0.40447	0.38398	0.40202	0.43616	0.46274	0.48292	0.50444	0.52980	0.55765	0.58918	0.61679	0.64666
12	1.97961	2.08491	1.81114	1.81114	2.10597	2.69564	3.62227	6.71805	15.01558	30.17858	34.66430	26.30359	11.66708	4.33830	2.23233	1.20040	0.82133	0.82133	0.86345	0.96875	0.92663
13	0.72546	0.90683	1.07524	1.08819	1.19183	1.24365	1.34729	1.48979	2.97958	7.48781	8.51123	5.01347	2.35775	1.33433	0.76433	0.85501	0.72546	0.69955	0.72546	0.77728	0.89387
14	2.00272	1.73370	1.98778	2.06251	1.95789	1.94294	1.86821	1.88316	1.65897	1.34511	1.12093	0.43343	0.61277	0.98642	1.06114	1.04620	1.12093	1.06114	1.03125	1.10598	1.10598
15	1.09628	1.06624	1.08126	1.17137	1.08126	1.23144	1.38161	1.53179	1.92224	2.26764	2.37277	2.64308	2.80828	2.70315	2.52294	2.43284	2.28266	2.25263	2.02736	1.83214	1.84715
