State (Emission order)	Genome %	CpGIsland.mm10.bed.gz	RefSeqExon.mm10.bed.gz	RefSeqGene.mm10.bed.gz	RefSeqTES.mm10.bed.gz	RefSeqTSS.mm10.bed.gz	RefSeqTSS2kb.mm10.bed.gz
1	1.26840	3.13980	2.01316	1.21890	1.72535	3.30947	3.02881
2	0.59818	7.79871	3.36616	1.48599	3.17454	3.97214	5.78603
3	0.47608	2.03212	3.19489	1.55985	3.20235	1.91319	2.60882
4	0.62231	24.65891	4.20022	1.60451	1.91646	11.94614	7.11183
5	2.89083	0.31135	1.81555	2.14488	1.37519	0.83189	1.68759
6	0.26737	13.76326	4.21308	2.23408	3.47900	16.53490	11.98109
7	0.49385	11.30120	4.10137	2.11976	2.79793	10.94936	9.45501
8	0.73626	2.85546	2.96199	2.03815	2.84653	2.25415	2.96970
9	0.44897	70.96713	7.51673	1.99546	2.48444	38.41689	20.31333
10	0.26678	56.69132	6.26755	1.94065	2.71988	36.98851	17.65295
11	91.00151	0.07768	0.80270	0.92130	0.89140	0.38398	0.61145
12	0.17095	37.11006	4.06462	1.27694	1.80625	34.66430	7.10336
13	0.27790	5.98528	2.43837	1.62310	1.69442	8.51123	2.04865
14	0.24088	0.44072	1.46986	1.31062	1.87472	1.12093	1.39464
15	0.23973	2.53405	3.74063	1.00277	2.59214	2.37277	2.08570
Base	100	0.3847315121	2.4170208071	36.7540083919	0.0009506078	0.0010191452	3.5291167254
