loop_id	direction	ctcf_anchor_count	ctcf_anchor	ctcf_end_type	other_end_type	loop_type_extended
loop_9622	down_in_mutant	1	1	Active_Promoter	Other	Active_Promoter-Other
loop_291	down_in_mutant	1	2	Active_Enhancer	Active_Enhancer	Active_Enhancer-Active_Enhancer
loop_251	down_in_mutant	1	2	Active_Promoter	Active_Promoter	Active_Promoter-Active_Promoter
loop_10883	down_in_mutant	1	2	Poised_Enhancer	Active_Promoter	Active_Promoter-Poised_Enhancer
loop_318	down_in_mutant	1	2	Active_Enhancer	Active_Enhancer	Active_Enhancer-Active_Enhancer
loop_1539	down_in_mutant	1	1	Poised_Enhancer	Active_Promoter	Active_Promoter-Poised_Enhancer
loop_413	down_in_mutant	1	1	Poised_Enhancer	Poised_Enhancer	Poised_Enhancer-Poised_Enhancer
loop_827	down_in_mutant	1	1	Active_Promoter	Active_Enhancer	Active_Promoter-Active_Enhancer
loop_15541	down_in_mutant	1	2	Active_Promoter	Active_Enhancer	Active_Promoter-Active_Enhancer
loop_971	down_in_mutant	1	1	Active_Promoter	Active_Enhancer	Active_Promoter-Active_Enhancer
loop_1054	down_in_mutant	1	2	Poised_Enhancer	Other	Poised_Enhancer-Other
loop_8008	down_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_1100	up_in_mutant	1	1	Poised_Enhancer	Other	Poised_Enhancer-Other
loop_1231	down_in_mutant	1	2	Active_Promoter	Poised_Enhancer	Active_Promoter-Poised_Enhancer
loop_1262	down_in_mutant	1	2	Active_Promoter	Active_Promoter	Active_Promoter-Active_Promoter
loop_1327	down_in_mutant	1	1	Active_Promoter	Active_Promoter	Active_Promoter-Active_Promoter
loop_13443	down_in_mutant	1	2	Active_Enhancer	Poised_Enhancer	Active_Enhancer-Poised_Enhancer
loop_13840	down_in_mutant	1	1	Poised_Enhancer	Poised_Enhancer	Poised_Enhancer-Poised_Enhancer
loop_1566	down_in_mutant	1	2	Poised_Enhancer	Active_Promoter	Active_Promoter-Poised_Enhancer
loop_1610	down_in_mutant	1	1	Poised_Enhancer	Active_Enhancer	Active_Enhancer-Poised_Enhancer
loop_1662	down_in_mutant	1	2	Poised_Enhancer	Active_Enhancer	Active_Enhancer-Poised_Enhancer
loop_1715	down_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_1720	down_in_mutant	1	1	CTCF_Site	Other	CTCF_Site-Other
loop_2207	down_in_mutant	1	2	Active_Enhancer	Active_Enhancer	Active_Enhancer-Active_Enhancer
loop_18710	down_in_mutant	1	2	Active_Promoter	Active_Enhancer	Active_Promoter-Active_Enhancer
loop_1882	up_in_mutant	1	1	CTCF_Site	Polycomb	Polycomb-CTCF_Site
loop_1986	down_in_mutant	1	2	Bivalent_Promoter	Poised_Enhancer	Bivalent_Promoter-Poised_Enhancer
loop_2010	down_in_mutant	1	2	Active_Promoter	Active_Promoter	Active_Promoter-Active_Promoter
loop_2134	down_in_mutant	1	2	Poised_Enhancer	Other	Poised_Enhancer-Other
loop_10324	down_in_mutant	1	2	Active_Enhancer	Active_Enhancer	Active_Enhancer-Active_Enhancer
loop_10216	down_in_mutant	1	2	Active_Enhancer	Active_Enhancer	Active_Enhancer-Active_Enhancer
loop_2243	up_in_mutant	1	2	Poised_Enhancer	Active_Enhancer	Active_Enhancer-Poised_Enhancer
loop_2824	down_in_mutant	1	1	Active_Enhancer	Active_Enhancer	Active_Enhancer-Active_Enhancer
loop_2833	down_in_mutant	1	2	Poised_Enhancer	Active_Promoter	Active_Promoter-Poised_Enhancer
loop_2573	down_in_mutant	1	1	Poised_Enhancer	Active_Promoter	Active_Promoter-Poised_Enhancer
loop_19480	down_in_mutant	1	1	CTCF_Site	Other	CTCF_Site-Other
loop_4416	down_in_mutant	1	2	Active_Promoter	Poised_Enhancer	Active_Promoter-Poised_Enhancer
loop_3189	down_in_mutant	1	2	Poised_Enhancer	Active_Enhancer	Active_Enhancer-Poised_Enhancer
loop_2816	down_in_mutant	1	1	CTCF_Site	Other	CTCF_Site-Other
loop_22112	up_in_mutant	1	1	CTCF_Site	Repressed_Promoter	Repressed_Promoter-CTCF_Site
loop_15947	down_in_mutant	1	1	Active_Enhancer	Active_Enhancer	Active_Enhancer-Active_Enhancer
loop_3034	down_in_mutant	1	1	Poised_Enhancer	Active_Enhancer	Active_Enhancer-Poised_Enhancer
loop_3050	down_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_17280	down_in_mutant	1	1	Polycomb	Repressed_Promoter	Repressed_Promoter-Polycomb
loop_17332	down_in_mutant	1	2	Active_Enhancer	Other	Active_Enhancer-Other
loop_3263	down_in_mutant	1	1	Active_Promoter	Other	Active_Promoter-Other
loop_3768	down_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_10314	down_in_mutant	1	1	Active_Promoter	Poised_Enhancer	Active_Promoter-Poised_Enhancer
loop_18627	up_in_mutant	1	2	Polycomb	Repressed_Promoter	Repressed_Promoter-Polycomb
loop_21870	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_4284	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_3757	up_in_mutant	1	2	Active_Enhancer	Other	Active_Enhancer-Other
loop_3779	up_in_mutant	1	2	Poised_Enhancer	Repressed_Promoter	Repressed_Promoter-Poised_Enhancer
loop_19616	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_3839	up_in_mutant	1	2	Active_Enhancer	Active_Promoter	Active_Promoter-Active_Enhancer
loop_19791	up_in_mutant	1	2	CTCF_Site	Polycomb	Polycomb-CTCF_Site
loop_3915	up_in_mutant	1	2	Polycomb	Polycomb	Polycomb-Polycomb
loop_3933	up_in_mutant	1	1	Poised_Enhancer	Poised_Enhancer	Poised_Enhancer-Poised_Enhancer
loop_22237	up_in_mutant	1	2	Polycomb	Repressed_Promoter	Repressed_Promoter-Polycomb
loop_22261	up_in_mutant	1	1	Polycomb	Other	Polycomb-Other
loop_4049	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_22271	up_in_mutant	1	1	CTCF_Site	Other	CTCF_Site-Other
loop_4829	up_in_mutant	1	2	Polycomb	Repressed_Promoter	Repressed_Promoter-Polycomb
loop_22331	up_in_mutant	1	2	Polycomb	Other	Polycomb-Other
loop_4131	up_in_mutant	1	2	Poised_Enhancer	Active_Enhancer	Active_Enhancer-Poised_Enhancer
loop_4348	up_in_mutant	1	1	Repressed_Promoter	Polycomb	Repressed_Promoter-Polycomb
loop_4374	up_in_mutant	1	1	Polycomb	Other	Polycomb-Other
loop_4648	up_in_mutant	1	1	Polycomb	Poised_Enhancer	Polycomb-Poised_Enhancer
loop_22053	up_in_mutant	1	2	Polycomb	Polycomb	Polycomb-Polycomb
loop_5694	up_in_mutant	1	1	Polycomb	Active_Promoter	Active_Promoter-Polycomb
loop_4810	down_in_mutant	1	1	Active_Enhancer	Active_Enhancer	Active_Enhancer-Active_Enhancer
loop_4824	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_4909	up_in_mutant	1	2	Poised_Enhancer	Polycomb	Polycomb-Poised_Enhancer
loop_4947	up_in_mutant	1	2	Poised_Enhancer	Poised_Enhancer	Poised_Enhancer-Poised_Enhancer
loop_5010	up_in_mutant	1	1	CTCF_Site	Other	CTCF_Site-Other
loop_5014	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_5021	down_in_mutant	1	2	Poised_Enhancer	Poised_Enhancer	Poised_Enhancer-Poised_Enhancer
loop_22228	up_in_mutant	1	1	Active_Promoter	Poised_Enhancer	Active_Promoter-Poised_Enhancer
loop_2086	down_in_mutant	1	1	Poised_Enhancer	Other	Poised_Enhancer-Other
loop_5204	up_in_mutant	1	2	Repressed_Promoter	Active_Promoter	Active_Promoter-Repressed_Promoter
loop_5005	up_in_mutant	1	1	CTCF_Site	Other	CTCF_Site-Other
loop_21710	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_18879	up_in_mutant	1	1	Poised_Enhancer	Polycomb	Polycomb-Poised_Enhancer
loop_18865	up_in_mutant	1	1	Poised_Enhancer	Other	Poised_Enhancer-Other
loop_22404	up_in_mutant	1	1	Poised_Enhancer	Repressed_Promoter	Repressed_Promoter-Poised_Enhancer
loop_5357	up_in_mutant	1	1	Poised_Enhancer	Other	Poised_Enhancer-Other
loop_6403	up_in_mutant	1	2	Polycomb	Polycomb	Polycomb-Polycomb
loop_6481	up_in_mutant	1	2	CTCF_Site	Repressed_Promoter	Repressed_Promoter-CTCF_Site
loop_9594	down_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_5188	up_in_mutant	1	1	CTCF_Site	Other	CTCF_Site-Other
loop_22451	up_in_mutant	1	1	Polycomb	Other	Polycomb-Other
loop_5526	up_in_mutant	1	2	Polycomb	Polycomb	Polycomb-Polycomb
loop_6605	up_in_mutant	1	2	CTCF_Site	Polycomb	Polycomb-CTCF_Site
loop_5536	up_in_mutant	1	2	CTCF_Site	Poised_Enhancer	Poised_Enhancer-CTCF_Site
loop_5561	up_in_mutant	1	2	CTCF_Site	Repressed_Promoter	Repressed_Promoter-CTCF_Site
loop_11228	up_in_mutant	1	2	Polycomb	Polycomb	Polycomb-Polycomb
loop_5622	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_5626	up_in_mutant	1	2	Repressed_Promoter	Other	Repressed_Promoter-Other
loop_5682	up_in_mutant	1	2	Poised_Enhancer	Active_Promoter	Active_Promoter-Poised_Enhancer
loop_6811	up_in_mutant	1	2	CTCF_Site	Poised_Enhancer	Poised_Enhancer-CTCF_Site
