loop_type	odds_ratio	ci_low	ci_high	p_value
Active_Enhancer-Active_Enhancer	0.16644165912191974	0.11528772732895881	0.24111766313224003	1.7259981314318917e-20
Active_Enhancer-CTCF_Site	Inf	1.8421303206018695	Inf	0.0031857604032265886
Active_Enhancer-Other	0.1121372963798384	0.047505838498268095	0.2589602616424987	1.1062479564899728e-7
Active_Enhancer-Poised_Enhancer	0.3476989593385838	0.2393842162132511	0.5119205682558413	1.3497005766097016e-7
Active_Promoter-Active_Enhancer	0.25350639796306085	0.1683167759279024	0.38648999191200745	2.9231220265474164e-10
Active_Promoter-Active_Promoter	0.7934060299608638	0.41995859720248235	1.6291933071682874	0.48843238607636064
Active_Promoter-Bivalent_Promoter	Inf	0.05993350743831481	Inf	1
Active_Promoter-CTCF_Site	Inf	2.4961004809714247	Inf	3.70972672791121e-4
Active_Promoter-Other	0.08403222453632961	0.03216469808401086	0.20673763439501006	1.1978767225145193e-8
Active_Promoter-Poised_Enhancer	0.7254292880712846	0.4216643459630662	1.318204765628287	0.22856489128514046
Active_Promoter-Polycomb	0.4904793387766663	0.17232151300070492	1.710789958901309	0.18666426860917992
Active_Promoter-Repressed_Promoter	1.23584568800007	0.2914595032680523	11.072419796017554	1
Bivalent_Promoter-Active_Enhancer	0.43513453230773225	0.03483487437463357	22.89712797145578	0.41881211049820505
Bivalent_Promoter-CTCF_Site	Inf	0.24756573811813706	Inf	0.6068165810263628
Bivalent_Promoter-Other	0.5803465466303448	0.05724525924727078	28.650787715738474	0.49261057272331277
Bivalent_Promoter-Poised_Enhancer	0.3594424147803457	0.13077147227945976	1.1381651633583296	0.0410250993412206
CTCF_Site-CTCF_Site	Inf	15.169198738513463	Inf	1.1964741309612197e-21
CTCF_Site-Other	Inf	5.197912786426795	Inf	3.197893139402686e-8
Other-Other	0	0	0.02167671442718688	1.8283685350453582e-23
Poised_Enhancer-CTCF_Site	Inf	13.531399136024035	Inf	1.0711254705839966e-19
Poised_Enhancer-Other	0.28665063240227945	0.17372063807486796	0.4835735807965395	2.3019700384788465e-6
Poised_Enhancer-Poised_Enhancer	0.7783991827184092	0.4879297022919892	1.2912854539817828	0.30911713109340944
Polycomb-Active_Enhancer	Inf	0.4034294007418644	Inf	0.38313662351997535
Polycomb-CTCF_Site	Inf	7.9552381666477565	Inf	3.531152824403692e-12
Polycomb-Other	0.41567295021602446	0.20832108147285222	0.8880078559965433	0.013437056745313652
Polycomb-Poised_Enhancer	1.570669329396771	0.8355512363255835	3.2651860430525903	0.17505885204654859
Polycomb-Polycomb	1.2840831943180373	0.7742314068308563	2.2520556341775326	0.4112478688508913
Repressed_Promoter-Active_Enhancer	0.871064053313367	0.10522385228012902	40.17175337766635	1
Repressed_Promoter-Bivalent_Promoter	Inf	0.0037391159976387267	Inf	1
Repressed_Promoter-CTCF_Site	Inf	5.32906090677385	Inf	2.0375772028310253e-8
Repressed_Promoter-Other	0.3898039338053993	0.1555561341646061	1.105112608204839	0.03822018634085012
Repressed_Promoter-Poised_Enhancer	5.502492847890306	1.4590935500194429	46.475323160828815	0.004422084133092528
Repressed_Promoter-Polycomb	1.6809935680264032	0.9589378067302989	3.1814120335651683	0.07539936634405134
Repressed_Promoter-Repressed_Promoter	1.0168963364473054	0.47699048475278555	2.490818079811377	1.0000000000000002
Bivalent_Promoter-Polycomb	0.871064053313367	0.10522385228012902	40.17175337766635	1
