TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	999419.5	999409.5	999432.0
2000000.0	1997769.5	1997731.0	1997814.7
3000000.0	2995191.5	2995116.4	2995289.1
4000000.0	3991800.5	3991671.9	3991963.2
5000000.0	4987680.5	4987493.1	4987921.9
6000000.0	5982911.0	5982656.3	5983241.4
7000000.0	6977557.0	6977227.7	6977979.9
8000000.0	7971668.5	7971260.6	7972192.1
9000000.0	8965292.5	8964802.1	8965924.9
10000000.0	9958464.7	9957893.0	9959215.8
11000000.0	10951226.2	10950572.2	10952090.0
12000000.0	11943614.1	11942870.9	11944586.5
13000000.0	12935651.1	12934818.2	12936733.6
14000000.0	13927357.7	13926439.6	13928564.2
15000000.0	14918751.7	14917744.9	14920103.5
16000000.0	15909869.5	15908750.8	15911369.3
17000000.0	16900705.7	16899486.4	16902382.4
18000000.0	17891330.9	17889969.2	17893161.7
19000000.0	18881747.1	18880213.6	18883725.2
20000000.0	19871926.4	19870243.8	19874089.0
21000000.0	20861837.1	20860076.7	20864268.1
22000000.0	21851615.0	21849617.5	21854275.7
23000000.0	22841262.5	22838851.8	22844123.4
24000000.0	23830720.6	23828006.2	23833821.2
25000000.0	24820010.9	24816955.9	24823407.4
26000000.0	25809235.9	25805584.2	25812888.1
27000000.0	26798168.3	26793971.0	26802259.7
28000000.0	27786790.6	27781688.2	27791504.2
29000000.0	28775539.4	28769069.2	28780513.7
30000000.0	29764007.6	29756448.8	29769417.9
31000000.0	30752307.8	30743557.5	30758211.6
32000000.0	31740516.8	31730062.9	31746907.4
33000000.0	32728732.3	32715922.9	32735505.2
34000000.0	33716617.0	33701379.5	33724070.3
35000000.0	34704424.0	34686443.6	34712726.8
36000000.0	35692250.2	35671129.9	35701318.2
37000000.0	36679876.2	36655456.5	36689847.1
38000000.0	37667273.5	37639443.0	37678151.9
39000000.0	38654709.9	38623109.8	38666107.6
