TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	998414.0	998362.9	998451.6
2000000.0	1994166.5	1993994.9	1994298.5
3000000.0	2987792.3	2987452.0	2988041.0
4000000.0	3979666.8	3979108.4	3980051.1
5000000.0	4970059.2	4969257.4	4970592.4
6000000.0	5959127.1	5958074.0	5959931.3
7000000.0	6947017.4	6945493.5	6948296.5
8000000.0	7933689.8	7931425.9	7935773.2
9000000.0	8918949.9	8912831.3	8922485.5
10000000.0	9903484.7	9889708.5	9908520.2
11000000.0	10887278.5	10862478.0	10893653.2
12000000.0	11869509.4	11833433.7	11878338.3
13000000.0	12850300.6	12800413.3	12862541.3
14000000.0	13829964.6	13765689.7	13846427.9
15000000.0	14808319.7	14729944.2	14829932.5
16000000.0	15785642.8	15693259.2	15813102.7
17000000.0	16761654.0	16655559.5	16795917.1
18000000.0	17735642.3	17616722.8	17778096.7
19000000.0	18707915.5	18576630.4	18759877.6
20000000.0	19679435.6	19535163.1	19741269.1
21000000.0	20649627.8	20492258.4	20722587.8
22000000.0	21618479.5	21447881.1	21703967.5
23000000.0	22586040.2	22401988.6	22685132.7
24000000.0	23552317.5	23354061.0	23666103.9
25000000.0	24517318.8	24304470.7	24646891.0
26000000.0	25481050.6	25253336.8	25627499.5
27000000.0	26443951.9	26200630.5	26607938.2
28000000.0	27406193.6	27146041.3	27588215.3
29000000.0	28367166.1	28089822.7	28568338.2
30000000.0	29327364.2	29031972.1	29548313.5
31000000.0	30285803.2	29972488.1	30528147.3
32000000.0	31242920.5	30911370.6	31507845.1
33000000.0	32198766.8	31848620.4	32487411.9
34000000.0	33153885.4	32784238.8	33466852.2
35000000.0	34108437.3	33718227.8	34446170.4
36000000.0	35061886.9	34650589.8	35425370.2
37000000.0	36013921.1	35581327.4	36404455.3
38000000.0	36964721.4	36510443.7	37383428.8
39000000.0	37914402.5	37437941.9	38362293.9
40000000.0	38862966.7	38363825.2	39341053.2
41000000.0	39810416.5	39288097.2	40319709.5
42000000.0	40756754.4	40210761.5	41298265.0
43000000.0	41702295.0	41131821.7	42276722.1
44000000.0	42647449.9	42051281.6	43255082.8
45000000.0	43591548.5	42969145.0	44233348.9
46000000.0	44534592.6	43885415.8	45211522.4
47000000.0	45476584.4	44800097.8	46189604.8
48000000.0	46417525.8	45713194.9	47167597.8
49000000.0	47357418.8	46624711.1	48145502.8
50000000.0	48295736.7	47534650.3	49123321.2
51000000.0	49232923.2	48443016.5	50101054.2
52000000.0	50168873.8	49349813.6	51078703.1
53000000.0	51103106.7	50255045.6	52056269.1
54000000.0	52036246.1	51158716.4	53033753.0
55000000.0	52968089.0	52060830.1	54011156.1
56000000.0	53898475.2	52961390.5	54988479.2
57000000.0	54827747.5	53860401.6	55965723.2
58000000.0	55755908.0	54757867.4	56942888.9
59000000.0	56682958.7	55653791.8	57919977.2
60000000.0	57608901.6	56547376.9	58896988.8
61000000.0	58533739.0	57438910.3	59873924.4
62000000.0	59457472.7	58328782.6	60850784.7
63000000.0	60380104.8	59217020.7	61827570.3
64000000.0	61301637.4	60103698.6	62804907.5
65000000.0	62222072.5	60988820.6	63782224.9
66000000.0	63141412.1	61872390.7	64759498.1
67000000.0	64059821.8	62754412.8	65736728.0
68000000.0	64978063.9	63634891.2	66713914.9
69000000.0	65895251.6	64513829.7	67691059.5
70000000.0	66811386.6	65391232.4	68668162.4
71000000.0	67726470.9	66266926.7	69645223.9
72000000.0	68640506.3	67140907.0	70622244.7
73000000.0	69553494.7	68013351.7	71599225.2
74000000.0	70465437.8	68884264.9	72576165.7
75000000.0	71376337.5	69753650.6	73553066.8
76000000.0	72286195.7	70621512.8	74529761.6
77000000.0	73195014.1	71487855.5	75506172.8
78000000.0	74102794.6	72352682.8	76482531.2
79000000.0	75009539.0	73215998.5	77458837.0
80000000.0	75914763.9	74077806.7	78435090.7
81000000.0	76818515.1	74938111.3	79411292.4
82000000.0	77721212.6	75796916.2	80387442.5
83000000.0	78622858.2	76654225.3	81363541.3
84000000.0	79523454.0	77510042.6	82339589.0
85000000.0	80423001.6	78364372.0	83315585.8
86000000.0	81321502.9	79217217.2	84291531.9
87000000.0	82218959.9	80068582.3	85267427.8
88000000.0	83115374.3	80918470.9	86243273.4
89000000.0	84010747.9	81766887.1	87219069.1
90000000.0	84905086.0	82613834.5	88194815.1
91000000.0	85798884.8	83459317.1	89170511.5
92000000.0	86691657.5	84303338.6	90146158.5
93000000.0	87583406.0	85145902.8	91121756.4
94000000.0	88474131.8	85987013.4	92097305.3
95000000.0	89363837.0	86826674.3	93072805.3
96000000.0	90252523.1	87664889.2	94048256.7
97000000.0	91140192.0	88501661.7	95023659.5
98000000.0	92026845.5	89336995.7	95999014.0
99000000.0	92912485.2	90170894.9	96974320.3
100000000.0	93797113.0	91003362.9	97949578.5
101000000.0	94680730.5	91834403.4	98924788.7
102000000.0	95563339.6	92664020.1	99899951.2
103000000.0	96444941.9	93492216.7	100875066.0
104000000.0	97325539.2	94318996.7	101850133.2
105000000.0	98205133.2	95144363.9	102825153.0
106000000.0	99083725.6	95968321.8	103800125.5
107000000.0	99961318.2	96790874.1	104775050.8
108000000.0	100837912.7	97612024.4	105749928.9
109000000.0	101713510.7	98431776.2	106724760.1
110000000.0	102588114.1	99250133.1	107699544.4
111000000.0	103461724.4	100067098.7	108674281.9
112000000.0	104334343.4	100882676.4	109648972.6
113000000.0	105205972.8	101696870.0	110623616.8
114000000.0	106076614.2	102509682.8	111598214.4
115000000.0	106946269.4	103321118.4	112572765.7
116000000.0	107814940.0	104131180.3	113547270.5
117000000.0	108682627.8	104939872.0	114521729.1
118000000.0	109549334.3	105747196.9	115496141.5
119000000.0	110415061.3	106553158.6	116470507.8
120000000.0	111279810.4	107357760.4	117444828.1
121000000.0	112143583.2	108161005.8	118419102.4
122000000.0	113006984.3	108962898.2	119393330.8
123000000.0	113869437.2	109763441.1	120367513.4
124000000.0	114730928.3	110562637.9	121341650.2
125000000.0	115591459.3	111360491.9	122315741.3
126000000.0	116451031.6	112157006.6	123289786.8
127000000.0	117309647.0	112952185.3	124263786.7
128000000.0	118167307.0	113746031.3	125237741.1
129000000.0	119024013.2	114538548.1	126211650.1
130000000.0	119879767.3	115329738.9	127185513.7
131000000.0	120734570.7	116119607.1	128159331.9
132000000.0	121588425.1	116908156.0	129133104.8
133000000.0	122441332.2	117695389.0	130106832.5
134000000.0	123293293.3	118481309.2	131080515.0
135000000.0	124144310.2	119265920.0	132054152.4
136000000.0	124994384.4	120049224.6	133027744.7
137000000.0	125843517.5	120831226.4	134001292.0
138000000.0	126691711.0	121611928.5	134974794.2
139000000.0	127538966.5	122391334.3	135948251.5
140000000.0	128385285.6	123169446.8	136921664.0
141000000.0	129230669.7	123946269.5	137895031.5
142000000.0	130075120.6	124721805.3	138868354.2
143000000.0	130918639.6	125496057.7	139841632.2
144000000.0	131761228.4	126269029.6	140814865.4
145000000.0	132602888.5	127040724.4	141788053.9
146000000.0	133443621.4	127811145.2	142761745.0
147000000.0	134283428.7	128580295.1	143735496.4
148000000.0	135122311.8	129348177.2	144709214.5
149000000.0	135960272.4	130114794.8	145682899.4
150000000.0	136797312.0	130880150.9	146656551.1
151000000.0	137633431.9	131644248.7	147630169.8
152000000.0	138468633.9	132407091.2	148603755.3
153000000.0	139302919.4	133168681.5	149577307.9
154000000.0	140136289.8	133929022.8	150550827.4
155000000.0	140968746.8	134688118.1	151524314.0
156000000.0	141800291.8	135445970.4	152497767.6
157000000.0	142630926.2	136202582.8	153471188.4
158000000.0	143460651.7	136957958.4	154444576.3
159000000.0	144289469.7	137712100.2	155417931.4
160000000.0	145117381.7	138465011.1	156391253.8
161000000.0	145944389.1	139216694.3	157364543.3
162000000.0	146770493.5	139967152.7	158337800.2
163000000.0	147595696.4	140716389.4	159311024.4
164000000.0	148419999.1	141464407.2	160284216.0
165000000.0	149243403.3	142211209.2	161257374.9
166000000.0	150065910.3	142956798.3	162230501.2
167000000.0	150887521.6	143701177.5	163203595.0
168000000.0	151708238.7	144444349.7	164176656.2
169000000.0	152528063.0	145186317.9	165149685.0
170000000.0	153346996.1	145927085.0	166122681.2
171000000.0	154165039.3	146666653.9	167095645.0
172000000.0	154982194.1	147405027.5	168068576.4
173000000.0	155798462.0	148142208.8	169041475.4
174000000.0	156613844.4	148878200.5	170014342.0
175000000.0	157428342.7	149613005.6	170987176.3
176000000.0	158241958.4	150346626.9	171959978.3
177000000.0	159054692.9	151079067.4	172932747.9
178000000.0	159866547.7	151810329.8	173905485.3
179000000.0	160677524.1	152540417.0	174878190.5
180000000.0	161487623.7	153269331.8	175850863.4
181000000.0	162296847.7	153997077.1	176823602.8
182000000.0	163105197.8	154723655.7	177796382.1
183000000.0	163912675.1	155449070.3	178769131.5
184000000.0	164719281.3	156173323.8	179741851.0
185000000.0	165525017.6	156896418.9	180714540.6
186000000.0	166329885.5	157618358.5	181687200.3
187000000.0	167133886.4	158339145.3	182659830.2
188000000.0	167937021.7	159058782.0	183632430.2
189000000.0	168739292.8	159777271.4	184605000.4
190000000.0	169540701.0	160494616.4	185577540.8
191000000.0	170341247.9	161210819.5	186550051.5
192000000.0	171140934.7	161925883.5	187522532.3
193000000.0	171939762.9	162639811.1	188494983.5
194000000.0	172737733.8	163352605.1	189467404.9
195000000.0	173534848.8	164064268.1	190439796.6
196000000.0	174331109.4	164774802.9	191412158.6
197000000.0	175126516.8	165484212.1	192384491.0
198000000.0	175921072.4	166192498.3	193356793.7
