task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
8	57/8b55dd	51506334	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (Bap1_Math1_mut_3201)	COMPLETED	0	2026-06-25 20:04:14.667	40.3s	26s	195.2%	6.1 GB	40.2 GB	366.8 MB	4.5 MB
4	e1/3bbd56	51506335	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (Bap1_Math1_mut_3391)	COMPLETED	0	2026-06-25 20:04:15.000	1m 10s	56s	201.4%	5.5 GB	40.3 GB	1.1 GB	4.5 MB
6	42/5988e4	51506330	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (Bap1_Math1_mut_3201)	COMPLETED	0	2026-06-25 20:03:40.768	1m 44s	1m 38s	373.7%	519.2 MB	3.5 GB	12.9 GB	12.5 GB
7	54/6abc6d	51506337	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (Bap1_Math1_ctrl_3200)	COMPLETED	0	2026-06-25 20:04:16.279	1m 9s	1m	196.4%	5.8 GB	40.2 GB	1.1 GB	4.4 MB
1	f9/a87f66	51506336	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (Bap1_Math1_ctrl_3139)	COMPLETED	0	2026-06-25 20:04:15.298	1m 10s	1m 8s	200.0%	5.8 GB	40.3 GB	1.4 GB	4.5 MB
3	30/e2dcf3	51506333	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (Bap1_Math1_mut_3391)	COMPLETED	0	2026-06-25 20:03:41.293	5m 29s	5m 13s	416.1%	481.7 MB	3.4 GB	40.8 GB	39.6 GB
5	3d/c2bc9a	51506332	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (Bap1_Math1_ctrl_3200)	COMPLETED	0	2026-06-25 20:03:41.062	5m 29s	5m 14s	407.0%	545 MB	3.5 GB	41.7 GB	40.6 GB
2	2b/c0298c	51506331	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (Bap1_Math1_ctrl_3139)	COMPLETED	0	2026-06-25 20:03:40.923	5m 59s	5m 50s	433.0%	487.7 MB	3.4 GB	50.3 GB	48.9 GB
9	f5/7dc650	51506345	NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_ALIGN (Bap1_Math1_mut_3201)	COMPLETED	0	2026-06-25 20:08:21.795	16m 33s	16m 22s	1216.9%	34.7 GB	37.3 GB	53.9 GB	24 GB
13	79/df2190	51506394	NFCORE_METHYLSEQ:METHYLSEQ:FASTQ_ALIGN_DEDUP_BISMARK:BISMARK_DEDUPLICATE (Bap1_Math1_mut_3201)	COMPLETED	0	2026-06-25 20:24:55.275	59.7s	44.6s	149.4%	385.9 MB	797.4 MB	4.9 GB	4.8 GB
