State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.77244	1.76328	1.78464	1.72668	1.77854	1.79074	1.81820	1.80294	1.81515	1.76634	1.73583	1.61990	1.50093	1.40941	1.36060	1.35144	1.32399	1.29348	1.30263	1.29348	1.30874
2	3.30010	3.32807	3.12531	3.20921	3.21620	3.19523	3.16027	3.06938	3.05539	3.02743	3.18124	2.94352	2.84564	2.79670	2.71280	2.55199	2.56597	2.51703	2.45410	2.48906	2.39118
3	2.92166	2.93093	2.88456	2.96803	2.84746	2.84746	2.85673	2.81035	2.83818	2.93093	2.81963	2.70833	2.46718	2.22602	2.15182	2.02197	2.03125	1.93850	2.04980	2.08690	2.00342
4	2.68860	2.75197	2.96018	3.04165	3.02355	3.14123	3.02355	2.88776	2.60713	2.37176	1.99156	1.95535	1.94630	1.87388	1.90103	1.88293	1.81956	1.80145	1.66567	1.59325	1.56609
5	1.41808	1.46037	1.46178	1.46459	1.52662	1.53930	1.49561	1.60133	1.51111	1.41949	1.30531	1.27007	1.24751	1.20382	1.17985	1.20241	1.24328	1.26302	1.24469	1.28980	1.26302
6	1.59857	1.49399	1.58363	1.77784	1.61351	1.43423	1.83760	1.95712	2.12146	1.82266	1.64338	1.65832	1.82266	1.80772	1.62844	1.76290	1.71808	1.58363	1.83760	1.71808	1.83760
7	0.85693	0.85407	0.85416	0.85039	0.84680	0.84505	0.84689	0.84471	0.85014	0.86121	0.87301	0.88647	0.89755	0.90832	0.91405	0.91546	0.91435	0.91524	0.91623	0.91529	0.91435
8	2.09280	2.01716	1.46244	1.84066	1.84066	2.01716	1.81544	2.19366	2.52145	2.21887	1.66415	2.49623	2.74838	2.19366	2.16844	2.69795	2.69795	2.87445	2.87445	2.84923	3.17702
9	1.85290	1.73912	1.75538	1.83664	1.82039	1.57659	1.57659	1.67411	1.56034	1.41405	1.80414	2.16171	2.27549	2.24298	2.22673	2.42177	2.68183	2.50304	2.48678	2.34050	2.40552
10	2.35896	2.47219	2.51466	2.72224	3.04778	3.24593	3.41578	3.60922	3.51957	3.24593	2.83548	2.33537	1.87774	1.57579	1.37764	1.23610	1.18420	1.16533	1.13702	1.16533	1.19835
11	3.03260	2.97538	2.78465	2.74650	2.97538	3.05167	2.89909	2.68928	2.78465	2.82279	3.26147	3.24240	3.05167	2.57485	2.47948	2.44134	2.23153	2.09802	2.32690	2.34597	2.13617
12	1.99329	2.05677	2.15834	2.17103	2.19643	2.32339	2.38687	2.38687	2.36148	2.19643	1.86633	1.75206	1.58701	1.72667	1.63780	1.49814	1.38388	1.38388	1.33309	1.24422	1.25691
13	3.12068	3.33456	3.25679	3.32484	3.33456	3.30540	3.38317	3.44150	3.45122	3.13040	2.85819	2.79014	2.50821	2.33322	2.28461	2.33322	2.35266	2.45960	2.43044	2.57626	2.63459
14	3.24752	3.13806	3.24752	3.11981	3.20191	3.35699	3.32050	3.33875	3.52119	3.33875	3.17455	2.91912	2.66370	2.50862	2.48125	2.49950	2.59984	2.59984	2.61809	2.63633	2.83702
15	3.61427	3.64979	3.54323	3.65867	3.46330	3.33898	3.05481	3.05481	2.83280	3.08145	3.25906	3.06369	3.16137	3.01929	2.93937	2.88609	2.95713	3.04593	2.94825	3.09921	3.16137
16	3.77007	3.61166	3.69615	3.52718	3.45326	3.30541	3.13644	2.85131	2.79851	2.80907	2.73515	2.56618	2.55562	2.73515	2.91467	2.95692	3.06252	2.98860	3.04140	2.84075	2.74571
17	3.38307	3.43746	3.37219	3.47009	3.40482	3.40482	3.36131	3.28516	3.06760	2.98058	2.91531	2.65424	2.62160	2.51282	2.43668	2.27351	2.19736	2.17560	2.07770	2.04507	2.14297
18	3.27883	3.43063	3.58243	3.58243	3.49135	3.45087	3.36991	3.17763	3.08655	2.92464	2.78296	2.32756	2.11505	2.08469	1.99361	2.03409	2.07457	2.13529	2.10493	2.08469	2.13529
