18	9	E	-2948412.647884612	82
probinit	1	1.6403082436183326E-286
probinit	2	0.0
probinit	3	1.1035457179736831E-266
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	1.0
probinit	8	3.268329268644961E-185
probinit	9	2.1187456546721414E-214
probinit	10	8.538543962637157E-237
probinit	11	6.848094221338022E-202
probinit	12	0.0
probinit	13	0.0
probinit	14	0.0
probinit	15	1.4201333097218539E-202
probinit	16	0.0
probinit	17	0.0
probinit	18	0.0
transitionprobs	1	1	0.91266665126898
transitionprobs	1	2	0.01772738457082297
transitionprobs	1	3	2.1986855000107736E-4
transitionprobs	1	4	0.0017166532311291547
transitionprobs	1	5	3.2254131917727714E-4
transitionprobs	1	6	1.232806803960637E-5
transitionprobs	1	7	0.06469626423068793
transitionprobs	1	8	5.923601322303107E-5
transitionprobs	1	9	2.452575136318093E-4
transitionprobs	1	10	1.5778823779570117E-4
transitionprobs	1	11	2.4307712475531517E-5
transitionprobs	1	12	5.381339895014177E-6
transitionprobs	1	13	5.785601282838534E-6
transitionprobs	1	14	1.9311621745284069E-4
transitionprobs	1	15	5.446790353424114E-4
transitionprobs	1	16	1.2245098006291465E-5
transitionprobs	1	17	1.3824805997697102E-5
transitionprobs	1	18	0.0013766871860588052
transitionprobs	2	1	0.040463033889024655
transitionprobs	2	2	0.878082505942569
transitionprobs	2	3	0.004614070737733799
transitionprobs	2	4	0.03756674203088101
transitionprobs	2	5	7.496139629027394E-5
transitionprobs	2	6	2.7719279812979448E-5
transitionprobs	2	7	0.029352702968746053
transitionprobs	2	8	0.0
transitionprobs	2	9	1.5236179062950696E-4
transitionprobs	2	10	6.635334245310043E-5
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0
transitionprobs	2	14	9.527782850026917E-6
transitionprobs	2	15	1.0523152545034977E-4
transitionprobs	2	16	0.0
transitionprobs	2	17	1.9924959143958684E-4
transitionprobs	2	18	0.009285539722119585
transitionprobs	3	1	4.799962376188659E-4
transitionprobs	3	2	0.0056855571955715415
transitionprobs	3	3	0.7995674811532575
transitionprobs	3	4	0.06660166993248316
transitionprobs	3	5	0.001011982093019242
transitionprobs	3	6	1.1141521509029787E-4
transitionprobs	3	7	0.10641520806669934
transitionprobs	3	8	3.0437367712326705E-4
transitionprobs	3	9	8.130006578866436E-4
transitionprobs	3	10	5.339817489214493E-4
transitionprobs	3	11	3.108649566738501E-4
transitionprobs	3	12	2.2084343342378445E-5
transitionprobs	3	13	0.0
transitionprobs	3	14	0.0
transitionprobs	3	15	3.5264615951206645E-4
transitionprobs	3	16	3.504203758994283E-5
transitionprobs	3	17	0.002565420547834628
transitionprobs	3	18	0.015189275977375674
transitionprobs	4	1	0.0049896040519380085
transitionprobs	4	2	0.04925556072820387
transitionprobs	4	3	0.0664345975103615
transitionprobs	4	4	0.8338321015233003
transitionprobs	4	5	0.013406828658592253
transitionprobs	4	6	0.0011261966458723485
transitionprobs	4	7	0.01611954375178753
transitionprobs	4	8	1.1769233097095603E-4
transitionprobs	4	9	3.3241410488021243E-4
transitionprobs	4	10	7.734811388675965E-5
transitionprobs	4	11	0.0035168724198132604
transitionprobs	4	12	0.002675447966934028
transitionprobs	4	13	9.83615469398453E-5
transitionprobs	4	14	7.38897289615972E-5
transitionprobs	4	15	0.0
transitionprobs	4	16	0.0
transitionprobs	4	17	0.002461585537276681
transitionprobs	4	18	0.0054819553802806925
transitionprobs	5	1	1.654582720798516E-4
transitionprobs	5	2	1.0611635788767956E-5
transitionprobs	5	3	1.6223005803423093E-4
transitionprobs	5	4	0.0021767558589359825
transitionprobs	5	5	0.7572260484325966
transitionprobs	5	6	0.033921173387252
transitionprobs	5	7	0.19327148816723452
transitionprobs	5	8	3.925733143887739E-4
transitionprobs	5	9	0.0012055790656302992
transitionprobs	5	10	9.132007986298006E-4
transitionprobs	5	11	1.1587527885157135E-4
transitionprobs	5	12	0.002423017437176858
transitionprobs	5	13	0.0015825282604970947
transitionprobs	5	14	0.004673839715310945
transitionprobs	5	15	7.057679816607933E-4
transitionprobs	5	16	2.0723959832144804E-4
transitionprobs	5	17	3.829140232325984E-4
transitionprobs	5	18	4.636987143781455E-4
transitionprobs	6	1	1.6908636819555517E-4
transitionprobs	6	2	0.0
transitionprobs	6	3	1.6248149697217692E-4
transitionprobs	6	4	0.0019523950639838287
transitionprobs	6	5	0.35459122839550916
transitionprobs	6	6	0.503379695970264
transitionprobs	6	7	0.10676571285136587
transitionprobs	6	8	0.02449262499051747
transitionprobs	6	9	0.004931295950165499
transitionprobs	6	10	0.001145088590551498
transitionprobs	6	11	9.806343791293423E-5
transitionprobs	6	12	9.105763091413243E-4
transitionprobs	6	13	1.6918404677341775E-4
transitionprobs	6	14	7.722732560346439E-4
transitionprobs	6	15	2.5063015927016726E-4
