State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
1	0.91266665126898	0.01772738457082297	2.1986855000107736E-4	0.0017166532311291547	3.2254131917727714E-4	1.232806803960637E-5	0.06469626423068793	5.923601322303107E-5	2.452575136318093E-4	1.5778823779570117E-4	2.4307712475531517E-5	5.381339895014177E-6	5.785601282838534E-6	1.9311621745284069E-4	5.446790353424114E-4	1.2245098006291465E-5	1.3824805997697102E-5	0.0013766871860588052
2	0.040463033889024655	0.878082505942569	0.004614070737733799	0.03756674203088101	7.496139629027394E-5	2.7719279812979448E-5	0.029352702968746053	0.0	1.5236179062950696E-4	6.635334245310043E-5	0.0	0.0	0.0	9.527782850026917E-6	1.0523152545034977E-4	0.0	1.9924959143958684E-4	0.009285539722119585
3	4.799962376188659E-4	0.0056855571955715415	0.7995674811532575	0.06660166993248316	0.001011982093019242	1.1141521509029787E-4	0.10641520806669934	3.0437367712326705E-4	8.130006578866436E-4	5.339817489214493E-4	3.108649566738501E-4	2.2084343342378445E-5	0.0	0.0	3.5264615951206645E-4	3.504203758994283E-5	0.002565420547834628	0.015189275977375674
4	0.0049896040519380085	0.04925556072820387	0.0664345975103615	0.8338321015233003	0.013406828658592253	0.0011261966458723485	0.01611954375178753	1.1769233097095603E-4	3.3241410488021243E-4	7.734811388675965E-5	0.0035168724198132604	0.002675447966934028	9.83615469398453E-5	7.38897289615972E-5	0.0	0.0	0.002461585537276681	0.0054819553802806925
5	1.654582720798516E-4	1.0611635788767956E-5	1.6223005803423093E-4	0.0021767558589359825	0.7572260484325966	0.033921173387252	0.19327148816723452	3.925733143887739E-4	0.0012055790656302992	9.132007986298006E-4	1.1587527885157135E-4	0.002423017437176858	0.0015825282604970947	0.004673839715310945	7.057679816607933E-4	2.0723959832144804E-4	3.829140232325984E-4	4.636987143781455E-4
6	1.6908636819555517E-4	0.0	1.6248149697217692E-4	0.0019523950639838287	0.35459122839550916	0.503379695970264	0.10676571285136587	0.02449262499051747	0.004931295950165499	0.001145088590551498	9.806343791293423E-5	9.105763091413243E-4	1.6918404677341775E-4	7.722732560346439E-4	2.5063015927016726E-4	0.0	5.108547752188866E-5	1.5857763582073284E-4
7	9.092281149076435E-4	1.7884482414859642E-4	4.787753287509E-4	8.126620122319699E-5	0.005843640619630323	3.108086172735222E-4	0.9873045803037044	7.725360031374746E-4	0.0011905195281420478	0.0013990350909264923	3.469635744289565E-4	8.063174138396406E-5	5.107951589714861E-5	1.1069531630954039E-4	5.868580550167398E-4	1.960496532411656E-4	4.986018865281687E-5	1.0862732322528051E-4
8	3.830495149409947E-4	1.4337141074195097E-4	0.0013549013409922155	1.4188912323457212E-4	0.006073092613385802	0.04596411607660898	0.44667933991053704	0.48492136591799007	0.004449626730363933	0.001563671529781561	0.0010921863407245287	1.010702081335403E-4	4.7486511962638006E-5	1.781366730705278E-4	0.005227887564138937	0.0015554369417207542	4.939977943991016E-5	7.397181223202545E-5
9	0.001752109598012214	2.548440165811664E-4	0.00127684673755111	4.085098643030919E-4	0.013327285814895106	0.00571794748750078	0.45170666401817494	0.0030795646145978387	0.5146782554455466	0.0010966579688256517	0.0015708135869239896	3.1640631541748687E-4	2.706917057344795E-4	3.842659699099207E-4	0.0023865340711046843	9.752257254424187E-4	3.293165188715307E-4	4.680605406070291E-4
10	2.83211287443352E-4	4.436805786752633E-5	3.356581238963218E-4	3.348881766246351E-5	0.002702019490029945	4.624590154457949E-4	0.15389036698221628	2.2296033430827328E-4	1.855878401237423E-4	0.8409763717743134	9.931009459094083E-5	6.938824069073611E-5	2.675778919224771E-5	1.181482060026429E-4	4.336140448020105E-4	4.510506645847372E-5	8.986027141843804E-6	6.219880781426981E-5
11	2.7126103562054207E-4	0.0	4.042828189184714E-4	0.007777944914863467	0.0016672758523278194	4.879124854747242E-5	0.1545363762566513	6.638684028365314E-4	0.0016441266336046543	5.31918506374798E-4	0.6268784935519107	0.13171351588487132	0.012435816955881755	7.949085400136905E-5	0.0012628698498046182	0.04615743730049784	0.013847891261172108	7.863867211521955E-5
12	2.410767736518046E-5	0.0	2.483886071346562E-5	0.003091819397854743	0.02116348699239143	6.953216786302415E-4	0.025371949899619984	1.5503307691886354E-4	3.345694938861137E-4	5.118831248329476E-5	0.08786505671535634	0.8376051662828227	0.0186192230926051	2.923917991302582E-4	2.6110608572231646E-5	0.0013950891614536048	0.003260502348753152	2.4144601443424064E-5
13	0.0	0.0	0.0	5.505364246117738E-5	0.011759449656160577	1.92061919804664E-4	0.011431526711758653	0.0	1.9269620462922636E-4	3.49449992149883E-5	0.007055946873629588	0.014164892581952226	0.8344637480328981	0.013586951871893788	0.004516589397885118	0.09018645347296608	0.012285783200330757	7.390143441499823E-5
14	4.2789661002769886E-4	0.0	7.44301189588874E-5	2.096674095054963E-4	0.031232837645746858	3.1914923556426006E-4	0.023195196948194104	2.9061974692850897E-5	2.3917749831614345E-4	2.1836060562586222E-4	0.0	1.7598422817179723E-4	0.01179235714893361	0.8165342741907432	0.10684391536798082	0.0015425956223356456	0.00131151645637918	0.005853578938823416
