State (Emission order)	Genome %	CpGIsland.mm10.bed.gz	RefSeqExon.mm10.bed.gz	RefSeqGene.mm10.bed.gz	RefSeqTES.mm10.bed.gz	RefSeqTSS.mm10.bed.gz	RefSeqTSS2kb.mm10.bed.gz
1	1.26499	3.07174	2.00859	1.21637	1.73610	3.22161	2.97221
2	0.55195	6.92667	3.30399	1.48130	3.18174	3.55479	5.16534
3	0.41607	1.36887	2.98326	1.51718	2.82007	1.55748	2.22091
4	0.42630	18.36155	3.62245	1.55277	1.99187	7.98058	4.70535
5	2.73767	0.27356	1.72633	2.13471	1.30551	0.78244	1.58172
6	0.25831	4.65232	2.27451	1.61287	1.64364	6.66203	1.72614
7	90.27392	0.06536	0.78472	0.91925	0.87297	0.36933	0.59574
8	0.15305	29.70049	3.59383	1.27388	1.66441	28.57975	5.95262
9	0.23743	0.43214	1.44166	1.30572	1.80442	1.07656	1.35428
10	0.81796	1.50681	2.94683	0.94135	2.83591	2.54837	1.91470
11	0.20233	6.00352	3.02583	2.02363	3.26198	3.57640	4.53418
12	0.30396	0.72397	2.24487	2.04380	1.86662	1.23179	1.80596
13	0.39695	7.96382	3.74350	2.17653	2.85864	9.48655	8.62557
14	0.42304	10.19478	3.99876	2.25181	3.17504	12.64601	9.12241
15	0.43457	36.36781	5.59773	2.01535	3.25956	24.88617	12.73278
16	0.36543	62.82424	6.97066	1.99505	2.73557	36.92435	18.96338
17	0.35476	33.69292	5.82126	2.03577	2.91576	16.56161	11.43911
18	0.38134	27.63670	4.92218	1.72192	2.78339	14.68036	10.05420
Base	100	0.3847315121	2.4170208071	36.7540083919	0.0009506078	0.0010191452	3.5291167254
