id,name,definition
dqs_lambda_modc_sensitivity,Methylated lambda modC sensitivity ,"Sensitivity for measuring modC at mC sites calculated from a fully methylated lambda control. modC refers to a call of mC, hmC or undifferentiated modC. The value should be >= 95%"
dqs_puc19_modc_specificity,Non-methylated pUC19 control modC specificity,"Specificity for measuring modC at C sites calculated from an unmethylated pUC19 control. modC refers to a call of mC, hmC or undifferentiated modC. The value should be >= 99%"
dqs_lambda_mc_sensitivity,Methylated lambda control mC sensitivity,Sensitivity for measuring mC calculated from a fully methylated lambda control. The value should be >= 93%
dqs_lambda_hmc_specificity,Methylated lambda control hmC specificity,Specificity for measuring hmC calculated from a fully methylated lambda control
dqs_puc19_mc_specificity,Non-methylated pUC19 mC specificity,Specificity for measuring mC calculated from an unmethylated pUC19 control
dqs_puc19_hmc_specificity,Non-methylated pUC19 hmC specificity,Specificity for measuring hmC calculated from an unmethylated pUC19 control
dqs_lambda_other_perc,Non-C calls at CpG sites on fully methylated lambda control,Non-C calls at CpG sites on fully methylated lambda control
dqs_puc19_other_perc,Non-C calls at CpG sites on fully unmethylated pUC19 control,Non-C calls at CpG sites on fully unmethylated pUC19 control
dqs_ss_sq2hmc_percent_hmc_at_hmc,Percent hmC called as hmC on 80bp SQ2hmC mixed C/hmC short control,The percentage of hmC sites correctly called as hmC on an 80bp synthetic oligo with a variety of different C and hmC states at CpGs. The value should be >= 95%
gen_acc_long_ctrl_overall_accuracy,Genetic accuracy lambda control,The overall genetic accuracy from the lambda-aligned reads as a percentage calculated relative to a lambda truth set. The value should be >= 99.9%
gen_acc_long_ctrl_overall_qscore,Genetic accuracy lambda control Q-score,The overall genetic accuracy from the lambda-aligned reads as a q-score calculated relative to a lambda truth set.
gen_acc_long_ctrl_a_accuracy,Genetic accuracy lambda control A,The overall genetic accuracy from the lambda-aligned reads  of A bases as a percentage calculated relative to a lambda truth set.
gen_acc_long_ctrl_c_accuracy,Genetic accuracy lambda control C,The overall genetic accuracy from the lambda-aligned reads  of C bases as a percentage calculated relative to a lambda truth set.
gen_acc_long_ctrl_g_accuracy,Genetic accuracy lambda control G,The overall genetic accuracy from the lambda-aligned reads  of G bases as a percentage calculated relative to a lambda truth set.
gen_acc_long_ctrl_t_accuracy,Genetic accuracy lambda control T,The overall genetic accuracy from the lambda-aligned reads  of T bases as a percentage calculated relative to a lambda truth set.
gen_acc_long_ctrl_a_qscore,Genetic accuracy lambda control Q-score A,The overall genetic accuracy from the lambda-aligned reads  of A bases as a q-score calculated relative to a lambda truth set.
gen_acc_long_ctrl_c_qscore,Genetic accuracy lambda control Q-score C,The overall genetic accuracy from the lambda-aligned reads  of C bases as a q-score calculated relative to a lambda truth set.
gen_acc_long_ctrl_g_qscore,Genetic accuracy lambda control Q-score G,The overall genetic accuracy from the lambda-aligned reads  of G bases as a q-score calculated relative to a lambda truth set.
gen_acc_long_ctrl_t_qscore,Genetic accuracy lambda control Q-score T,The overall genetic accuracy from the lambda-aligned reads  of T bases as a q-score calculated relative to a lambda truth set.
modality_summary_cg_MT_c,Mitochondrial genome rate of C at CpG,The rate of observing an unmethylated C for C calls at CpG sites in the mitochondrial genome
modality_summary_cg_autosomes_c,Autosomal chromosomes rate of C at CpG,The rate of observing an unmethylated C for C calls at autosomal CpG sites
modality_summary_cg_autosomes_modc,Autosomal chromosomes rate of modC at CpG,The rate of observing a modified C (mC or hmC) for C calls at autosomal CpG sites
modality_summary_cg_autosomes_mc,Autosomal chromosomes rate of mC at CpG,The rate of observing an mC for C calls at autosomal CpG sites
modality_summary_cg_autosomes_hmc,Autosomal chromosomes rate of hmC at CpG,The rate of observing a hmC for C calls at autosomal CpG sites
modality_summary_chg_MT_c,Mitochondrial genome rate of C at CHG,The rate of observing an unmethylated C for C calls at CHG sites in the mitochondrial genome
modality_summary_chg_autosomes_c,Autosomal chromosomes rate of C at CHG,The rate of observing an unmethylated C for C calls at autosomal CHG sites
modality_summary_chg_autosomes_modc,Autosomal chromosomes rate of modC at CHG,The rate of observing a modified C (mC or hmC) for C calls at autosomal CHG sites
modality_summary_chh_MT_c,Mitochondrial genome rate of C at CHH,The rate of observing an unmethylated C for C calls at CHH sites in the mitochondrial genome
modality_summary_chh_autosomes_c,Autosomal chromosomes rate of C at CHH,The rate of observing an unmethylated C for C calls at autosomal CHH sites
modality_summary_chh_autosomes_modc,Autosomal chromosomes rate of modC at CHH,The rate of observing a modified C (mC or hmC) for C calls at autosomal CHH sites
asm_pass_modc_count,modC sites passing filters,Number of ASM sites passing all filters (modC)
asm_low_meth_diff_modc_count,modC sites with low methylation difference,Number of ASM sites that had low difference in methylation status of the 2 alleles (modC)
asm_pass_mc_count,mC sites passing filters,Number of ASM sites passing all filters (mC)
asm_low_meth_diff_mc_count,mC sites with low methylation difference,Number of ASM sites that had low difference in methylation status of the 2 alleles (mC)
asm_pass_hmc_count,hmC sites passing filters,Number of ASM sites passing all filters (hmC)
asm_low_meth_diff_hmc_count,hmC sites with low methylation difference,Number of ASM sites that had low difference in methylation status of the 2 alleles (hmC)
asm_low_cpg_coverage_al1_al2_count,Sites with low CpG coverage at both alleles,Number of ASM sites that had low CpG coverage
asm_low_cpg_coverage_al1_count,Sites with low CpG coverage at allele 1,Number of ASM sites that had low CpG coverage at allele 1
asm_low_cpg_coverage_al2_count,Sites with low CpG coverage at allele 2,Number of ASM sites that had low CpG coverage at allele 2
asm_no_cpg_reads_count,Sites with no CpG coverage at both alleles,Number of ASM sites that had no CpG coverage at both allele
asm_no_cpg_coverage_al1_count,Sites with no CpG coverage at allele 1,Number of ASM sites that had no CpG coverage at allele 1
asm_no_cpg_coverage_al2_count,Sites with no CpG coverage at allele 2,Number of ASM sites that had no CpG coverage at allele 2
asm_no_reads_count,Sites with no reads,Number of ASM sites that had no reads
bamlet_inc_duplicates_reads_genome,Genome-mapped reads (including duplicates),The total number of genome-aligned reads including duplicates
bamlet_duplicate_reads_genome,Genome-mapped read duplicates,The number of resolved genome-aligned reads identified and removed as potential duplicates
bamlet_prop_duplicated_reads_genome,Genome-mapped duplication rate,The duplication rate in the genome-aligned reads
bamlet_mapped_reads_genome,Genome deduplicated reads,The total number of reads in the deduplicated genome primary assembly-aligned BAM file
bamlet_mapped_bases_cigar_genome,Genome deduplicated bases,The total number of bases in the deduplicated genome primary assembly-aligned BAM file
fraction_of_pipeline_input_bamlet_mapped_bases_cigar_genome,Percent of input bases aligned to genome primary assembly,"The percentage of deduplicated primary genome assembly aligned bases, not including soft-clipped bases"
bamlet_mean_mapped_length_genome,Genome mean mapped bases per read,"The average number of bases in trimmed, resolved, genome aligned and deduplicated reads, excluding soft-clipped bases"
bamlet_mean_phred_genome,Genome reads mean quality,"The average quality of trimmed, resolved, genome-aligned, deduplicated reads (excluding soft-clipped bases)"
qlmap_mean_cov_incl_ns,Mean coverage including Ns,The mean genome-wide coverage (including Ns)
qlmap_mean_cov_excl_ns,Mean coverage excluding Ns,The mean genome-wide coverage (excluding Ns)
qlmap_perc_cov_0000,Genome percentage no coverage,Percentage of the genome with no coverage (including Ns)
qlmap_perc_cov_0001,Genome percentage 1x,Percentage of the genome covered at 1X or above (including Ns)
qlmap_perc_cov_0002,Genome percentage 2x,Percentage of the genome covered at 2X or above (including Ns)
qlmap_perc_cov_0005,Genome percentage 5x,Percentage of the genome covered at 5X or above (including Ns)
qlmap_perc_cov_0010,Genome percentage 10x,Percentage of the genome covered at 10X or above (including Ns)
qlmap_perc_cov_0025,Genome percentage 25x,Percentage of the genome covered at 25X or above
qlmap_perc_cov_0030,Genome percentage 30x,Percentage of the genome covered at 30X or above (including Ns)
cpg_cov_to_gw_cov_incl_ns,CpG to genome-wide coverage ratio (including Ns),"Ratio of mean coverage at CpGs to mean coverage genome-wide (including Ns). Because CpGs are stranded, a 'perfect' value for the metric would be 0.5. Values > 0.5 indicate bias towards CpG; values < 0.5 indicate bias away from CpGs"
tss_coverage_bias_ratio,TSS to non-TSS coverage ratio,Ratio of mean coverage near transcription start sites (TSS regions) to mean coverage at regions not near transcription start sites. A 'perfect' value for the metric would be 1.0. Values > 1.0 indicate bias towards TSS regions; values < 1.0 indicate bias away from TSS regions
prelude_naive_resolve_attempted_resolve_reads,Reads after trimming and quality filtering,The total number of read-pairs (R1/R2 read-pairs) remaining after trimming and quality filtering
prelude_naive_resolve_attempted_resolve_bases,Bases after trimming and quality filtering,The total number of base-pairs (R1/R2 base-pairs) remaining after trimming and quality filtering
prelude_naive_resolve_resolved_reads,Reads that resolve naively,The total number of reads that can be resolved into genetic and epigenetic sequences without prior pairwise alignment
