gene_class	is_se	k27ac_class	n_pairs	mean_delta_abc	median_delta_abc	mean_log2fc_contact
DEG_down	FALSE	gained_k27ac	56	0.01891767857142857	0.015495	0.5807341164458791
DEG_down	FALSE	lost_k27ac	947	-0.01680014994720169	-0.013539	-0.1830402944306317
DEG_down	FALSE	no_diffbind_peak	1446	-0.0012618084370677725	-0.0012009999999999998	0.024298355948786484
DEG_down	FALSE	stable_k27ac	773	0.0018870168175937907	0.00208	0.035490115121795125
DEG_down	TRUE	gained_k27ac	4	0.010065	0.01069	0.15805326032536515
DEG_down	TRUE	lost_k27ac	373	-0.012500892761394102	-0.011259	-0.15420358416479274
DEG_down	TRUE	no_diffbind_peak	372	-0.0042211720430107525	-0.0017175	-0.20081750227529813
DEG_down	TRUE	stable_k27ac	478	0.001009140167364017	0.001552	-0.11216462079293325
DEG_up	FALSE	gained_k27ac	60	0.021434566666666665	0.012888	0.17609958696670006
DEG_up	FALSE	lost_k27ac	124	-0.013443620967741935	-0.01435	-0.13372800421496533
DEG_up	FALSE	no_diffbind_peak	595	0.0030207327731092432	0.002226	-0.01837587312044665
DEG_up	FALSE	stable_k27ac	334	-1.237035928143714e-4	6.64e-4	0.19255449716312376
DEG_up	TRUE	gained_k27ac	7	0.011715714285714286	0.007074	0.07166305693454225
DEG_up	TRUE	lost_k27ac	56	-0.011332678571428572	-0.011236	-0.35136239344453735
DEG_up	TRUE	no_diffbind_peak	156	-0.0034782435897435906	2.945e-4	-0.7168796904347191
DEG_up	TRUE	stable_k27ac	176	-0.0010078806818181818	5.070000000000001e-4	-0.03936835174275821
invariant	FALSE	gained_k27ac	232	0.013440870689655172	0.011761	0.2260137254523679
invariant	FALSE	lost_k27ac	1436	-0.015025451253481894	-0.013597	-0.2832113939426974
invariant	FALSE	no_diffbind_peak	3961	-8.537313809643987e-5	5.35e-4	-0.018128779209636244
invariant	FALSE	stable_k27ac	3582	9.886275823562257e-4	7.835e-4	0.021360614702025545
invariant	TRUE	gained_k27ac	29	0.01044551724137931	0.008922	0.5175304281339113
invariant	TRUE	lost_k27ac	590	-0.010522020338983052	-0.010120500000000001	-0.16369369453999805
invariant	TRUE	no_diffbind_peak	1300	-0.0013240061538461539	-8.665000000000001e-4	6.761191473526449e-5
invariant	TRUE	stable_k27ac	2197	-5.055575785161586e-4	-5.93e-4	-0.021144082882891997
