category	anchor	feature	count	percentage
up_anchor1	anchor1	3' UTR	3	12
up_anchor1	anchor1	Distal Intergenic	9	36
up_anchor1	anchor1	Exon	5	20
up_anchor1	anchor1	Intron	2	8
up_anchor1	anchor1	Promoter	6	24
up_anchor2	anchor2	3' UTR	5	20
up_anchor2	anchor2	Distal Intergenic	5	20
up_anchor2	anchor2	Exon	7	28
up_anchor2	anchor2	Intron	3	12
up_anchor2	anchor2	Promoter	5	20
down_anchor1	anchor1	3' UTR	2	8.33333333333333
down_anchor1	anchor1	Distal Intergenic	3	12.5
down_anchor1	anchor1	Exon	2	8.33333333333333
down_anchor1	anchor1	Intron	1	4.16666666666667
down_anchor1	anchor1	Promoter	16	66.6666666666667
down_anchor2	anchor2	Distal Intergenic	1	4.16666666666667
down_anchor2	anchor2	Exon	6	25
down_anchor2	anchor2	Intron	1	4.16666666666667
down_anchor2	anchor2	Promoter	16	66.6666666666667
