State (Emission order)	clust1.bed	clust2.bed	clust3.bed	clust4.bed	clust5.bed	clust6.bed
1_Quiescent	0.98207	0.98039	0.99026	0.98458	0.98686	0.99647
2_CTCF_Boundary	1.28680	1.22998	1.15127	1.00805	0.43303	0.97760
3_Poised_Enhancer	1.26041	1.21844	1.17135	1.04327	0.57870	1.07149
4_Active_Enhancer	1.34338	1.27466	1.26642	0.93403	0.33907	1.12100
5_Active_Promoter_Flank	1.27746	1.20763	1.22013	0.88109	0.50571	1.11166
6_Poised_Promoter	1.21309	1.13057	1.12545	0.84500	0.40012	1.00637
7_Weak_Promoter	1.22575	1.14874	1.10480	0.82602	0.38225	0.95044
8_Active_Promoter	1.30336	1.21356	1.23484	0.86498	0.40386	1.11150
9_Strong_Enhancer	1.33750	1.26138	1.26728	0.92772	0.35679	1.12450
10_Insulator	1.17661	1.16597	1.06537	1.06631	0.73105	0.95408
11_Polycomb	1.00505	1.22914	0.89363	1.69004	3.02869	0.94459
12_Bivalent_Enhancer	1.06514	1.23019	0.93357	1.54638	2.20761	0.95019
Base	68.5008883077	64.8425030473	64.2088623548	40.1998606211	8.2468684684	48.1535739573
