TargetGene	max_delta_abc	log2FC	padj	n_enhancers	top_enh_distance	concordance	n_gained	n_lost	sum_delta_abc	sum_abc_wt	sum_abc_ko	n_enh_positive_dabc	n_enh_negative_dabc	frac_agree_max	strongest_enh_class
1110019D14Rik	0.054066	-0.622608	7e-05	8	32752	Discordant	4	1	0.096081	0.451639	0.54772	6	2	0.75	Stable
1700019A02Rik	-0.034587	-0.960592	1.2e-05	11	38160	Concordant	4	4	-0.032178	0.583422	0.551244	5	6	0.545454545454545	Activity_Lost
1700063D05Rik	0.049568	-0.66388	0.02684	10	6470	Discordant	1	2	-0.003401	0.728114	0.724713	2	8	0.2	Stable
1700112J16Rik	-0.042118	-1.102814	0.003524	8	422755.5	Concordant	1	3	-0.057871	0.448788	0.390917	3	5	0.625	NA
2010320O07Rik	0.042525	-0.933423	0.002139	11	40638.5	Discordant	2	4	-0.035904	0.668254	0.63235	4	7	0.363636363636364	NA
2310030G06Rik	-0.043324	-1.557318	0.015038	12	6432	Concordant	2	2	0.001352	0.650702	0.652054	8	4	0.333333333333333	NA
3110082I17Rik	0.012747	-0.542726	0.000143	5	24027	Discordant	2	1	0.002918	0.213964	0.216882	2	3	0.4	NA
4930412C18Rik	0.018523	-0.792401	5e-06	10	106460	Discordant	2	2	0.036596	0.542341	0.578937	8	2	0.8	Stable
4930593A02Rik	-0.024287	-0.537639	0.040418	6	1670	Concordant	0	4	-0.061635	0.441016	0.379381	1	5	0.833333333333333	NA
4931414P19Rik	0.028649	-0.587415	0.039986	7	2608	Discordant	3	1	0.032847	0.477673	0.51052	4	3	0.571428571428571	Stable
6030445D17Rik	-0.040345	-2.724417	0.044617	5	4300	Concordant	3	2	-0.018475	0.405299	0.386824	3	2	0.4	Activity_Lost
9130401M01Rik	0.032557	-0.68917	0.005347	9	5532	Discordant	1	2	-0.011794	0.615533	0.603739	4	5	0.444444444444444	K119ub_Only
A330008L17Rik	0.029297	-1.557283	0	5	1103	Discordant	1	2	-0.016913	0.383952	0.367039	2	3	0.4	Activity_Lost
A330023F24Rik	0.064398	0.575062	0	5	41860	Concordant	3	0	0.134487	0.388085	0.522572	5	0	1	NA
A530083I20Rik	0.029104	-0.973166	7e-06	7	37564	Discordant	4	0	0.098798	0.275725	0.374523	7	0	1	NA
A830018L16Rik	-0.028374	0.605435	0.005654	3	1181214	Discordant	0	2	-0.036153	0.077527	0.041374	1	2	0.666666666666667	NA
Abca1	0.035621	-0.53513	0	11	280590	Discordant	2	4	-0.045658	0.645932	0.600274	3	8	0.272727272727273	NA
Acaa2	-0.020928	-0.6797	0.02753	4	847035	Concordant	0	1	-0.015735	0.126918	0.111183	2	2	0.5	Stable
Ache	0.019264	-0.557326	0.006699	5	7102	Discordant	1	1	0.008714	0.33237	0.341084	3	2	0.6	NA
Acp6	-0.03939	-0.571447	0.000137	5	175971	Concordant	0	1	-0.063399	0.206604	0.143205	0	5	1	Activity_Lost
Actn2	0.026475	0.636792	0.021876	12	1722599.5	Concordant	1	4	-0.037156	0.470822	0.433666	4	8	0.333333333333333	NA
Actrt3	0.046682	-1.355658	0.023635	6	2268	Discordant	1	1	0.017175	0.538833	0.556008	2	4	0.333333333333333	NA
Acvr1c	-0.025328	-1.573685	0	11	222647	Concordant	4	4	-0.007659	0.295594	0.287935	6	5	0.454545454545455	Activity_Lost
Acyp2	0.039806	-0.624625	0.000118	8	382190.5	Discordant	4	0	0.083739	0.219073	0.302812	5	3	0.625	NA
Adam12	0.080354	0.727643	0	8	6777	Concordant	3	1	0.174706	0.310163	0.484869	3	5	0.375	Activity_Gain
Add3	-0.011268	-0.500613	1.5e-05	8	25369	Concordant	0	1	0.006746	0.627668	0.634414	5	3	0.375	Activity_Lost
Adgra3	0.090359	0.620559	4e-06	11	9836	Concordant	4	6	-0.031759	0.400895	0.369136	4	7	0.363636363636364	Activity_Gain
Adgrb1	-0.022009	0.64473	0	10	43305	Discordant	3	4	-0.028941	0.46383	0.434889	3	7	0.7	Stable
Adgrv1	0.043826	-0.858532	0.000408	11	150107	Discordant	3	5	0.039648	0.566433	0.606081	5	6	0.454545454545455	NA
Afap1	-0.019427	0.510634	0	4	14893	Discordant	1	1	-0.020266	0.20064	0.180374	1	3	0.75	Stable
Aff1	0.047613	-0.550364	0	10	481276	Discordant	4	4	-0.026872	0.397952	0.37108	4	6	0.4	NA
Agbl2	0.016785	1.054221	0	8	37330.5	Concordant	3	1	0.055198	0.45006	0.505258	7	1	0.875	NA
Alad	-0.07486	-1.428473	0	10	3660	Concordant	4	3	-0.067922	0.681981	0.614059	6	4	0.4	Activity_Lost
Alg14	-0.036029	-0.717713	0	5	905	Concordant	1	3	-0.050046	0.314116	0.26407	1	4	0.8	Activity_Lost
Angpt1	-0.058731	-1.978162	0	7	351542	Concordant	1	4	-0.109056	0.410483	0.301427	1	6	0.857142857142857	Activity_Lost
Ankrd35	-0.01007	-0.636265	0.010604	10	57532.5	Concordant	0	1	0.011667	0.397165	0.408832	6	4	0.4	NA
Ano1	-0.084634	0.735945	0.015956	6	227336	Discordant	0	6	-0.292799	0.292799	0	0	6	1	Stable
Ano10	-0.040136	-0.512747	6e-06	6	267213	Concordant	0	2	-0.0502	0.182095	0.131895	3	3	0.5	Stable
Ano3	-0.038497	-1.78751	0	5	794	Concordant	1	3	-0.067011	0.747541	0.68053	1	4	0.8	Activity_Lost
