cluster_id	n_overlaps	kept_index	kept_resolution	kept_fdr	merged_indices	merged_resolutions
1	3	2	5kb	4.28464397930854e-05	1,2,49	5kb,5kb,10kb
4	2	39	10kb	0.022620335524039	5,39	5kb,10kb
5	2	6	5kb	0.0246137874788143	6,29	5kb,10kb
6	2	65	25kb	0.0048740438696912	7,65	10kb,25kb
8	2	159	25kb	0.0015617840610222	9,159	10kb,25kb
10	2	140	25kb	0.0063626537700636	11,140	10kb,25kb
12	3	130	25kb	0.0105621375536239	13,28,130	10kb,10kb,25kb
24	2	121	25kb	0.0037529240316719	25,121	10kb,25kb
30	2	169	25kb	0.0139417069502811	33,169	10kb,25kb
31	2	142	25kb	0.0072549435388523	34,142	10kb,25kb
32	2	161	25kb	0.0130435399402478	35,161	10kb,25kb
38	2	156	25kb	0.0014165462047666	42,156	10kb,25kb
