direction	loop_type	count	direction_label	total	percentage
down_in_mutant	Other-Other	11	Down	24	45.8333333333333
down_in_mutant	Poised_Enhancer-Other	5	Down	24	20.8333333333333
down_in_mutant	Poised_Enhancer-Poised_Enhancer	5	Down	24	20.8333333333333
down_in_mutant	Promoter-Other	2	Down	24	8.33333333333333
down_in_mutant	Promoter-Promoter	1	Down	24	4.16666666666667
up_in_mutant	Active_Enhancer-Active_Enhancer	1	Up	25	4
up_in_mutant	Active_Enhancer-Poised_Enhancer	2	Up	25	8
up_in_mutant	Other-Other	11	Up	25	44
up_in_mutant	Poised_Enhancer-Other	9	Up	25	36
up_in_mutant	Poised_Enhancer-Poised_Enhancer	1	Up	25	4
up_in_mutant	Promoter-Active_Enhancer	1	Up	25	4
