GROUP	transition	N	pct	timepoint
clust4	B_to_A	463	6.1	250831
clust2	B_to_A	640	3	250831
clust4	Stable	5954	78.2	250831
clust1	Stable	20894	87.3	250831
clust3	Stable	14459	84.5	250831
clust2	Stable	18179	86.3	250831
clust6	Stable	3750	80.5	250831
clust2	A_to_B	219	1	250831
clust5	Stable	884	68.4	250831
clust1	B_to_A	626	2.6	250831
clust3	B_to_A	589	3.4	250831
clust6	B_to_A	236	5.1	250831
clust3	Within_B	439	2.6	250831
clust5	Within_B	70	5.4	250831
clust3	Within_A	1278	7.5	250831
clust1	Within_A	1704	7.1	250831
clust2	Within_A	1653	7.8	250831
clust4	Within_A	843	11.1	250831
clust4	A_to_B	98	1.3	250831
clust5	Within_A	176	13.6	250831
clust2	Within_B	383	1.8	250831
clust6	Within_B	178	3.8	250831
clust1	A_to_B	336	1.4	250831
clust4	Within_B	251	3.3	250831
clust1	Within_B	382	1.6	250831
clust3	A_to_B	339	2	250831
clust5	B_to_A	154	11.9	250831
clust6	A_to_B	110	2.4	250831
clust6	Within_A	385	8.3	250831
clust5	A_to_B	9	0.7	250831
