GROUP	ctrl_label	N	group_total	label_total	expected	obs_exp	log2_obs_exp	timepoint	condition	mut_label
clust4	B.2	1716	7598	8349	840.798202711838	2.04091777844596	1.02921806232279	250402	ctrl	NA
clust4	A.2	1712	7598	14001	1409.99109308521	1.21419206716686	0.279996652591857	250402	ctrl	NA
clust2	A.2	3819	20974	14001	3892.22863732156	0.981185936350349	-0.0274015394498747	250402	ctrl	NA
clust1	B.2	1767	23833	8349	2637.37082985407	0.669985418811116	-0.577798396985313	250402	ctrl	NA
clust3	A.1	10700	17088	44905	10170.5387888186	1.05205832475301	0.0732146879947005	250402	ctrl	NA
clust3	B.2	1597	17088	8349	1890.96600262436	0.844541889057561	-0.243759112788053	250402	ctrl	NA
clust1	A.1	16108	23833	44905	14185.0685249248	1.1355602527895	0.183404257426939	250402	ctrl	NA
clust6	A.2	1069	4658	14001	864.403594576325	1.23669083135171	0.306484876365357	250402	ctrl	NA
clust3	A.2	3222	17088	14001	3171.08815459859	1.01605500790874	0.0229785098747468	250402	ctrl	NA
clust1	A.2	3961	23833	14001	4422.78464352459	0.8955896158768	-0.159090294264846	250402	ctrl	NA
clust6	A.1	2287	4658	44905	2772.37650271051	0.824924030976324	-0.277666830292811	250402	ctrl	NA
clust1	B.1	1997	23833	8192	2587.77600169656	0.771705123894325	-0.373878410040193	250402	ctrl	NA
clust2	A.1	13003	20974	44905	12483.4316805175	1.04162063227321	0.058829930597214	250402	ctrl	NA
clust2	B.2	2023	20974	8349	2320.99256431667	0.87160985825717	-0.19824558088157	250402	ctrl	NA
clust5	B.2	550	1296	8349	143.415960873196	3.83499853608549	1.93922602701567	250402	ctrl	NA
clust4	A.1	2636	7598	44905	4522.2234151126	0.582899109139739	-0.778681898150588	250402	ctrl	NA
clust2	B.1	2129	20974	8192	2277.34711784431	0.934859680949852	-0.0971782569347952	250402	ctrl	NA
clust6	B.2	696	4658	8349	515.456439619866	1.35025958840146	0.43323679312613	250402	ctrl	NA
clust3	B.1	1569	17088	8192	1855.40705395841	0.84563653924492	-0.241890379178425	250402	ctrl	NA
