stripe_id	direction	body_bins	frac_A1	frac_A2	frac_B1	frac_B2	timepoint
stripe_0001	gained	14	0	0	0.3571	0.6429	250831
stripe_0002	gained	12	0.1667	0.4167	0.4167	0	250831
stripe_0003	lost	4	0	0.25	0.5	0.25	250831
stripe_0004	gained	10	0.2	0.5	0	0.3	250831
stripe_0003	gained	6	0	0.8333	0	0.1667	250831
stripe_0005	unchanged	5	0	1	0	0	250831
stripe_0006	unchanged	8	0	0.375	0.375	0.25	250831
stripe_0007	unchanged	7	0	0	0.2857	0.7143	250831
stripe_0005	gained	8	0	0	0.25	0.75	250831
stripe_0008	lost	14	0	0	0.1429	0.8571	250831
stripe_0009	unchanged	16	0.25	0	0.75	0	250831
stripe_0007	gained	10	0.2	0	0.7	0.1	250831
stripe_0010	gained	4	0	0.5	0	0.5	250831
stripe_0011	gained	4	0	0.5	0	0.5	250831
stripe_0012	unchanged	11	0	0.3636	0.3636	0.2727	250831
stripe_0013	lost	15	0.5333	0.3333	0.0667	0.0667	250831
stripe_0014	unchanged	9	0	0.1111	0.8889	0	250831
stripe_0015	lost	4	0.5	0	0.5	0	250831
stripe_0017	unchanged	8	0.5	0	0.5	0	250831
stripe_0016	unchanged	21	0.619	0.2381	0.1429	0	250831
stripe_0018	unchanged	8	0	0.5	0.25	0.25	250831
stripe_0020	lost	5	0	0.8	0	0.2	250831
stripe_0021	unchanged	15	0	0.2667	0.7333	0	250831
stripe_0019	gained	4	0	0.75	0.25	0	250831
stripe_0023	gained	5	1	0	0	0	250831
stripe_0022	unchanged	8	0.75	0.25	0	0	250831
stripe_0024	unchanged	7	0.8571	0.1429	0	0	250831
stripe_0025	lost	6	0.1667	0.8333	0	0	250831
stripe_0026	lost	3	0	1	0	0	250831
stripe_0027	gained	3	1	0	0	0	250831
stripe_0028	unchanged	5	1	0	0	0	250831
stripe_0029	unchanged	5	0.6	0.4	0	0	250831
stripe_0017	lost	11	0.7273	0.2727	0	0	250831
stripe_0030	unchanged	5	1	0	0	0	250831
stripe_0031	unchanged	3	0	0.6667	0	0.3333	250831
stripe_0032	gained	5	0	0.4	0.4	0.2	250831
stripe_0033	unchanged	6	0.8333	0	0.1667	0	250831
stripe_0034	unchanged	3	1	0	0	0	250831
stripe_0019	unchanged	6	1	0	0	0	250831
stripe_0035	gained	16	0.5	0.25	0.25	0	250831
stripe_0036	unchanged	12	0.25	0.3333	0.4167	0	250831
stripe_0037	unchanged	7	0.8571	0.1429	0	0	250831
stripe_0039	unchanged	4	1	0	0	0	250831
stripe_0038	lost	5	1	0	0	0	250831
stripe_0040	lost	4	1	0	0	0	250831
stripe_0042	unchanged	36	0.2222	0.0556	0.1667	0.5556	250831
stripe_0041	unchanged	7	1	0	0	0	250831
stripe_0044	unchanged	8	0.5	0.5	0	0	250831
stripe_0043	unchanged	7	0.4286	0.5714	0	0	250831
stripe_0048	unchanged	16	0.8125	0	0.1875	0	250831
stripe_0045	unchanged	5	1	0	0	0	250831
stripe_0046	lost	4	1	0	0	0	250831
stripe_0047	gained	4	1	0	0	0	250831
stripe_0049	lost	4	0	0	0.25	0.75	250831
stripe_0026	unchanged	11	0.3636	0.6364	0	0	250831
stripe_0050	unchanged	6	0.3333	0.6667	0	0	250831
stripe_0051	lost	6	0.3333	0.6667	0	0	250831
stripe_0052	unchanged	3	0.6667	0.3333	0	0	250831
stripe_0053	unchanged	5	1	0	0	0	250831
stripe_0054	lost	5	1	0	0	0	250831
stripe_0055	unchanged	4	1	0	0	0	250831
stripe_0057	unchanged	17	0.4706	0.0588	0	0.4706	250831
stripe_0056	lost	4	1	0	0	0	250831
stripe_0058	unchanged	6	0.6667	0	0.3333	0	250831
stripe_0059	unchanged	3	1	0	0	0	250831
stripe_0060	unchanged	5	0.6	0.4	0	0	250831
stripe_0061	unchanged	5	0.2	0.8	0	0	250831
stripe_0062	gained	6	0	0.6667	0.3333	0	250831
stripe_0063	gained	4	0.75	0.25	0	0	250831
stripe_0064	gained	4	0.75	0	0.25	0	250831
stripe_0065	unchanged	28	0.0714	0.3929	0.1429	0.3929	250831
stripe_0066	unchanged	11	0.3636	0.3636	0.2727	0	250831
stripe_0067	unchanged	6	0.3333	0.1667	0.5	0	250831
stripe_0068	unchanged	4	0.5	0.5	0	0	250831
stripe_0069	lost	36	0.0556	0.1667	0.4167	0.3611	250831
stripe_0070	lost	4	1	0	0	0	250831
stripe_0071	unchanged	4	1	0	0	0	250831
stripe_0072	unchanged	16	0.75	0.0625	0.1875	0	250831
stripe_0073	unchanged	11	0.0909	0.4545	0.4545	0	250831
stripe_0074	unchanged	13	0.7692	0.2308	0	0	250831
stripe_0075	gained	16	0.8125	0.1875	0	0	250831
stripe_0077	unchanged	9	0.6667	0.3333	0	0	250831
stripe_0076	lost	8	0.625	0.375	0	0	250831
stripe_0078	unchanged	16	0.6875	0.1875	0	0.125	250831
stripe_0079	unchanged	3	1	0	0	0	250831
stripe_0039	gained	20	0.2	0.3	0	0.5	250831
stripe_0080	unchanged	16	0.3125	0.375	0	0.3125	250831
stripe_0081	unchanged	5	1	0	0	0	250831
stripe_0083	unchanged	7	1	0	0	0	250831
stripe_0082	unchanged	3	1	0	0	0	250831
stripe_0087	unchanged	12	0.75	0.25	0	0	250831
stripe_0084	unchanged	10	0.7	0.3	0	0	250831
stripe_0044	gained	10	0.7	0.3	0	0	250831
stripe_0085	lost	4	0.75	0.25	0	0	250831
stripe_0086	gained	8	0.625	0.375	0	0	250831
stripe_0088	unchanged	4	1	0	0	0	250831
stripe_0047	unchanged	7	1	0	0	0	250831
stripe_0089	lost	4	1	0	0	0	250831
stripe_0090	unchanged	13	0.7692	0.2308	0	0	250831
stripe_0091	lost	5	1	0	0	0	250831
stripe_0093	gained	5	1	0	0	0	250831
stripe_0092	gained	4	1	0	0	0	250831
stripe_0094	unchanged	3	1	0	0	0	250831
stripe_0095	unchanged	16	0.6875	0.3125	0	0	250831
stripe_0096	unchanged	12	0.6667	0.3333	0	0	250831
stripe_0097	unchanged	11	0.5455	0.4545	0	0	250831
stripe_0098	lost	6	0.5	0	0.5	0	250831
stripe_0052	lost	6	0.5	0	0.5	0	250831
stripe_0099	gained	3	1	0	0	0	250831
stripe_0100	lost	10	0	0.1	0.3	0.6	250831
stripe_0101	unchanged	9	0.2222	0.3333	0.4444	0	250831
stripe_0102	unchanged	4	0.5	0.25	0.25	0	250831
stripe_0103	unchanged	4	0.5	0.5	0	0	250831
stripe_0105	unchanged	9	0.2222	0.6667	0	0.1111	250831
stripe_0104	unchanged	21	0.4762	0.2857	0.2381	0	250831
stripe_0106	gained	12	0	0.1667	0.0833	0.75	250831
stripe_0107	lost	11	0	0.1818	0	0.8182	250831
stripe_0109	unchanged	7	0.8571	0	0.1429	0	250831
stripe_0108	unchanged	4	1	0	0	0	250831
stripe_0110	unchanged	11	0.4545	0	0.5455	0	250831
stripe_0111	unchanged	5	0.8	0	0.2	0	250831
stripe_0112	gained	3	0	0	0	1	250831
stripe_0113	gained	4	1	0	0	0	250831
stripe_0114	gained	4	1	0	0	0	250831
stripe_0115	gained	13	0.5385	0.3077	0.1538	0	250831
stripe_0116	unchanged	5	1	0	0	0	250831
stripe_0117	lost	6	1	0	0	0	250831
stripe_0118	unchanged	5	0	0.8	0.2	0	250831
stripe_0119	unchanged	5	0.2	0.8	0	0	250831
stripe_0120	unchanged	13	0.6154	0.3077	0.0769	0	250831
stripe_0121	unchanged	5	1	0	0	0	250831
stripe_0122	unchanged	4	1	0	0	0	250831
stripe_0123	unchanged	7	1	0	0	0	250831
stripe_0060	gained	9	0.7778	0.2222	0	0	250831
stripe_0124	unchanged	13	0.5385	0.2308	0.2308	0	250831
stripe_0125	unchanged	6	0.5	0.5	0	0	250831
stripe_0126	gained	8	0.125	0.875	0	0	250831
stripe_0127	unchanged	5	0.2	0.8	0	0	250831
