direction	ctrl_label	N	group_total	label_total	expected	obs_exp	log2_obs_exp	timepoint
unchanged	B.2	384	4197	889	446.788767812238	0.859466548096785	-0.218486606241691	250402
gained	B.2	387	2420	889	257.619446772842	1.5022157870762	0.587092064905516	250402
gained	A.2	452	2420	1727	500.459825170638	0.903169399953103	-0.146931487522861	250402
unchanged	A.2	929	4197	1727	867.946233983954	1.07034279731338	0.0980729207206513	250402
unchanged	A.1	2303	4197	4572	2297.77080589151	1.00227576836431	0.00327950944529006	250402
unchanged	B.1	581	4197	1163	584.494192312298	0.994021852811788	-0.0086505262017669	250402
lost	A.1	1077	1734	4572	949.329182133876	1.13448529790178	0.182037912860726	250402
lost	A.2	346	1734	1727	358.593940845408	0.964879660778102	-0.0515790733612026	250402
gained	A.1	1192	2420	4572	1324.90001197461	0.89969053455095	-0.152499250161441	250402
gained	B.1	389	2420	1163	337.020716081906	1.15423171762967	0.206932881103849	250402
lost	B.2	118	1734	889	184.59178541492	0.639248381149588	-0.645551492936932	250402
lost	B.1	193	1734	1163	241.485091605796	0.799221180556589	-0.323333277674141	250402
