mark	cluster	direction	n_anchors	exterior_mean	interior_mean	ext_int_ratio	asymmetry_index	wilcoxon_pval
H3K27ac_ctrl	clust1	unchanged	20373	5.24551	5.11594	1.0253	0.01251	0.1618662097119008
H3K27ac_ctrl	clust2	~unchanged	18423	4.13364	4.12471	1.0022	0.00108	0.09095480278585598
H3K27ac_ctrl	clust3	mod loss	14137	5.92284	5.8737	1.0084	0.00417	0.546864752311516
H3K27ac_ctrl	clust4	mod gain	6749	2.20826	2.24327	0.9844	-0.00787	0.8918934568183938
H3K27ac_ctrl	clust5	strong gain	1171	1.24073	1.29545	0.9578	-0.02158	0.754285010948992
H3K27ac_ctrl	clust6	strong loss	3860	7.58891	7.4114	1.024	0.01183	0.48422589788212567
H3K27ac_mut	clust1	unchanged	20373	4.97462	4.84341	1.0271	0.01336	0.026731350859437623
H3K27ac_mut	clust2	~unchanged	18423	4.35005	4.32365	1.0061	0.00304	0.029371711869216627
H3K27ac_mut	clust3	mod loss	14137	4.74875	4.69213	1.0121	0.006	0.03619098832769775
H3K27ac_mut	clust4	mod gain	6749	2.31717	2.37696	0.9748	-0.01274	0.9443522314612278
H3K27ac_mut	clust5	strong gain	1171	1.39053	1.37632	1.0103	0.00513	0.5382929443099966
H3K27ac_mut	clust6	strong loss	3860	4.77408	4.69355	1.0172	0.00851	0.24714302068771254
H3K27me3_ctrl	clust1	unchanged	20373	0.98174	0.96724	1.015	0.00744	0.5408665853111312
H3K27me3_ctrl	clust2	~unchanged	18423	1.42701	1.49845	0.9523	-0.02442	5.94628487390297e-06
H3K27me3_ctrl	clust3	mod loss	14137	0.92514	0.9558	0.9679	-0.0163	0.4331730396777014
H3K27me3_ctrl	clust4	mod gain	6749	2.78809	3.00294	0.9285	-0.0371	5.069646861444159e-05
H3K27me3_ctrl	clust5	strong gain	1171	4.46516	4.88447	0.9142	-0.04485	0.0043597170030839644
H3K27me3_ctrl	clust6	strong loss	3860	1.69655	1.66295	1.0202	0.01	0.5217844341900473
H3K27me3_mut	clust1	unchanged	20373	1.17591	1.17312	1.0024	0.00119	0.5753956844394282
H3K27me3_mut	clust2	~unchanged	18423	1.42391	1.48922	0.9561	-0.02242	0.016403812967251886
H3K27me3_mut	clust3	mod loss	14137	1.36104	1.38533	0.9825	-0.00885	0.5539205453328817
H3K27me3_mut	clust4	mod gain	6749	2.55091	2.76599	0.9222	-0.04045	8.564314676418892e-06
H3K27me3_mut	clust5	strong gain	1171	3.88219	4.27049	0.9091	-0.04763	0.004414782472300825
H3K27me3_mut	clust6	strong loss	3860	2.49525	2.43969	1.0228	0.01126	0.571214620308089
H2AK119ub_ctrl	clust1	unchanged	20373	1.41689	1.39811	1.0134	0.00667	0.11728126249449823
H2AK119ub_ctrl	clust2	~unchanged	18423	1.53974	1.5653	0.9837	-0.00823	0.1565403553607225
H2AK119ub_ctrl	clust3	mod loss	14137	1.4075	1.40921	0.9988	-0.00061	0.2854211247258672
H2AK119ub_ctrl	clust4	mod gain	6749	1.69857	1.78239	0.953	-0.02408	0.0188229637999958
H2AK119ub_ctrl	clust5	strong gain	1171	1.81691	1.90477	0.9539	-0.02361	0.5547578348412348
H2AK119ub_ctrl	clust6	strong loss	3860	1.65218	1.66049	0.995	-0.00251	0.9138430353662892
H2AK119ub_mut	clust1	unchanged	20373	1.41263	1.39127	1.0154	0.00762	0.060424464610450104
H2AK119ub_mut	clust2	~unchanged	18423	1.33631	1.34809	0.9913	-0.00439	0.9318960043805178
H2AK119ub_mut	clust3	mod loss	14137	1.70435	1.68953	1.0088	0.00437	0.2246909472264409
H2AK119ub_mut	clust4	mod gain	6749	1.47428	1.54346	0.9552	-0.02292	0.011270053113054183
H2AK119ub_mut	clust5	strong gain	1171	1.68726	1.74657	0.966	-0.01727	0.6146781831057265
H2AK119ub_mut	clust6	strong loss	3860	2.20801	2.19722	1.0049	0.00245	0.34111800503372325
H3K27me1_ctrl	clust1	unchanged	20373	2.22573	2.18832	1.0171	0.00847	0.1951354521238743
H3K27me1_ctrl	clust2	~unchanged	18423	1.9716	1.94162	1.0154	0.00766	0.002996102301322297
H3K27me1_ctrl	clust3	mod loss	14137	2.02785	2.02065	1.0036	0.00178	0.6150227449058429
H3K27me1_ctrl	clust4	mod gain	6749	1.18034	1.09678	1.0762	0.0367	0.0012606180015251195
H3K27me1_ctrl	clust5	strong gain	1171	0.70829	0.66463	1.0657	0.0318	0.040366029531772825
H3K27me1_ctrl	clust6	strong loss	3860	1.64829	1.67358	0.9849	-0.00761	0.842191269191987
H3K27me1_mut	clust1	unchanged	20373	1.99885	1.91681	1.0428	0.02095	0.003049415841507463
H3K27me1_mut	clust2	~unchanged	18423	1.8562	1.81545	1.0224	0.0111	0.005292551874391898
H3K27me1_mut	clust3	mod loss	14137	1.72326	1.71027	1.0076	0.00378	0.29809387375208585
H3K27me1_mut	clust4	mod gain	6749	1.37184	1.28889	1.0644	0.03117	0.0003785611225244296
H3K27me1_mut	clust5	strong gain	1171	1.06145	1.03419	1.0264	0.01301	0.08684267819213436
H3K27me1_mut	clust6	strong loss	3860	1.34652	1.36846	0.984	-0.00808	0.3474574763782582
