loop_type	count	percentage
Other-Other	42	25.4545454545455
Repressed_Promoter-Repressed_Promoter	42	25.4545454545455
Repressed_Promoter-Polycomb	17	10.3030303030303
Polycomb-Other	9	5.45454545454545
Active_Enhancer-Other	8	4.84848484848485
Poised_Enhancer-Other	8	4.84848484848485
Polycomb-Polycomb	6	3.63636363636364
Repressed_Promoter-Bivalent_Promoter	5	3.03030303030303
Repressed_Promoter-Other	5	3.03030303030303
Polycomb-Poised_Enhancer	4	2.42424242424242
Active_Promoter-Other	3	1.81818181818182
Bivalent_Promoter-Other	3	1.81818181818182
Active_Enhancer-Active_Enhancer	2	1.21212121212121
Active_Promoter-Active_Enhancer	2	1.21212121212121
Active_Promoter-Poised_Enhancer	2	1.21212121212121
Poised_Enhancer-Poised_Enhancer	2	1.21212121212121
Active_Enhancer-Poised_Enhancer	1	0.606060606060606
Active_Promoter-Active_Promoter	1	0.606060606060606
Active_Promoter-Polycomb	1	0.606060606060606
Active_Promoter-Repressed_Promoter	1	0.606060606060606
Repressed_Promoter-Poised_Enhancer	1	0.606060606060606
