#Coverage	Number of genomic locations
0.0	1.639019465E9
1.0	6.55293127E8
2.0	2.94289026E8
3.0	9.5895058E7
4.0	2.9624621E7
5.0	8152789.0
6.0	2212091.0
7.0	598259.0
8.0	182088.0
9.0	64964.0
10.0	31266.0
11.0	18955.0
12.0	13452.0
13.0	10153.0
14.0	8432.0
15.0	7199.0
16.0	6282.0
17.0	5223.0
18.0	4541.0
19.0	4353.0
20.0	4138.0
21.0	3902.0
22.0	3528.0
23.0	3746.0
24.0	3593.0
25.0	3355.0
26.0	3491.0
27.0	3340.0
28.0	2808.0
29.0	2767.0
30.0	2730.0
31.0	2454.0
32.0	2392.0
33.0	2248.0
34.0	2069.0
35.0	1996.0
36.0	1738.0
37.0	1586.0
38.0	1350.0
39.0	1285.0
40.0	1076.0
41.0	1158.0
42.0	947.0
43.0	1041.0
44.0	923.0
45.0	1055.0
46.0	1024.0
47.0	1066.0
48.0	993.0
49.0	844.0
50.0	805.0
51.0	807.0
52.0	759.0
53.0	774.0
54.0	738.0
55.0	676.0
56.0	685.0
57.0	628.0
58.0	612.0
59.0	506.0
60.0	532.0
61.0	468.0
62.0	429.0
63.0	387.0
64.0	328.0
65.0	319.0
66.0	296.0
67.0	319.0
68.0	266.0
69.0	274.0
70.0	203.0
71.0	222.0
72.0	214.0
73.0	189.0
74.0	183.0
75.0	156.0
76.0	163.0
77.0	143.0
78.0	170.0
79.0	125.0
80.0	120.0
81.0	155.0
82.0	145.0
83.0	114.0
84.0	110.0
85.0	118.0
86.0	98.0
87.0	93.0
88.0	87.0
89.0	87.0
90.0	97.0
91.0	87.0
92.0	125.0
93.0	145.0
94.0	86.0
95.0	88.0
96.0	97.0
97.0	92.0
98.0	82.0
99.0	86.0
100.0	69.0
101.0	60.0
102.0	62.0
103.0	66.0
104.0	62.0
105.0	50.0
106.0	35.0
107.0	49.0
108.0	48.0
109.0	43.0
110.0	63.0
111.0	59.0
112.0	56.0
113.0	72.0
114.0	57.0
115.0	72.0
116.0	63.0
117.0	52.0
118.0	47.0
119.0	45.0
120.0	36.0
121.0	57.0
122.0	48.0
123.0	36.0
124.0	49.0
125.0	39.0
126.0	62.0
127.0	65.0
128.0	53.0
129.0	54.0
130.0	54.0
131.0	44.0
132.0	46.0
133.0	38.0
134.0	44.0
135.0	30.0
136.0	47.0
137.0	35.0
138.0	40.0
139.0	47.0
140.0	56.0
141.0	39.0
142.0	40.0
143.0	39.0
144.0	49.0
145.0	48.0
146.0	35.0
147.0	28.0
148.0	22.0
149.0	24.0
150.0	54.0
151.0	27.0
152.0	44.0
153.0	37.0
154.0	54.0
155.0	44.0
156.0	32.0
157.0	32.0
158.0	41.0
159.0	32.0
160.0	47.0
161.0	40.0
162.0	43.0
163.0	36.0
164.0	44.0
165.0	40.0
166.0	30.0
167.0	37.0
168.0	38.0
169.0	40.0
170.0	40.0
171.0	34.0
172.0	25.0
173.0	39.0
174.0	37.0
175.0	51.0
176.0	48.0
177.0	66.0
178.0	62.0
179.0	53.0
180.0	51.0
181.0	35.0
182.0	67.0
183.0	54.0
184.0	54.0
185.0	44.0
186.0	43.0
187.0	42.0
188.0	31.0
189.0	41.0
190.0	48.0
191.0	57.0
192.0	45.0
193.0	26.0
194.0	52.0
195.0	34.0
196.0	36.0
197.0	25.0
198.0	34.0
199.0	20.0
200.0	49.0
201.0	32.0
202.0	26.0
203.0	23.0
204.0	32.0
205.0	46.0
206.0	20.0
207.0	28.0
208.0	18.0
209.0	18.0
210.0	21.0
211.0	17.0
212.0	20.0
213.0	17.0
214.0	32.0
215.0	28.0
216.0	35.0
217.0	21.0
218.0	25.0
219.0	19.0
220.0	10.0
221.0	22.0
222.0	21.0
223.0	20.0
224.0	24.0
225.0	28.0
226.0	19.0
227.0	19.0
228.0	25.0
229.0	25.0
230.0	29.0
231.0	21.0
232.0	27.0
233.0	21.0
234.0	23.0
235.0	29.0
236.0	24.0
237.0	22.0
238.0	15.0
239.0	26.0
240.0	15.0
241.0	18.0
242.0	29.0
243.0	21.0
244.0	27.0
245.0	30.0
246.0	18.0
247.0	20.0
248.0	20.0
249.0	21.0
250.0	20.0
251.0	21.0
252.0	25.0
253.0	20.0
254.0	34.0
255.0	17.0
256.0	18.0
257.0	17.0
258.0	11.0
259.0	17.0
260.0	16.0
261.0	10.0
262.0	17.0
263.0	9.0
264.0	11.0
265.0	7.0
266.0	13.0
267.0	17.0
268.0	12.0
269.0	15.0
270.0	10.0
271.0	9.0
272.0	15.0
273.0	12.0
274.0	17.0
275.0	17.0
276.0	14.0
277.0	11.0
278.0	23.0
279.0	13.0
280.0	11.0
281.0	7.0
282.0	12.0
283.0	14.0
284.0	7.0
285.0	10.0
286.0	11.0
287.0	13.0
288.0	14.0
289.0	11.0
290.0	12.0
291.0	8.0
292.0	6.0
293.0	13.0
294.0	14.0
295.0	11.0
296.0	17.0
297.0	18.0
298.0	11.0
299.0	9.0
300.0	14.0
301.0	9.0
302.0	16.0
303.0	9.0
304.0	12.0
305.0	11.0
306.0	13.0
307.0	18.0
308.0	9.0
309.0	13.0
310.0	11.0
311.0	16.0
312.0	21.0
313.0	17.0
314.0	17.0
315.0	10.0
316.0	12.0
317.0	16.0
318.0	13.0
319.0	13.0
320.0	12.0
321.0	12.0
322.0	13.0
323.0	13.0
324.0	9.0
325.0	20.0
326.0	14.0
327.0	14.0
328.0	18.0
329.0	10.0
330.0	11.0
331.0	13.0
332.0	12.0
333.0	17.0
334.0	11.0
335.0	15.0
336.0	15.0
337.0	8.0
338.0	10.0
339.0	13.0
340.0	16.0
341.0	15.0
342.0	19.0
343.0	10.0
344.0	17.0
345.0	15.0
346.0	16.0
347.0	8.0
348.0	20.0
349.0	8.0
350.0	23.0
351.0	14.0
352.0	23.0
353.0	11.0
354.0	6.0
355.0	7.0
356.0	17.0
357.0	14.0
358.0	13.0
359.0	17.0
360.0	9.0
361.0	14.0
362.0	12.0
363.0	14.0
364.0	19.0
365.0	10.0
366.0	3.0
367.0	10.0
368.0	11.0
369.0	16.0
370.0	14.0
371.0	14.0
372.0	10.0
373.0	13.0
374.0	8.0
375.0	13.0
376.0	15.0
377.0	11.0
378.0	20.0
379.0	13.0
380.0	10.0
381.0	9.0
382.0	10.0
383.0	12.0
384.0	21.0
385.0	13.0
386.0	15.0
387.0	12.0
388.0	10.0
389.0	7.0
390.0	18.0
391.0	18.0
392.0	7.0
393.0	15.0
394.0	15.0
395.0	8.0
396.0	14.0
397.0	11.0
398.0	11.0
399.0	12.0
400.0	21.0
401.0	15.0
402.0	16.0
403.0	13.0
404.0	12.0
405.0	22.0
406.0	9.0
407.0	15.0
408.0	12.0
409.0	16.0
410.0	14.0
411.0	9.0
412.0	9.0
413.0	17.0
414.0	14.0
415.0	4.0
416.0	9.0
417.0	9.0
418.0	10.0
419.0	8.0
420.0	12.0
421.0	15.0
422.0	6.0
423.0	8.0
424.0	16.0
425.0	10.0
426.0	16.0
427.0	19.0
428.0	9.0
429.0	10.0
430.0	11.0
431.0	8.0
432.0	10.0
433.0	15.0
434.0	17.0
435.0	8.0
436.0	15.0
437.0	12.0
438.0	16.0
439.0	16.0
440.0	14.0
441.0	12.0
442.0	13.0
443.0	12.0
444.0	15.0
445.0	10.0
446.0	11.0
447.0	10.0
448.0	7.0
449.0	10.0
450.0	12.0
451.0	7.0
452.0	8.0
453.0	10.0
454.0	15.0
455.0	17.0
456.0	8.0
457.0	10.0
458.0	12.0
459.0	6.0
460.0	13.0
461.0	9.0
462.0	11.0
463.0	7.0
464.0	10.0
465.0	8.0
466.0	9.0
467.0	6.0
468.0	15.0
469.0	6.0
470.0	11.0
471.0	8.0
472.0	11.0
473.0	9.0
474.0	5.0
475.0	10.0
476.0	8.0
477.0	13.0
478.0	13.0
479.0	12.0
480.0	5.0
481.0	3.0
482.0	11.0
483.0	13.0
484.0	8.0
485.0	9.0
486.0	12.0
