#Insert size (bp)	insert size
20.0	411.0
21.0	626.0
22.0	773.0
23.0	1015.0
24.0	1084.0
25.0	1234.0
26.0	1389.0
27.0	1464.0
28.0	1569.0
29.0	1802.0
30.0	2370.0
31.0	2519.0
32.0	2722.0
33.0	2931.0
34.0	3273.0
35.0	3585.0
36.0	3835.0
37.0	4188.0
38.0	4500.0
39.0	4961.0
40.0	5141.0
41.0	5711.0
42.0	6143.0
43.0	6558.0
44.0	7146.0
45.0	7443.0
46.0	7954.0
47.0	8383.0
48.0	8895.0
49.0	9385.0
50.0	9766.0
51.0	10322.0
52.0	10853.0
53.0	11376.0
54.0	11809.0
55.0	12385.0
56.0	12699.0
57.0	13468.0
58.0	13854.0
59.0	14607.0
60.0	15168.0
61.0	15824.0
62.0	16256.0
63.0	16692.0
64.0	17499.0
65.0	17900.0
66.0	18646.0
67.0	19127.0
68.0	19434.0
69.0	19902.0
70.0	20525.0
71.0	21348.0
72.0	21393.0
73.0	22041.0
74.0	22498.0
75.0	22770.0
76.0	23590.0
77.0	23957.0
78.0	24302.0
79.0	24712.0
80.0	25011.0
81.0	25734.0
82.0	25850.0
83.0	26252.0
84.0	26576.0
85.0	26738.0
86.0	26978.0
87.0	27814.0
88.0	27881.0
89.0	28200.0
90.0	28559.0
91.0	28941.0
92.0	28806.0
93.0	29068.0
94.0	29099.0
95.0	29666.0
96.0	29845.0
97.0	30135.0
98.0	30320.0
99.0	30815.0
100.0	31052.0
101.0	31745.0
102.0	31460.0
103.0	31394.0
104.0	31539.0
105.0	31985.0
106.0	32028.0
107.0	31909.0
108.0	31794.0
109.0	31976.0
110.0	32331.0
111.0	32388.0
112.0	32461.0
113.0	32267.0
114.0	32425.0
115.0	32649.0
116.0	32556.0
117.0	32422.0
118.0	32771.0
119.0	32572.0
120.0	32393.0
121.0	32389.0
122.0	32374.0
123.0	32296.0
124.0	32361.0
125.0	32491.0
126.0	32364.0
127.0	32290.0
128.0	32410.0
129.0	32188.0
130.0	32220.0
131.0	31884.0
132.0	31837.0
133.0	31816.0
134.0	31733.0
135.0	32053.0
136.0	31505.0
137.0	31692.0
138.0	31663.0
139.0	31592.0
140.0	31656.0
141.0	31770.0
142.0	31313.0
143.0	30969.0
144.0	31214.0
145.0	31368.0
146.0	31223.0
147.0	31108.0
148.0	30817.0
149.0	30797.0
150.0	30825.0
151.0	30571.0
152.0	30701.0
153.0	30390.0
154.0	30435.0
155.0	30403.0
156.0	30287.0
157.0	30395.0
158.0	30607.0
159.0	29882.0
160.0	30233.0
161.0	30184.0
162.0	29918.0
163.0	29514.0
164.0	29749.0
165.0	30241.0
166.0	30048.0
167.0	29409.0
168.0	29887.0
169.0	29513.0
170.0	29845.0
171.0	29721.0
172.0	29467.0
173.0	29526.0
174.0	29649.0
175.0	29583.0
176.0	29634.0
177.0	29884.0
178.0	29453.0
179.0	29533.0
180.0	29400.0
181.0	29470.0
182.0	29824.0
183.0	29676.0
184.0	29345.0
185.0	29646.0
186.0	29791.0
187.0	29782.0
188.0	29971.0
189.0	29748.0
190.0	29974.0
191.0	29783.0
192.0	30027.0
193.0	29710.0
194.0	30369.0
195.0	30277.0
196.0	29840.0
197.0	30296.0
198.0	30239.0
199.0	30512.0
200.0	30687.0
201.0	30797.0
202.0	30271.0
203.0	30463.0
204.0	30662.0
205.0	30435.0
206.0	30786.0
207.0	30536.0
208.0	30899.0
209.0	30966.0
210.0	31265.0
211.0	31476.0
212.0	31284.0
213.0	31543.0
214.0	31774.0
215.0	31677.0
216.0	31833.0
217.0	32011.0
218.0	32132.0
219.0	31981.0
220.0	32572.0
221.0	32362.0
222.0	32484.0
223.0	32674.0
224.0	33403.0
225.0	32764.0
226.0	32554.0
227.0	33122.0
228.0	32959.0
229.0	33105.0
230.0	33651.0
231.0	33157.0
232.0	33544.0
233.0	33171.0
234.0	33448.0
235.0	33137.0
236.0	33409.0
237.0	33764.0
238.0	33499.0
239.0	33465.0
240.0	33123.0
241.0	33308.0
242.0	33293.0
243.0	33497.0
244.0	33385.0
245.0	33552.0
246.0	33257.0
247.0	32932.0
248.0	33109.0
249.0	32858.0
250.0	32793.0
251.0	32684.0
252.0	32671.0
253.0	32555.0
254.0	32853.0
255.0	32432.0
256.0	32353.0
257.0	32251.0
258.0	32247.0
259.0	32125.0
260.0	31877.0
261.0	31900.0
262.0	31134.0
263.0	31147.0
264.0	31244.0
265.0	30847.0
266.0	31100.0
267.0	30697.0
268.0	30830.0
269.0	30486.0
270.0	30100.0
271.0	30141.0
272.0	29821.0
273.0	29738.0
274.0	29466.0
275.0	28820.0
276.0	29121.0
277.0	28839.0
278.0	28527.0
279.0	28124.0
280.0	28162.0
281.0	27922.0
282.0	27752.0
283.0	27375.0
284.0	27044.0
285.0	27004.0
286.0	26802.0
287.0	26620.0
288.0	26362.0
289.0	25919.0
290.0	25686.0
291.0	25476.0
292.0	25309.0
293.0	25164.0
294.0	24957.0
295.0	24697.0
296.0	24366.0
297.0	24261.0
298.0	23925.0
299.0	23671.0
300.0	23322.0
301.0	23388.0
302.0	23028.0
303.0	22958.0
304.0	22875.0
305.0	22246.0
306.0	22180.0
307.0	22013.0
308.0	21731.0
309.0	21345.0
310.0	21091.0
311.0	20836.0
312.0	20622.0
313.0	20665.0
314.0	20313.0
315.0	20039.0
316.0	19849.0
317.0	19278.0
318.0	19171.0
319.0	19174.0
320.0	18897.0
321.0	18719.0
322.0	18549.0
323.0	18424.0
324.0	18103.0
325.0	17830.0
326.0	17522.0
327.0	17461.0
328.0	17276.0
329.0	17077.0
330.0	16849.0
331.0	16513.0
332.0	16305.0
333.0	16256.0
334.0	15971.0
335.0	15823.0
336.0	15615.0
337.0	15467.0
338.0	15145.0
339.0	14985.0
340.0	14931.0
341.0	14757.0
342.0	14292.0
343.0	14462.0
344.0	14181.0
345.0	13766.0
346.0	13716.0
347.0	13488.0
348.0	13289.0
349.0	13072.0
350.0	13041.0
351.0	12905.0
352.0	12628.0
353.0	12665.0
354.0	12228.0
355.0	12189.0
356.0	11894.0
357.0	11925.0
358.0	11618.0
359.0	11422.0
360.0	11312.0
361.0	11213.0
362.0	11187.0
363.0	10933.0
364.0	10560.0
365.0	10579.0
366.0	10597.0
367.0	10236.0
368.0	10132.0
369.0	10129.0
370.0	10053.0
371.0	9642.0
372.0	9720.0
373.0	9524.0
374.0	9346.0
375.0	9217.0
376.0	8981.0
377.0	8942.0
378.0	8915.0
379.0	8647.0
380.0	8609.0
381.0	8344.0
382.0	8111.0
383.0	8191.0
384.0	8023.0
385.0	8078.0
386.0	7742.0
387.0	7662.0
388.0	7687.0
389.0	7470.0
390.0	7408.0
391.0	7351.0
392.0	7333.0
393.0	7232.0
394.0	6896.0
395.0	6680.0
396.0	6823.0
397.0	6684.0
398.0	6694.0
399.0	6517.0
400.0	6425.0
401.0	6416.0
402.0	6118.0
403.0	6262.0
404.0	6084.0
405.0	6005.0
406.0	5741.0
407.0	5704.0
408.0	5643.0
409.0	5550.0
410.0	5618.0
411.0	5382.0
412.0	5348.0
413.0	5197.0
414.0	5219.0
415.0	5095.0
416.0	4960.0
417.0	4984.0
418.0	5103.0
419.0	4723.0
420.0	4765.0
421.0	4581.0
422.0	4660.0
423.0	4498.0
424.0	4519.0
425.0	4393.0
426.0	4209.0
427.0	4203.0
428.0	4180.0
429.0	4076.0
430.0	4105.0
431.0	3917.0
432.0	3884.0
433.0	3841.0
434.0	3763.0
435.0	3750.0
436.0	3693.0
437.0	3611.0
438.0	3533.0
439.0	3419.0
440.0	3500.0
441.0	3484.0
442.0	3325.0
443.0	3340.0
444.0	3191.0
445.0	3154.0
446.0	3122.0
447.0	3066.0
448.0	3051.0
449.0	2937.0
450.0	2869.0
451.0	2787.0
452.0	2804.0
453.0	2816.0
454.0	2622.0
455.0	2762.0
456.0	2647.0
457.0	2570.0
458.0	2547.0
459.0	2486.0
460.0	2480.0
461.0	2444.0
462.0	2365.0
463.0	2311.0
464.0	2307.0
465.0	2153.0
466.0	2238.0
467.0	2136.0
468.0	2067.0
469.0	2107.0
470.0	2079.0
471.0	2024.0
472.0	1961.0
473.0	1962.0
474.0	1847.0
475.0	1812.0
476.0	1803.0
477.0	1791.0
478.0	1791.0
479.0	1707.0
480.0	1697.0
481.0	1595.0
482.0	1590.0
483.0	1599.0
484.0	1562.0
485.0	1551.0
486.0	1475.0
487.0	1418.0
488.0	1414.0
489.0	1414.0
490.0	1330.0
491.0	1311.0
492.0	1299.0
493.0	1324.0
494.0	1272.0
495.0	1219.0
496.0	1217.0
497.0	1147.0
498.0	1223.0
499.0	1131.0
500.0	1232.0
