#Mapping quality	mapping quality
0.0	1800059.0
1.0	20260.0
2.0	90619.0
3.0	1136432.0
4.0	99158.0
5.0	48759.0
6.0	147373.0
7.0	2506764.0
8.0	2602675.0
9.0	61470.0
10.0	42288.0
11.0	1311987.0
12.0	114208.0
13.0	95985.0
14.0	459087.0
15.0	846338.0
16.0	377319.0
17.0	160435.0
18.0	407995.0
19.0	575324.0
20.0	316056.0
21.0	1584084.0
22.0	858020.0
23.0	1.1139226E7
24.0	9600909.0
25.0	1393351.0
26.0	626124.0
27.0	364519.0
28.0	692419.0
29.0	1312414.0
30.0	1.2218293E7
31.0	8043878.0
32.0	9872652.0
33.0	4494101.0
34.0	1.1068377E7
35.0	6506195.0
36.0	5499635.0
37.0	3831566.0
38.0	4314297.0
39.0	2671340.0
40.0	2.4726731E7
41.0	1.4392235E7
42.0	9.38087247E8
