#Coverage (X)	Coverage
1.0	39.86436204342183
2.0	15.821651702147136
3.0	5.024184862953732
4.0	1.5057943783641718
5.0	0.4188667847026579
6.0	0.11974088771987113
7.0	0.038579250324062286
8.0	0.016629122582131117
9.0	0.009948312330593012
10.0	0.00756478262418625
11.0	0.006417632821211328
12.0	0.005722173711788514
13.0	0.005228619718650407
14.0	0.004856106063257926
15.0	0.004546735912342115
16.0	0.0042826045417854175
17.0	0.004052117908941
18.0	0.003860485995005547
19.0	0.003693876666815754
20.0	0.003534165060202099
21.0	0.00338234180539132
22.0	0.003239177392572401
23.0	0.00310973504289791
24.0	0.0029722942713874545
25.0	0.002840467071166586
26.0	0.002717372092945425
27.0	0.0025892872735795436
28.0	0.0024667426454811903
29.0	0.0023637171018577874
30.0	0.002262195848587112
31.0	0.0021620321256250463
32.0	0.0020719948449823278
33.0	0.0019842323448671095
34.0	0.0019017532059564246
35.0	0.0018258415785510351
36.0	0.001752608321766047
37.0	0.0016888410871445103
38.0	0.0016306507338015308
39.0	0.0015811192224504111
40.0	0.001533972561645669
41.0	0.0014944941125918376
42.0	0.0014520070828467624
43.0	0.0014172616448746567
44.0	0.0013790673461215874
45.0	0.0013452024683573427
46.0	0.0013064945094782843
47.0	0.0012689239408700814
48.0	0.0012298123918981219
49.0	0.0011933792135465637
50.0	0.0011624128464546857
51.0	0.0011328773896792654
