#GC Content (%)	Sample
1.0	0.0
2.0	5.657980723259675E-7
3.0	1.131596144651935E-6
4.0	4.52638457860774E-6
5.0	5.092182650933708E-6
6.0	7.3553749402375776E-6
7.0	4.52638457860774E-6
8.0	1.3013355663497255E-5
9.0	2.6592509399320477E-5
10.0	3.225049012258015E-5
11.0	1.0693583566960787E-4
12.0	3.7512412195211655E-4
13.0	0.0011745967981487088
14.0	0.003327458463349016
15.0	0.008099965203418552
16.0	0.016745925546631662
17.0	0.02950863266408851
18.0	0.045031868576423766
19.0	0.06105244099433354
20.0	0.07478775499811872
21.0	0.0851718470195172
22.0	0.09101201472206583
23.0	0.09232523204793443
24.0	0.08921051365977994
25.0	0.08953867654172903
26.0	0.06455190207166962
27.0	0.06088722795721436
28.0	0.04940435607935883
29.0	0.03873962821408667
30.0	0.028804214064042682
31.0	0.02055091758302379
32.0	0.014340152143101647
33.0	0.009948993303779815
34.0	0.006888591530568656
35.0	0.004796270259107227
36.0	0.0034055385973299985
37.0	0.0023916284517218646
38.0	0.0017222893321602456
39.0	0.0012820984318906426
40.0	0.0010059889725955705
41.0	7.706169745079678E-4
42.0	6.071013316057632E-4
43.0	4.758361788261388E-4
44.0	3.5701858363768556E-4
45.0	2.8063584387367997E-4
46.0	2.523459402573815E-4
47.0	1.9633193109711074E-4
48.0	1.606866525405748E-4
49.0	1.3069935470729854E-4
50.0	1.0184365301867418E-4
51.0	9.675147036774047E-5
52.0	5.3750816870966925E-5
53.0	4.073746120746967E-5
54.0	3.621107662886192E-5
55.0	3.3382086267232087E-5
56.0	3.111889397792822E-5
57.0	3.111889397792822E-5
58.0	1.3579153735823224E-5
59.0	7.921173012563546E-6
60.0	1.1881759518845319E-5
61.0	5.657980723259676E-6
62.0	4.52638457860774E-6
63.0	1.6973942169779027E-6
64.0	1.131596144651935E-6
65.0	1.131596144651935E-6
66.0	0.0
67.0	4.52638457860774E-6
68.0	5.657980723259675E-7
69.0	0.0
70.0	5.657980723259675E-7
71.0	0.0
72.0	1.131596144651935E-6
73.0	0.0
74.0	5.657980723259675E-7
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	5.657980723259675E-7
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	4.52638457860774E-6
