State (Emission order)	Genome %	CpGIsland.mm10.bed.gz	RefSeqExon.mm10.bed.gz	RefSeqGene.mm10.bed.gz	RefSeqTES.mm10.bed.gz	RefSeqTSS.mm10.bed.gz	RefSeqTSS2kb.mm10.bed.gz
1	91.96593	0.21185	0.83442	0.92703	0.91306	0.49402	0.65562
2	0.08692	8.98084	3.41658	1.57923	2.70872	9.44352	3.22950
3	3.66499	1.59708	2.03208	2.06413	1.52702	2.32018	2.15714
4	0.77442	2.32790	3.11341	2.10068	2.51190	2.99845	2.66725
5	0.19882	21.14765	4.54712	2.01545	3.20305	19.28388	18.17852
6	0.08006	20.66448	4.51763	2.29112	4.04970	19.47140	20.61365
7	0.10731	88.88644	7.97265	1.91831	1.47464	51.96599	25.28941
8	0.34525	83.75954	8.27132	1.99570	2.16880	45.06800	23.36626
9	0.35588	12.70353	3.89699	2.02398	3.54644	7.18238	6.12048
10	0.30429	3.93612	1.82017	1.27643	1.87727	4.66152	1.96807
11	1.81110	3.79378	2.37670	1.29887	2.21423	2.92604	3.73793
12	0.30504	49.75056	6.17729	1.55980	1.77144	23.33302	12.65518
Base	100	0.3847315121	2.4170208071	36.7540083919	0.0009506078	0.0010191452	3.5291167254
