State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.88497	0.86599	0.84011	0.80837	0.76906	0.72174	0.66767	0.61087	0.55172	0.50393	0.49402	0.51121	0.52068	0.52667	0.52761	0.53787	0.55689	0.58140	0.61048	0.63749	0.66662
2	1.78101	2.07095	2.15378	2.48514	2.85791	2.60939	2.15378	1.82243	3.89338	9.69203	9.44352	4.22473	2.69223	2.36088	2.56797	2.56797	2.60939	2.36088	2.36088	2.11237	2.69223
3	1.44103	1.45674	1.47050	1.41647	1.36932	1.34181	1.37325	1.50389	1.86734	2.22588	2.32018	2.15614	2.02647	2.10211	2.45770	2.78481	3.18362	3.54314	3.78675	3.97829	4.03625
4	1.81302	1.97108	2.16167	2.35692	2.64515	2.69628	2.69628	2.78461	2.95661	3.10537	2.99845	2.58936	2.48244	2.62655	2.95196	3.02170	2.96126	2.96591	2.89618	2.67304	2.48244
5	5.90286	7.29709	9.39750	11.76950	14.41312	17.05673	19.62791	21.47482	23.68386	24.04600	19.28388	12.49378	13.09131	16.40488	24.37193	30.36532	31.99494	30.34721	27.64928	23.97357	20.71433
6	6.97013	8.36416	11.06227	14.12013	16.05378	15.82894	14.25504	15.01951	17.26794	20.86542	19.47140	13.62548	13.89529	18.75190	29.94908	42.49531	48.83588	47.75663	41.91072	37.23399	30.39876
7	4.59609	6.20640	7.31348	9.93023	15.59986	23.55076	32.84358	42.63962	49.58407	50.48987	51.96599	56.99820	56.66272	51.42922	42.50543	31.60230	22.67851	15.76760	12.54698	9.93023	7.85025
8	4.31702	5.21379	6.62151	8.69660	11.90830	17.49748	24.99491	32.12738	37.25774	40.24003	45.06800	49.81255	49.43716	46.34017	39.30155	31.53300	24.51524	19.55171	15.25555	12.31497	10.23988
9	3.87444	4.60279	5.47277	6.83844	8.06248	8.97292	9.02350	8.35584	7.64772	7.64772	7.18238	7.80958	7.82981	7.08122	5.54358	4.86581	4.25885	3.72270	3.49003	3.32817	3.17643
10	2.02315	1.82202	2.02315	1.95216	2.04681	2.05864	2.09413	2.59105	2.99331	4.82716	4.66152	1.85751	1.31327	1.25411	1.18313	1.08848	1.00566	1.06481	1.04115	1.12397	1.06481
11	2.90815	3.07513	3.29379	3.57407	3.75694	3.91398	3.97163	3.84043	3.60786	3.19241	2.92604	2.85448	2.98767	3.22024	3.57605	3.97958	4.27377	4.42485	4.42485	4.38708	4.26781
12	2.60829	3.16300	3.71770	4.54386	5.65327	7.40000	9.99650	13.56077	17.52632	21.36205	23.33302	23.95854	23.17960	21.65711	18.94259	15.66157	12.67560	10.10272	8.16715	6.56204	5.34641
