State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.89165	0.89039	0.89106	0.88984	0.88745	0.88728	0.88980	0.88934	0.89417	0.90470	0.91309	0.91997	0.92627	0.93176	0.93508	0.93470	0.93311	0.93382	0.93407	0.93336	0.93344
2	3.24108	2.66390	2.75270	3.41867	3.46307	2.75270	3.37427	3.28548	3.95145	2.70830	2.70830	3.81826	3.55187	3.37427	3.15228	3.15228	3.01909	3.59626	3.95145	3.81826	3.55187
3	1.66156	1.70368	1.73316	1.74475	1.79529	1.83003	1.79739	1.87321	1.77739	1.66893	1.52678	1.45729	1.42465	1.38569	1.37411	1.40359	1.45834	1.44571	1.42781	1.46992	1.46255
4	2.68592	2.83044	2.83542	2.88027	2.92512	2.90518	2.98491	2.94007	2.92512	2.74074	2.51151	2.33212	2.23246	2.17764	2.09293	2.06801	2.03811	2.00323	1.94842	1.97333	2.00821
5	3.29960	3.57133	3.62956	3.76543	3.59074	3.80425	3.51310	3.76543	3.70720	3.55192	3.20255	3.08610	2.81437	2.58145	2.46500	2.29031	2.13504	2.36795	2.44559	2.36795	2.30972
6	3.61525	3.42243	3.13321	2.74759	3.08501	3.42243	3.80806	3.90447	4.24189	4.04908	4.04908	3.27782	2.84400	2.65118	2.12095	2.02454	1.92813	2.02454	2.12095	1.73532	2.65118
7	3.59613	3.70401	3.16459	3.34440	3.23652	2.80498	2.30152	2.12172	1.69018	1.40249	1.47441	1.43845	1.22268	1.11480	1.15076	1.36653	1.51037	1.90595	2.19364	2.73306	2.58921
8	3.68863	3.45390	3.44272	3.27506	3.08504	2.91737	2.76088	2.47026	2.29142	2.15729	2.16847	2.11258	2.11258	2.13493	2.30260	2.35849	2.45909	2.40320	2.33613	2.35849	2.33613
9	3.40492	3.35071	3.25311	3.26396	3.42661	3.50252	3.43745	3.25311	3.24227	3.33986	3.54589	3.36155	3.12299	3.03624	3.02539	2.89527	2.76515	2.72177	2.83021	2.66755	2.59165
10	2.06722	1.95308	1.78821	1.83894	1.91503	1.85162	1.68675	1.86430	2.01649	1.83894	1.87698	2.51110	2.72670	2.59988	2.37160	2.66329	2.84084	2.67597	2.77743	2.61256	2.72670
11	2.25651	2.27142	2.22241	2.22028	2.23307	2.22668	2.24372	2.20324	2.21815	2.17767	2.21389	2.05195	1.91558	1.81969	1.75790	1.70250	1.68759	1.64923	1.62579	1.64071	1.62153
12	3.32727	3.18810	3.40318	3.41583	3.33992	3.35257	3.18810	3.03629	2.65675	2.31517	1.77117	1.56875	1.63201	1.64466	1.68261	1.69526	1.65731	1.70791	1.69526	1.58140	1.59405
