anchor	type	count	percentage
Anchor1	Active_Promoter	291	10
Anchor1	Repressed_Promoter	268	9.20962199312715
Anchor1	Bivalent_Promoter	32	1.09965635738832
Anchor1	Polycomb	462	15.8762886597938
Anchor1	Active_Enhancer	314	10.7903780068729
Anchor1	Poised_Enhancer	617	21.2027491408935
Anchor1	CTCF_Site	747	25.6701030927835
Anchor1	Other	179	6.15120274914089
Anchor2	Active_Promoter	282	9.69072164948454
Anchor2	Repressed_Promoter	292	10.0343642611684
Anchor2	Bivalent_Promoter	26	0.893470790378007
Anchor2	Polycomb	460	15.807560137457
Anchor2	Active_Enhancer	349	11.9931271477663
Anchor2	Poised_Enhancer	556	19.106529209622
Anchor2	CTCF_Site	756	25.979381443299
Anchor2	Other	189	6.49484536082474
