loop_type	count	percentage
CTCF_Site-CTCF_Site	320	10.9965635738832
Poised_Enhancer-CTCF_Site	296	10.1718213058419
Polycomb-CTCF_Site	183	6.28865979381443
Polycomb-Polycomb	174	5.97938144329897
Repressed_Promoter-Polycomb	172	5.9106529209622
Active_Enhancer-Poised_Enhancer	162	5.56701030927835
Poised_Enhancer-Poised_Enhancer	149	5.12027491408935
Active_Enhancer-Active_Enhancer	142	4.87972508591065
Polycomb-Poised_Enhancer	126	4.32989690721649
Repressed_Promoter-CTCF_Site	125	4.29553264604811
Active_Promoter-Active_Enhancer	124	4.26116838487973
CTCF_Site-Other	124	4.26116838487973
Active_Promoter-Poised_Enhancer	120	4.12371134020619
Active_Promoter-Active_Promoter	86	2.9553264604811
Active_Promoter-CTCF_Site	81	2.78350515463918
Repressed_Promoter-Poised_Enhancer	76	2.61168384879725
Poised_Enhancer-Other	72	2.47422680412371
Repressed_Promoter-Repressed_Promoter	64	2.19931271477663
Polycomb-Other	45	1.54639175257732
Active_Enhancer-CTCF_Site	43	1.47766323024055
Active_Promoter-Polycomb	28	0.962199312714777
Active_Enhancer-Other	26	0.893470790378007
Other-Other	25	0.859106529209622
Repressed_Promoter-Other	25	0.859106529209622
Active_Promoter-Repressed_Promoter	24	0.824742268041237
Bivalent_Promoter-Poised_Enhancer	23	0.790378006872852
Active_Promoter-Other	21	0.721649484536082
Polycomb-Active_Enhancer	12	0.412371134020619
Bivalent_Promoter-CTCF_Site	11	0.378006872852234
Bivalent_Promoter-Polycomb	8	0.274914089347079
Repressed_Promoter-Active_Enhancer	7	0.240549828178694
Bivalent_Promoter-Active_Enhancer	5	0.171821305841924
Bivalent_Promoter-Other	5	0.171821305841924
Active_Promoter-Bivalent_Promoter	3	0.103092783505155
Repressed_Promoter-Bivalent_Promoter	3	0.103092783505155
