loop_id	anchor_num	type_10kb	direction	n_motifs	type_motif_consensus	n_chip_bound	is_concordant
loop_3362	1	CTCF_Site	up_in_mutant	1	CTCF_Site	0	TRUE
loop_3909	1	CTCF_Site	up_in_mutant	2	CTCF_Site	1	TRUE
loop_7340	1	Active_Enhancer	up_in_mutant	0	NA	0	NA
loop_15623	1	Active_Enhancer	down_in_mutant	0	NA	0	NA
loop_16094	1	Polycomb	up_in_mutant	1	CTCF_Site	0	FALSE
loop_1298	1	CTCF_Site	down_in_mutant	1	CTCF_Site	0	TRUE
loop_40	1	Other	up_in_mutant	0	NA	0	NA
loop_16964	1	Repressed_Promoter	down_in_mutant	1	Repressed_Promoter	0	TRUE
loop_51	1	Repressed_Promoter	down_in_mutant	2	CTCF_Site	0	FALSE
loop_11648	1	Repressed_Promoter	down_in_mutant	0	NA	0	NA
loop_849	1	CTCF_Site	down_in_mutant	3	CTCF_Site	2	TRUE
loop_9583	1	Repressed_Promoter	down_in_mutant	0	NA	0	NA
loop_2344	1	CTCF_Site	up_in_mutant	1	CTCF_Site	1	TRUE
loop_2361	1	Active_Enhancer	down_in_mutant	1	Active_Enhancer	1	TRUE
loop_4080	1	CTCF_Site	up_in_mutant	1	CTCF_Site	0	TRUE
loop_4307	1	Other	up_in_mutant	0	NA	0	NA
loop_4309	1	CTCF_Site	up_in_mutant	2	CTCF_Site	0	TRUE
loop_4389	1	CTCF_Site	up_in_mutant	1	CTCF_Site	0	TRUE
loop_4713	1	Poised_Enhancer	up_in_mutant	0	NA	0	NA
loop_7428	1	Poised_Enhancer	up_in_mutant	1	CTCF_Site	0	FALSE
loop_8364	1	CTCF_Site	up_in_mutant	1	CTCF_Site	0	TRUE
loop_8390	1	CTCF_Site	up_in_mutant	1	CTCF_Site	0	TRUE
loop_8692	1	Other	up_in_mutant	0	NA	0	NA
loop_8667	1	Polycomb	up_in_mutant	1	CTCF_Site	0	FALSE
loop_8758	1	Polycomb	down_in_mutant	0	NA	0	NA
loop_8805	1	CTCF_Site	up_in_mutant	2	CTCF_Site	0	TRUE
loop_10501	1	Poised_Enhancer	down_in_mutant	0	NA	0	NA
loop_12019	1	CTCF_Site	up_in_mutant	1	CTCF_Site	0	TRUE
loop_12880	1	CTCF_Site	up_in_mutant	2	CTCF_Site	1	TRUE
