loop_id	direction	ctcf_anchor_count	ctcf_anchor	ctcf_end_type	other_end_type	loop_type_extended
loop_3909	up_in_mutant	1	1	CTCF_Site	Repressed_Promoter	Repressed_Promoter-CTCF_Site
loop_7340	up_in_mutant	1	2	Active_Promoter	Active_Enhancer	Active_Promoter-Active_Enhancer
loop_51	down_in_mutant	1	2	Polycomb	Repressed_Promoter	Repressed_Promoter-Polycomb
loop_11648	down_in_mutant	1	2	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter
loop_4080	up_in_mutant	1	1	CTCF_Site	Other	CTCF_Site-Other
loop_4713	up_in_mutant	1	2	CTCF_Site	Poised_Enhancer	Poised_Enhancer-CTCF_Site
loop_8692	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_8758	down_in_mutant	1	2	Polycomb	Polycomb	Polycomb-Polycomb
loop_10501	down_in_mutant	1	2	CTCF_Site	Poised_Enhancer	Poised_Enhancer-CTCF_Site
loop_13109	down_in_mutant	1	1	Repressed_Promoter	Other	Repressed_Promoter-Other
loop_15566	down_in_mutant	1	1	Active_Enhancer	Active_Promoter	Active_Promoter-Active_Enhancer
loop_15592	down_in_mutant	1	1	Active_Promoter	Active_Promoter	Active_Promoter-Active_Promoter
loop_16581	down_in_mutant	1	1	Polycomb	Polycomb	Polycomb-Polycomb
loop_17706	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_17895	up_in_mutant	1	2	Polycomb	Other	Polycomb-Other
loop_17936	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_20048	up_in_mutant	1	1	CTCF_Site	Repressed_Promoter	Repressed_Promoter-CTCF_Site
loop_60	down_in_mutant	1	2	Polycomb	Repressed_Promoter	Repressed_Promoter-Polycomb
loop_62	down_in_mutant	1	1	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter
loop_966	down_in_mutant	1	2	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter
loop_1271	down_in_mutant	1	2	Repressed_Promoter	Polycomb	Repressed_Promoter-Polycomb
loop_1294	down_in_mutant	1	1	Polycomb	Other	Polycomb-Other
loop_1325	down_in_mutant	1	1	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter
loop_1512	down_in_mutant	1	1	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter
loop_1516	down_in_mutant	1	2	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter
loop_2061	down_in_mutant	1	1	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter
loop_2250	down_in_mutant	1	2	CTCF_Site	Active_Enhancer	Active_Enhancer-CTCF_Site
loop_2329	down_in_mutant	1	1	CTCF_Site	Polycomb	Polycomb-CTCF_Site
loop_2588	down_in_mutant	1	1	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter
loop_2729	down_in_mutant	1	1	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter
loop_3208	down_in_mutant	1	2	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter
loop_3291	up_in_mutant	1	1	CTCF_Site	Other	CTCF_Site-Other
loop_3596	down_in_mutant	1	1	Poised_Enhancer	Active_Promoter	Active_Promoter-Poised_Enhancer
loop_3664	down_in_mutant	1	1	Polycomb	Poised_Enhancer	Polycomb-Poised_Enhancer
loop_3951	up_in_mutant	1	1	CTCF_Site	Other	CTCF_Site-Other
loop_4540	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_4884	up_in_mutant	1	2	Active_Promoter	Other	Active_Promoter-Other
loop_4918	up_in_mutant	1	2	Repressed_Promoter	Other	Repressed_Promoter-Other
loop_5394	up_in_mutant	1	2	Poised_Enhancer	Poised_Enhancer	Poised_Enhancer-Poised_Enhancer
loop_5406	up_in_mutant	1	1	CTCF_Site	Other	CTCF_Site-Other
loop_5774	down_in_mutant	1	1	Polycomb	Other	Polycomb-Other
loop_6571	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_6585	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_6807	down_in_mutant	1	1	CTCF_Site	Other	CTCF_Site-Other
loop_7417	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
loop_7853	up_in_mutant	1	1	CTCF_Site	Other	CTCF_Site-Other
loop_8150	up_in_mutant	1	2	CTCF_Site	Other	CTCF_Site-Other
