direction	anchor_type	count	percentage
down_in_mutant	Active_Enhancer	570	24.01
down_in_mutant	Active_Promoter	361	15.21
down_in_mutant	Bivalent_Promoter	16	0.67
down_in_mutant	CTCF_Site	469	19.76
down_in_mutant	Other	141	5.94
down_in_mutant	Poised_Enhancer	498	20.98
down_in_mutant	Polycomb	144	6.07
down_in_mutant	Repressed_Promoter	175	7.37
up_in_mutant	Active_Enhancer	93	2.7
up_in_mutant	Active_Promoter	149	4.32
up_in_mutant	Bivalent_Promoter	33	0.96
up_in_mutant	CTCF_Site	1082	31.4
up_in_mutant	Other	246	7.14
up_in_mutant	Poised_Enhancer	674	19.56
up_in_mutant	Polycomb	784	22.75
up_in_mutant	Repressed_Promoter	385	11.17
